jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2557,0e4a51,b22530,FAILED,101811,4,1124,0,101811.0,102935.0,0,0.0,1124.0,end,[{0: 4}],-1,0
application_1506638472019_2558,0e4a51,b22530,FAILED,101813,4,371,0,101813.0,102184.0,0,0.0,371.0,end,[{0: 4}],-1,0
application_1506638472019_2559,0e4a51,b22530,FAILED,101814,4,958,0,101814.0,102772.0,0,0.0,958.0,end,[{1: 4}],-1,0
application_1506638472019_2560,0e4a51,b22530,FAILED,101816,4,206,0,101816.0,102022.0,0,0.0,206.0,end,[{1: 4}],-1,0
application_1506638472019_3952,0e4a51,b22530,FAILED,158811,4,185464,0,158811.0,344275.0,0,0.0,185464.0,end,[{0: 4}],-1,0
application_1506638472019_3953,0e4a51,b22530,FAILED,158826,4,150272,0,158826.0,309098.0,0,0.0,150272.0,end,[{0: 4}],-1,0
application_1506638472019_3954,0e4a51,b22530,FAILED,158841,4,146230,0,158841.0,305071.0,0,0.0,146230.0,end,[{1: 4}],-1,0
application_1506638472019_3955,0e4a51,b22530,FAILED,158846,4,126829,0,158846.0,285675.0,0,0.0,126829.0,end,[{1: 4}],-1,0
application_1506638472019_5927,0e4a51,b22530,FAILED,280955,4,141183,0,280955.0,422138.0,0,0.0,141183.0,end,[{2: 4}],-1,0
application_1506638472019_5926,0e4a51,b22530,FAILED,280955,4,140720,0,280955.0,421675.0,0,0.0,140720.0,end,[{2: 4}],-1,0
application_1506638472019_5928,0e4a51,b22530,FAILED,280971,4,134818,0,280971.0,415789.0,0,0.0,134818.0,end,[{3: 4}],-1,0
application_1506638472019_5929,0e4a51,b22530,FAILED,280973,4,166740,0,280973.0,447713.0,0,0.0,166740.0,end,[{3: 4}],-1,0
application_1506638472019_9270,0e4a51,b22530,FAILED,368354,2,26463,0,368354.0,394817.0,0,0.0,26463.0,end,[{0: 2}],-1,0
application_1506638472019_9271,0e4a51,b22530,FAILED,368363,2,27078,0,368363.0,395441.0,0,0.0,27078.0,end,[{0: 2}],-1,0
application_1506638472019_9273,0e4a51,b22530,FAILED,368377,2,26518,0,368377.0,394895.0,0,0.0,26518.0,end,[{0: 2}],-1,0
application_1506638472019_9276,0e4a51,b22530,FAILED,368383,2,26943,0,368383.0,395326.0,0,0.0,26943.0,end,[{0: 2}],-1,0
application_1506638472019_9277,0e4a51,b22530,FAILED,368386,2,26974,0,368386.0,395360.0,0,0.0,26974.0,end,[{1: 2}],-1,0
application_1506638472019_9278,0e4a51,b22530,FAILED,368389,2,27168,0,368389.0,395557.0,0,0.0,27168.0,end,[{1: 2}],-1,0
application_1506638472019_9281,0e4a51,b22530,FAILED,368402,2,492987,0,368402.0,861389.0,0,0.0,492987.0,end,[{1: 2}],-1,0
application_1506638472019_9286,0e4a51,b22530,FAILED,368451,2,27018,0,368451.0,395469.0,0,0.0,27018.0,end,[{1: 2}],-1,0
application_1506638472019_9290,0e4a51,b22530,CANCELLED,368484,2,608135,0,368484.0,976619.0,0,0.0,608135.0,end,[{4: 2}],-1,0
application_1506638472019_10407,0e4a51,b22530,CANCELLED,417656,2,558978,0,417656.0,976634.0,0,0.0,558978.0,end,[{3: 2}],-1,0
application_1506638472019_10409,0e4a51,b22530,CANCELLED,417693,2,558936,0,417693.0,976629.0,0,0.0,558936.0,end,[{3: 2}],-1,0
application_1506638472019_10411,0e4a51,b22530,CANCELLED,417695,2,558923,0,417695.0,976618.0,0,0.0,558923.0,end,[{1: 2}],-1,0
application_1506638472019_10410,0e4a51,b22530,CANCELLED,417695,2,558936,0,417695.0,976631.0,0,0.0,558936.0,end,[{1: 2}],-1,0
application_1506638472019_10412,0e4a51,b22530,CANCELLED,417709,2,558915,0,417709.0,976624.0,0,0.0,558915.0,end,[{1: 2}],-1,0
application_1506638472019_10413,0e4a51,b22530,CANCELLED,417728,2,558900,0,417728.0,976628.0,0,0.0,558900.0,end,[{4: 2}],-1,0
application_1506638472019_10414,0e4a51,b22530,CANCELLED,417735,2,558888,0,417735.0,976623.0,0,0.0,558888.0,end,[{4: 2}],-1,0
application_1506638472019_10415,0e4a51,b22530,FAILED,417741,2,551195,0,417741.0,968936.0,0,0.0,551195.0,end,[{4: 2}],-1,0
application_1506638472019_10416,0e4a51,b22530,FAILED,417763,2,344680,0,417763.0,762443.0,0,0.0,344680.0,end,[{0: 2}],-1,0
application_1506638472019_12587,0e4a51,b22530,FAILED,459127,4,132062,0,459127.0,591189.0,0,0.0,132062.0,end,[{3: 4}],-1,0
application_1506638472019_12588,0e4a51,b22530,FAILED,459133,4,190992,0,459133.0,650125.0,0,0.0,190992.0,end,[{0: 4}],-1,0
application_1506638472019_12589,0e4a51,b22530,FAILED,459148,4,181142,0,459148.0,640290.0,0,0.0,181142.0,end,[{2: 4}],-1,0
application_1506638472019_12590,0e4a51,b22530,FAILED,459156,4,153615,0,459156.0,612771.0,0,0.0,153615.0,end,[{2: 4}],-1,0
application_1506638472019_12591,0e4a51,b22530,FAILED,459163,4,149829,0,459163.0,608992.0,0,0.0,149829.0,end,[{5: 4}],-1,0
application_1506638472019_12592,0e4a51,b22530,FAILED,459177,4,165484,0,459177.0,624661.0,0,0.0,165484.0,end,[{5: 4}],-1,0
application_1506638472019_12593,0e4a51,b22530,FAILED,459183,4,140181,0,459183.0,599364.0,0,0.0,140181.0,end,[{6: 4}],-1,0
application_1506638472019_12594,0e4a51,b22530,COMPLETED,459199,4,104642,0,459199.0,563841.0,0,0.0,104642.0,end,[{6: 4}],-1,0
application_1506638472019_12595,0e4a51,b22530,FAILED,459208,4,173116,0,459208.0,632324.0,0,0.0,173116.0,end,[{7: 4}],-1,0
