jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2557,0e4a51,b22530,FAILED,101811,4,1124,0,102000.0,103124.0,0,189.0,1313.0,end,[{0: 4}],-1,0
application_1506638472019_2558,0e4a51,b22530,FAILED,101813,4,371,0,102000.0,102371.0,0,187.0,558.0,end,[{0: 4}],-1,0
application_1506638472019_2559,0e4a51,b22530,FAILED,101814,4,958,0,102000.0,102958.0,0,186.0,1144.0,end,[{1: 4}],-1,0
application_1506638472019_2560,0e4a51,b22530,FAILED,101816,4,206,0,102000.0,102206.0,0,184.0,390.0,end,[{1: 4}],-1,0
application_1506638472019_3952,0e4a51,b22530,FAILED,158811,4,185464,0,158880.0,344344.0,0,69.0,185533.0,end,[{0: 4}],-1,0
application_1506638472019_3953,0e4a51,b22530,FAILED,158826,4,150272,0,158880.0,309152.0,0,54.0,150326.0,end,[{0: 4}],-1,0
application_1506638472019_3954,0e4a51,b22530,FAILED,158841,4,146230,0,158880.0,305110.0,0,39.0,146269.0,end,[{1: 4}],-1,0
application_1506638472019_3955,0e4a51,b22530,FAILED,158846,4,126829,0,158880.0,285709.0,0,34.0,126863.0,end,[{1: 4}],-1,0
application_1506638472019_5927,0e4a51,b22530,FAILED,280955,4,141183,0,281040.0,422223.0,0,85.0,141268.0,end,[{2: 4}],-1,0
application_1506638472019_5926,0e4a51,b22530,FAILED,280955,4,140720,0,281040.0,421760.0,0,85.0,140805.0,end,[{2: 4}],-1,0
application_1506638472019_5928,0e4a51,b22530,FAILED,280971,4,134818,0,281040.0,415858.0,0,69.0,134887.0,end,[{3: 4}],-1,0
application_1506638472019_5929,0e4a51,b22530,FAILED,280973,4,166740,0,281040.0,447780.0,0,67.0,166807.0,end,[{3: 4}],-1,0
application_1506638472019_9270,0e4a51,b22530,FAILED,368354,2,26463,0,368400.0,394863.0,0,46.0,26509.0,end,[{0: 2}],-1,0
application_1506638472019_9271,0e4a51,b22530,FAILED,368363,2,27078,0,368400.0,395478.0,0,37.0,27115.0,end,[{0: 2}],-1,0
application_1506638472019_9273,0e4a51,b22530,FAILED,368377,2,26518,0,368400.0,394918.0,0,23.0,26541.0,end,[{0: 2}],-1,0
application_1506638472019_9276,0e4a51,b22530,FAILED,368383,2,26943,0,368400.0,395343.0,0,17.0,26960.0,end,[{0: 2}],-1,0
application_1506638472019_9277,0e4a51,b22530,FAILED,368386,2,26974,0,368400.0,395374.0,0,14.0,26988.0,end,[{1: 2}],-1,0
application_1506638472019_9278,0e4a51,b22530,FAILED,368389,2,27168,0,368400.0,395568.0,0,11.0,27179.0,end,[{1: 2}],-1,0
application_1506638472019_9281,0e4a51,b22530,FAILED,368402,2,492987,0,368640.0,861627.0,0,238.0,493225.0,end,[{1: 2}],-1,0
