jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2260,103959,bf8cc2,COMPLETED,26161,1,348,0,26161.0,26509.0,0,0.0,348.0,end,[{0: 1}],-1,0
application_1506638472019_2261,103959,bf8cc2,COMPLETED,26162,1,416,0,26162.0,26578.0,0,0.0,416.0,end,[{0: 1}],-1,0
application_1506638472019_2268,103959,bf8cc2,COMPLETED,26992,1,538,0,26992.0,27530.0,0,0.0,538.0,end,[{0: 1}],-1,0
application_1506638472019_2267,103959,bf8cc2,COMPLETED,26992,1,565,0,26992.0,27557.0,0,0.0,565.0,end,[{0: 1}],-1,0
application_1506638472019_2274,103959,bf8cc2,COMPLETED,27818,1,128,0,27818.0,27946.0,0,0.0,128.0,end,[{0: 1}],-1,0
application_1506638472019_2275,103959,bf8cc2,COMPLETED,27818,1,130,0,27818.0,27948.0,0,0.0,130.0,end,[{0: 1}],-1,0
application_1506638472019_2324,103959,bf8cc2,COMPLETED,31848,1,73,0,31848.0,31921.0,0,0.0,73.0,end,[{0: 1}],-1,0
application_1506638472019_2344,103959,bf8cc2,COMPLETED,39351,1,69,0,39351.0,39420.0,0,0.0,69.0,end,[{0: 1}],-1,0
application_1506638472019_2381,103959,bf8cc2,COMPLETED,53355,1,72,0,53355.0,53427.0,0,0.0,72.0,end,[{0: 1}],-1,0
application_1506638472019_2466,103959,bf8cc2,COMPLETED,76892,1,178,0,76892.0,77070.0,0,0.0,178.0,end,[{0: 1}],-1,0
application_1506638472019_2482,103959,bf8cc2,COMPLETED,80343,1,202,0,80343.0,80545.0,0,0.0,202.0,end,[{0: 1}],-1,0
application_1506638472019_2989,103959,bf8cc2,COMPLETED,113378,1,407,0,113378.0,113785.0,0,0.0,407.0,end,[{0: 1}],-1,0
application_1506638472019_2990,103959,bf8cc2,COMPLETED,113379,1,330,0,113379.0,113709.0,0,0.0,330.0,end,[{0: 1}],-1,0
application_1506638472019_3300,103959,bf8cc2,COMPLETED,115106,1,521,0,115106.0,115627.0,0,0.0,521.0,end,[{0: 1}],-1,0
application_1506638472019_3305,103959,bf8cc2,COMPLETED,115115,1,1036,0,115115.0,116151.0,0,0.0,1036.0,end,[{0: 1}],-1,0
