jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2260,103959,bf8cc2,COMPLETED,26161,1,348,0,26220.0,26568.0,0,59.0,407.0,end,[{0: 1}],-1,0
application_1506638472019_2261,103959,bf8cc2,COMPLETED,26162,1,416,0,26220.0,26636.0,0,58.0,474.0,end,[{0: 1}],-1,0
application_1506638472019_2268,103959,bf8cc2,COMPLETED,26992,1,538,0,27000.0,27538.0,0,8.0,546.0,end,[{0: 1}],-1,0
application_1506638472019_2267,103959,bf8cc2,COMPLETED,26992,1,565,0,27000.0,27565.0,0,8.0,573.0,end,[{0: 1}],-1,0
application_1506638472019_2274,103959,bf8cc2,COMPLETED,27818,1,128,0,27840.0,27968.0,0,22.0,150.0,end,[{0: 1}],-1,0
application_1506638472019_2275,103959,bf8cc2,COMPLETED,27818,1,130,0,27840.0,27970.0,0,22.0,152.0,end,[{0: 1}],-1,0
application_1506638472019_2324,103959,bf8cc2,COMPLETED,31848,1,73,0,31860.0,31933.0,0,12.0,85.0,end,[{0: 1}],-1,0
application_1506638472019_2344,103959,bf8cc2,COMPLETED,39351,1,69,0,39360.0,39429.0,0,9.0,78.0,end,[{0: 1}],-1,0
application_1506638472019_2381,103959,bf8cc2,COMPLETED,53355,1,72,0,53400.0,53472.0,0,45.0,117.0,end,[{0: 1}],-1,0
application_1506638472019_2466,103959,bf8cc2,COMPLETED,76892,1,178,0,76920.0,77098.0,0,28.0,206.0,end,[{0: 1}],-1,0
application_1506638472019_2482,103959,bf8cc2,COMPLETED,80343,1,202,0,80400.0,80602.0,0,57.0,259.0,end,[{0: 1}],-1,0
application_1506638472019_2989,103959,bf8cc2,COMPLETED,113378,1,407,0,113400.0,113807.0,0,22.0,429.0,end,[{0: 1}],-1,0
application_1506638472019_2990,103959,bf8cc2,COMPLETED,113379,1,330,0,113400.0,113730.0,0,21.0,351.0,end,[{0: 1}],-1,0
application_1506638472019_3300,103959,bf8cc2,COMPLETED,115106,1,521,0,115140.0,115661.0,0,34.0,555.0,end,[{0: 1}],-1,0
application_1506638472019_3305,103959,bf8cc2,COMPLETED,115115,1,1036,0,115140.0,116176.0,0,25.0,1061.0,end,[{0: 1}],-1,0
application_1506638472019_3364,103959,bf8cc2,COMPLETED,116835,1,141,0,116880.0,117021.0,0,45.0,186.0,end,[{0: 1}],-1,0
application_1506638472019_3363,103959,bf8cc2,COMPLETED,116835,1,141,0,116880.0,117021.0,0,45.0,186.0,end,[{0: 1}],-1,0
application_1506638472019_4089,103959,bf8cc2,COMPLETED,174262,1,18429,0,174300.0,192729.0,0,38.0,18467.0,end,[{0: 1}],-1,0
application_1506638472019_4222,103959,bf8cc2,COMPLETED,193289,2,233749,0,193320.0,427069.0,0,31.0,233780.0,end,[{0: 2}],-1,0
application_1506638472019_4247,103959,bf8cc2,COMPLETED,199214,1,404,0,199260.0,199664.0,0,46.0,450.0,end,[{0: 1}],-1,0
application_1506638472019_4248,103959,bf8cc2,COMPLETED,199214,1,351,0,199260.0,199611.0,0,46.0,397.0,end,[{0: 1}],-1,0
application_1506638472019_4258,103959,bf8cc2,COMPLETED,200092,1,521,0,200100.0,200621.0,0,8.0,529.0,end,[{0: 1}],-1,0
application_1506638472019_4259,103959,bf8cc2,COMPLETED,200093,1,474,0,200100.0,200574.0,0,7.0,481.0,end,[{0: 1}],-1,0
application_1506638472019_4270,103959,bf8cc2,COMPLETED,201238,1,208,0,201240.0,201448.0,0,2.0,210.0,end,[{0: 1}],-1,0
application_1506638472019_4269,103959,bf8cc2,COMPLETED,201238,1,209,0,201240.0,201449.0,0,2.0,211.0,end,[{0: 1}],-1,0
application_1506638472019_4725,103959,f633a5,COMPLETED,256558,1,558,0,256560.0,257118.0,0,2.0,560.0,end,[{0: 1}],-1,0
application_1506638472019_4761,103959,f633a5,COMPLETED,257222,1,761,0,257280.0,258041.0,0,58.0,819.0,end,[{0: 1}],-1,0
application_1506638472019_5812,103959,bf8cc2,COMPLETED,267890,1,18570,0,267900.0,286470.0,0,10.0,18580.0,end,[{0: 1}],-1,0
application_1506638472019_5813,103959,bf8cc2,COMPLETED,267890,1,22706,0,267900.0,290606.0,0,10.0,22716.0,end,[{0: 1}],-1,0
application_1506638472019_5814,103959,bf8cc2,COMPLETED,267927,1,18537,0,267960.0,286497.0,0,33.0,18570.0,end,[{0: 1}],-1,0
application_1506638472019_5815,103959,bf8cc2,COMPLETED,267928,1,18993,0,267960.0,286953.0,0,32.0,19025.0,end,[{0: 1}],-1,0
application_1506638472019_5965,103959,bf8cc2,COMPLETED,282795,1,21754,0,282840.0,304594.0,0,45.0,21799.0,end,[{0: 1}],-1,0
application_1506638472019_5966,103959,bf8cc2,COMPLETED,282795,1,22262,0,282840.0,305102.0,0,45.0,22307.0,end,[{0: 1}],-1,0
