jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2260,103959,bf8cc2,COMPLETED,26161,1,348,0,26161.0,26510.0,0,0.0,349.0,end,[{0: 1}],-1,0
application_1506638472019_2261,103959,bf8cc2,COMPLETED,26162,1,416,0,26162.0,26579.0,0,0.0,417.0,end,[{0: 1}],-1,0
application_1506638472019_2268,103959,bf8cc2,COMPLETED,26992,1,538,0,26992.0,27531.0,0,0.0,539.0,end,[{0: 1}],-1,0
application_1506638472019_2267,103959,bf8cc2,COMPLETED,26992,1,565,0,26992.0,27558.0,0,0.0,566.0,end,[{0: 1}],-1,0
application_1506638472019_2274,103959,bf8cc2,COMPLETED,27818,1,128,0,27818.0,27947.0,0,0.0,129.0,end,[{0: 1}],-1,0
application_1506638472019_2275,103959,bf8cc2,COMPLETED,27818,1,130,0,27818.0,27949.0,0,0.0,131.0,end,[{0: 1}],-1,0
application_1506638472019_2324,103959,bf8cc2,COMPLETED,31848,1,73,0,31848.0,31922.0,0,0.0,74.0,end,[{0: 1}],-1,0
application_1506638472019_2344,103959,bf8cc2,COMPLETED,39351,1,69,0,39351.0,39421.0,0,0.0,70.0,end,[{0: 1}],-1,0
application_1506638472019_2381,103959,bf8cc2,COMPLETED,53355,1,72,0,53355.0,53428.0,0,0.0,73.0,end,[{0: 1}],-1,0
application_1506638472019_2466,103959,bf8cc2,COMPLETED,76892,1,178,0,76892.0,77071.0,0,0.0,179.0,end,[{0: 1}],-1,0
application_1506638472019_2482,103959,bf8cc2,COMPLETED,80343,1,202,0,80343.0,80546.0,0,0.0,203.0,end,[{0: 1}],-1,0
application_1506638472019_2989,103959,bf8cc2,COMPLETED,113378,1,407,0,113378.0,113786.0,0,0.0,408.0,end,[{0: 1}],-1,0
application_1506638472019_2990,103959,bf8cc2,COMPLETED,113379,1,330,0,113379.0,113710.0,0,0.0,331.0,end,[{0: 1}],-1,0
application_1506638472019_3300,103959,bf8cc2,COMPLETED,115106,1,521,0,115106.0,115628.0,0,0.0,522.0,end,[{0: 1}],-1,0
application_1506638472019_3305,103959,bf8cc2,COMPLETED,115115,1,1036,0,115115.0,116152.0,0,0.0,1037.0,end,[{0: 1}],-1,0
application_1506638472019_3364,103959,bf8cc2,COMPLETED,116835,1,141,0,116835.0,116977.0,0,0.0,142.0,end,[{0: 1}],-1,0
application_1506638472019_3363,103959,bf8cc2,COMPLETED,116835,1,141,0,116835.0,116977.0,0,0.0,142.0,end,[{0: 1}],-1,0
application_1506638472019_4089,103959,bf8cc2,COMPLETED,174262,1,18429,0,174262.0,192692.0,0,0.0,18430.0,end,[{0: 1}],-1,0
application_1506638472019_4222,103959,bf8cc2,COMPLETED,193289,2,233749,0,193289.0,427039.0,0,0.0,233750.0,end,[{0: 2}],-1,0
application_1506638472019_4247,103959,bf8cc2,COMPLETED,199214,1,404,0,199214.0,199619.0,0,0.0,405.0,end,[{0: 1}],-1,0
application_1506638472019_4248,103959,bf8cc2,COMPLETED,199214,1,351,0,199214.0,199566.0,0,0.0,352.0,end,[{0: 1}],-1,0
application_1506638472019_4258,103959,bf8cc2,COMPLETED,200092,1,521,0,200092.0,200614.0,0,0.0,522.0,end,[{0: 1}],-1,0
application_1506638472019_4259,103959,bf8cc2,COMPLETED,200093,1,474,0,200093.0,200568.0,0,0.0,475.0,end,[{0: 1}],-1,0
application_1506638472019_4270,103959,bf8cc2,COMPLETED,201238,1,208,0,201238.0,201447.0,0,0.0,209.0,end,[{0: 1}],-1,0
application_1506638472019_4269,103959,bf8cc2,COMPLETED,201238,1,209,0,201238.0,201448.0,0,0.0,210.0,end,[{0: 1}],-1,0
application_1506638472019_4725,103959,f633a5,COMPLETED,256558,1,558,0,256558.0,257117.0,0,0.0,559.0,end,[{0: 1}],-1,0
application_1506638472019_4761,103959,f633a5,COMPLETED,257222,1,761,0,257222.0,257984.0,0,0.0,762.0,end,[{0: 1}],-1,0
application_1506638472019_5812,103959,bf8cc2,COMPLETED,267890,1,18570,0,267890.0,286461.0,0,0.0,18571.0,end,[{0: 1}],-1,0
application_1506638472019_5813,103959,bf8cc2,COMPLETED,267890,1,22706,0,267890.0,290597.0,0,0.0,22707.0,end,[{0: 1}],-1,0
application_1506638472019_5814,103959,bf8cc2,COMPLETED,267927,1,18537,0,267927.0,286465.0,0,0.0,18538.0,end,[{0: 1}],-1,0
application_1506638472019_5815,103959,bf8cc2,COMPLETED,267928,1,18993,0,267928.0,286922.0,0,0.0,18994.0,end,[{0: 1}],-1,0
application_1506638472019_5965,103959,bf8cc2,COMPLETED,282795,1,21754,0,282795.0,304550.0,0,0.0,21755.0,end,[{0: 1}],-1,0
application_1506638472019_5966,103959,bf8cc2,COMPLETED,282795,1,22262,0,282795.0,305058.0,0,0.0,22263.0,end,[{0: 1}],-1,0
application_1506638472019_5972,103959,bf8cc2,COMPLETED,285219,1,325,0,285219.0,285545.0,0,0.0,326.0,end,[{1: 1}],-1,0
application_1506638472019_5973,103959,bf8cc2,COMPLETED,285220,1,314,0,285220.0,285535.0,0,0.0,315.0,end,[{1: 1}],-1,0
