jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2058,11cb48,066e99,COMPLETED,88,1,61,0,88.0,150.0,0,0.0,62.0,end,[{0: 1}],-1,0
application_1506638472019_2107,11cb48,592498,COMPLETED,491,2,14,0,491.0,506.0,0,0.0,15.0,end,[{0: 2}],-1,0
application_1506638472019_2122,11cb48,066e99,COMPLETED,688,1,63,0,688.0,752.0,0,0.0,64.0,end,[{0: 1}],-1,0
application_1506638472019_2130,11cb48,f2ae3f,FAILED,795,1,102,0,795.0,898.0,0,0.0,103.0,end,[{0: 1}],-1,0
application_1506638472019_2166,11cb48,066e99,COMPLETED,1288,1,63,0,1288.0,1352.0,0,0.0,64.0,end,[{0: 1}],-1,0
application_1506638472019_2194,11cb48,592498,COMPLETED,1616,2,7,0,1616.0,1624.0,0,0.0,8.0,end,[{0: 2}],-1,0
application_1506638472019_2195,11cb48,066e99,COMPLETED,1888,1,60,0,1888.0,1949.0,0,0.0,61.0,end,[{0: 1}],-1,0
application_1506638472019_2197,11cb48,066e99,COMPLETED,2488,1,65,0,2488.0,2554.0,0,0.0,66.0,end,[{0: 1}],-1,0
application_1506638472019_2199,11cb48,066e99,COMPLETED,3088,1,307,0,3088.0,3396.0,0,0.0,308.0,end,[{0: 1}],-1,0
application_1506638472019_2201,11cb48,066e99,COMPLETED,3688,1,70,0,3688.0,3759.0,0,0.0,71.0,end,[{0: 1}],-1,0
application_1506638472019_2202,11cb48,066e99,COMPLETED,4288,1,319,0,4288.0,4608.0,0,0.0,320.0,end,[{0: 1}],-1,0
application_1506638472019_2203,11cb48,066e99,COMPLETED,4888,1,114,0,4888.0,5003.0,0,0.0,115.0,end,[{0: 1}],-1,0
application_1506638472019_2204,11cb48,066e99,COMPLETED,5488,1,963,0,5488.0,6452.0,0,0.0,964.0,end,[{0: 1}],-1,0
application_1506638472019_2206,11cb48,066e99,COMPLETED,6089,1,325,0,6089.0,6415.0,0,0.0,326.0,end,[{0: 1}],-1,0
application_1506638472019_2207,11cb48,066e99,COMPLETED,6688,1,98,0,6688.0,6787.0,0,0.0,99.0,end,[{0: 1}],-1,0
application_1506638472019_2208,11cb48,066e99,COMPLETED,7288,1,82,0,7288.0,7371.0,0,0.0,83.0,end,[{0: 1}],-1,0
application_1506638472019_2209,11cb48,066e99,COMPLETED,7888,1,70,0,7888.0,7959.0,0,0.0,71.0,end,[{0: 1}],-1,0
application_1506638472019_2210,11cb48,066e99,COMPLETED,8488,1,67,0,8488.0,8556.0,0,0.0,68.0,end,[{0: 1}],-1,0
application_1506638472019_2211,11cb48,066e99,COMPLETED,9088,1,64,0,9088.0,9153.0,0,0.0,65.0,end,[{0: 1}],-1,0
application_1506638472019_2212,11cb48,066e99,COMPLETED,9688,1,64,0,9688.0,9753.0,0,0.0,65.0,end,[{0: 1}],-1,0
application_1506638472019_2213,11cb48,066e99,COMPLETED,10289,1,62,0,10289.0,10352.0,0,0.0,63.0,end,[{0: 1}],-1,0
application_1506638472019_2215,11cb48,066e99,COMPLETED,10890,1,69,0,10890.0,10960.0,0,0.0,70.0,end,[{0: 1}],-1,0
application_1506638472019_2216,11cb48,592498,COMPLETED,11303,2,10,0,11303.0,11314.0,0,0.0,11.0,end,[{0: 2}],-1,0
application_1506638472019_2217,11cb48,592498,COMPLETED,11304,2,12,0,11304.0,11317.0,0,0.0,13.0,end,[{0: 2}],-1,0
application_1506638472019_2218,11cb48,592498,COMPLETED,11362,2,17,0,11362.0,11380.0,0,0.0,18.0,end,[{0: 2}],-1,0
application_1506638472019_2219,11cb48,066e99,COMPLETED,11489,1,74,0,11489.0,11564.0,0,0.0,75.0,end,[{0: 1}],-1,0
application_1506638472019_2220,11cb48,066e99,COMPLETED,12089,1,76,0,12089.0,12166.0,0,0.0,77.0,end,[{0: 1}],-1,0
application_1506638472019_2221,11cb48,066e99,COMPLETED,12688,1,63,0,12688.0,12752.0,0,0.0,64.0,end,[{0: 1}],-1,0
application_1506638472019_2222,11cb48,066e99,COMPLETED,13288,1,72,0,13288.0,13361.0,0,0.0,73.0,end,[{0: 1}],-1,0
application_1506638472019_2223,11cb48,066e99,COMPLETED,13888,1,70,0,13888.0,13959.0,0,0.0,71.0,end,[{0: 1}],-1,0
application_1506638472019_2224,11cb48,066e99,COMPLETED,14488,1,64,0,14488.0,14553.0,0,0.0,65.0,end,[{0: 1}],-1,0
application_1506638472019_2226,11cb48,066e99,COMPLETED,15088,1,76,0,15088.0,15165.0,0,0.0,77.0,end,[{0: 1}],-1,0
application_1506638472019_2230,11cb48,066e99,COMPLETED,15688,1,61,0,15688.0,15750.0,0,0.0,62.0,end,[{0: 1}],-1,0
application_1506638472019_2232,11cb48,066e99,COMPLETED,16288,1,79,0,16288.0,16368.0,0,0.0,80.0,end,[{0: 1}],-1,0
application_1506638472019_2233,11cb48,066e99,COMPLETED,16888,1,80,0,16888.0,16969.0,0,0.0,81.0,end,[{0: 1}],-1,0
application_1506638472019_2234,11cb48,066e99,COMPLETED,17490,1,64,0,17490.0,17555.0,0,0.0,65.0,end,[{0: 1}],-1,0
application_1506638472019_2239,11cb48,066e99,COMPLETED,18090,1,78,0,18090.0,18169.0,0,0.0,79.0,end,[{0: 1}],-1,0
application_1506638472019_2241,11cb48,066e99,COMPLETED,18688,1,82,0,18688.0,18771.0,0,0.0,83.0,end,[{0: 1}],-1,0
application_1506638472019_2242,11cb48,066e99,COMPLETED,19288,1,79,0,19288.0,19368.0,0,0.0,80.0,end,[{0: 1}],-1,0
application_1506638472019_2244,11cb48,066e99,COMPLETED,19888,1,90,0,19888.0,19979.0,0,0.0,91.0,end,[{0: 1}],-1,0
application_1506638472019_2245,11cb48,066e99,COMPLETED,20488,1,72,0,20488.0,20561.0,0,0.0,73.0,end,[{0: 1}],-1,0
application_1506638472019_2246,11cb48,f2ae3f,FAILED,20518,1,35220,0,20518.0,55739.0,0,0.0,35221.0,end,[{0: 1}],-1,0
application_1506638472019_2249,11cb48,066e99,COMPLETED,21088,1,64,0,21088.0,21153.0,0,0.0,65.0,end,[{0: 1}],-1,0
application_1506638472019_2250,11cb48,066e99,COMPLETED,21688,1,71,0,21688.0,21760.0,0,0.0,72.0,end,[{0: 1}],-1,0
application_1506638472019_2251,11cb48,066e99,COMPLETED,22288,1,70,0,22288.0,22359.0,0,0.0,71.0,end,[{0: 1}],-1,0
application_1506638472019_2253,11cb48,066e99,COMPLETED,22888,1,124,0,22888.0,23013.0,0,0.0,125.0,end,[{0: 1}],-1,0
application_1506638472019_2254,11cb48,066e99,COMPLETED,23488,1,66,0,23488.0,23555.0,0,0.0,67.0,end,[{0: 1}],-1,0
application_1506638472019_2256,11cb48,066e99,COMPLETED,24088,1,65,0,24088.0,24154.0,0,0.0,66.0,end,[{0: 1}],-1,0
application_1506638472019_2257,11cb48,066e99,COMPLETED,24688,1,65,0,24688.0,24754.0,0,0.0,66.0,end,[{0: 1}],-1,0
application_1506638472019_2258,11cb48,066e99,COMPLETED,25288,1,62,0,25288.0,25351.0,0,0.0,63.0,end,[{0: 1}],-1,0
application_1506638472019_2259,11cb48,066e99,COMPLETED,25888,1,68,0,25888.0,25957.0,0,0.0,69.0,end,[{0: 1}],-1,0
application_1506638472019_2262,11cb48,066e99,COMPLETED,26488,1,68,0,26488.0,26557.0,0,0.0,69.0,end,[{0: 1}],-1,0
application_1506638472019_2263,11cb48,d56e44,COMPLETED,26601,1,59,0,26601.0,26661.0,0,0.0,60.0,end,[{0: 1}],-1,0
application_1506638472019_2264,11cb48,d56e44,COMPLETED,26808,1,58,0,26808.0,26867.0,0,0.0,59.0,end,[{0: 1}],-1,0
application_1506638472019_2265,11cb48,d56e44,COMPLETED,26841,1,51,0,26841.0,26893.0,0,0.0,52.0,end,[{0: 1}],-1,0
application_1506638472019_2266,11cb48,d56e44,COMPLETED,26966,1,53,0,26966.0,27020.0,0,0.0,54.0,end,[{0: 1}],-1,0
application_1506638472019_2269,11cb48,d56e44,COMPLETED,26992,1,56,0,26992.0,27049.0,0,0.0,57.0,end,[{0: 1}],-1,0
application_1506638472019_2270,11cb48,066e99,COMPLETED,27088,1,71,0,27088.0,27160.0,0,0.0,72.0,end,[{0: 1}],-1,0
application_1506638472019_2272,11cb48,066e99,COMPLETED,27688,1,60,0,27688.0,27749.0,0,0.0,61.0,end,[{0: 1}],-1,0
