jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2987,2869ce,fac375,COMPLETED,112967,8,437,0,112980.0,113417.0,0,13.0,450.0,end,[{0: 8}],-1,0
application_1506638472019_2988,2869ce,fac375,COMPLETED,113361,8,310,0,113400.0,113710.0,0,39.0,349.0,end,[{1: 8}],-1,0
application_1506638472019_3559,2869ce,23a431,CANCELLED,118697,8,881,0,118740.0,119621.0,0,43.0,924.0,end,[{0: 8}],-1,0
application_1506638472019_3560,2869ce,23a431,CANCELLED,118855,8,707,0,118860.0,119567.0,0,5.0,712.0,end,[{1: 8}],-1,0
application_1506638472019_3565,2869ce,2be114,FAILED,120393,8,519,0,120420.0,120939.0,0,27.0,546.0,end,[{0: 8}],-1,0
application_1506638472019_3716,2869ce,e4f747,FAILED,133464,8,637,0,133500.0,134137.0,0,36.0,673.0,end,[{0: 8}],-1,0
application_1506638472019_3717,2869ce,e4f747,COMPLETED,133546,8,148,0,133560.0,133708.0,0,14.0,162.0,end,[{1: 8}],-1,0
application_1506638472019_3718,2869ce,e4f747,FAILED,133617,8,52,0,133620.0,133672.0,0,3.0,55.0,end,[{2: 8}],-1,0
application_1506638472019_3719,2869ce,e4f747,FAILED,133646,8,53,0,133680.0,133733.0,0,34.0,87.0,end,[{2: 8}],-1,0
application_1506638472019_3721,2869ce,23a431,COMPLETED,133955,8,161568,0,133980.0,295548.0,0,25.0,161593.0,end,[{1: 8}],-1,0
application_1506638472019_3722,2869ce,23a431,COMPLETED,133977,8,165085,0,133980.0,299065.0,0,3.0,165088.0,end,[{2: 8}],-1,0
application_1506638472019_3723,2869ce,23a431,COMPLETED,133999,8,169914,0,134040.0,303954.0,0,41.0,169955.0,end,[{3: 8}],-1,0
application_1506638472019_3724,2869ce,23a431,COMPLETED,134020,8,165274,0,134040.0,299314.0,0,20.0,165294.0,end,[{4: 8}],-1,0
application_1506638472019_3725,2869ce,23a431,COMPLETED,134058,8,165515,0,134100.0,299615.0,0,42.0,165557.0,end,[{5: 8}],-1,0
application_1506638472019_3732,2869ce,fac375,COMPLETED,136778,4,102,0,136800.0,136902.0,0,22.0,124.0,end,[{0: 4}],-1,0
application_1506638472019_3734,2869ce,fac375,FAILED,136896,4,30,0,136920.0,136950.0,0,24.0,54.0,end,[{0: 4}],-1,0
application_1506638472019_3735,2869ce,fac375,FAILED,137045,4,23,0,137100.0,137123.0,0,55.0,78.0,end,[{0: 4}],-1,0
application_1506638472019_3737,2869ce,fac375,FAILED,137922,4,21,0,137940.0,137961.0,0,18.0,39.0,end,[{0: 4}],-1,0
application_1506638472019_3739,2869ce,fac375,FAILED,138093,4,27,0,138120.0,138147.0,0,27.0,54.0,end,[{0: 4}],-1,0
application_1506638472019_3740,2869ce,23a431,COMPLETED,138127,32,50430,0,138180.0,188610.0,0,53.0,50483.0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",-1,0
application_1506638472019_3741,2869ce,23a431,COMPLETED,138150,32,47358,0,138180.0,185538.0,0,30.0,47388.0,end,"[{9: 8}, {10: 8}, {11: 8}, {12: 8}]",-1,0
application_1506638472019_3742,2869ce,23a431,COMPLETED,138172,32,51170,0,185580.0,236750.0,0,47408.0,98578.0,end,"[{9: 8}, {10: 8}, {11: 8}, {12: 8}]",-1,0
application_1506638472019_3744,2869ce,fac375,FAILED,138708,4,23,0,185580.0,185603.0,0,46872.0,46895.0,end,[{13: 4}],-1,0
application_1506638472019_3745,2869ce,fac375,FAILED,139138,4,23,0,185580.0,185603.0,0,46442.0,46465.0,end,[{13: 4}],-1,0
application_1506638472019_3747,2869ce,fac375,CANCELLED,139356,4,296,0,185580.0,185876.0,0,46224.0,46520.0,end,[{14: 4}],-1,0
application_1506638472019_3749,2869ce,fac375,COMPLETED,140221,4,89,0,185580.0,185669.0,0,45359.0,45448.0,end,[{14: 4}],-1,0
application_1506638472019_3751,2869ce,fac375,COMPLETED,140532,8,320,0,185580.0,185900.0,0,45048.0,45368.0,end,[{15: 8}],-1,0
application_1506638472019_3752,2869ce,2be114,COMPLETED,140847,8,1496,0,185640.0,187136.0,0,44793.0,46289.0,end,[{13: 8}],-1,0
application_1506638472019_3762,2869ce,2be114,CANCELLED,142562,8,114,0,185880.0,185994.0,0,43318.0,43432.0,end,[{14: 8}],-1,0
application_1506638472019_3763,2869ce,2be114,FAILED,142674,8,21,0,185940.0,185961.0,0,43266.0,43287.0,end,[{15: 8}],-1,0
application_1506638472019_3765,2869ce,2be114,COMPLETED,142910,8,1404,0,186000.0,187404.0,0,43090.0,44494.0,end,[{14: 8}],-1,0
application_1506638472019_3769,2869ce,2be114,COMPLETED,144910,8,1224,0,186000.0,187224.0,0,41090.0,42314.0,end,[{15: 8}],-1,0
application_1506638472019_3773,2869ce,2be114,COMPLETED,145477,8,1053,0,187140.0,188193.0,0,41663.0,42716.0,end,[{13: 8}],-1,0
application_1506638472019_3781,2869ce,2be114,COMPLETED,147041,8,914,0,187260.0,188174.0,0,40219.0,41133.0,end,[{15: 8}],-1,0
application_1506638472019_3788,2869ce,2be114,COMPLETED,147759,8,1358,0,187440.0,188798.0,0,39681.0,41039.0,end,[{14: 8}],-1,0
application_1506638472019_3789,2869ce,2be114,COMPLETED,147907,8,946,0,188220.0,189166.0,0,40313.0,41259.0,end,[{13: 8}],-1,0
application_1506638472019_3795,2869ce,fac375,CANCELLED,148324,8,244,0,188220.0,188464.0,0,39896.0,40140.0,end,[{15: 8}],-1,0
application_1506638472019_3798,2869ce,fac375,COMPLETED,148580,8,2191,0,188520.0,190711.0,0,39940.0,42131.0,end,[{15: 8}],-1,0
