jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2987,2869ce,fac375,COMPLETED,112967,8,437,0,113040.0,113477.0,0,73.0,510.0,end,[{0: 8}],-1,0
application_1506638472019_2988,2869ce,fac375,COMPLETED,113361,8,310,0,113520.0,113830.0,0,159.0,469.0,end,[{0: 8}],-1,0
application_1506638472019_3559,2869ce,23a431,CANCELLED,118697,8,881,0,118800.0,119681.0,0,103.0,984.0,end,[{0: 8}],-1,0
application_1506638472019_3560,2869ce,23a431,CANCELLED,118855,8,707,0,119040.0,119747.0,0,185.0,892.0,end,[{1: 8}],-1,0
application_1506638472019_3565,2869ce,2be114,FAILED,120393,8,519,0,120480.0,120999.0,0,87.0,606.0,end,[{0: 8}],-1,0
application_1506638472019_3716,2869ce,e4f747,FAILED,133464,8,637,0,133680.0,134317.0,0,216.0,853.0,end,[{0: 8}],-1,0
application_1506638472019_3717,2869ce,e4f747,COMPLETED,133546,8,148,0,133680.0,133828.0,0,134.0,282.0,end,[{1: 8}],-1,0
application_1506638472019_3718,2869ce,e4f747,FAILED,133617,8,52,0,133680.0,133732.0,0,63.0,115.0,end,[{2: 8}],-1,0
application_1506638472019_3719,2869ce,e4f747,FAILED,133646,8,53,0,133680.0,133733.0,0,34.0,87.0,end,[{3: 8}],-1,0
application_1506638472019_3721,2869ce,23a431,COMPLETED,133955,8,161568,0,134160.0,295728.0,0,205.0,161773.0,end,[{1: 8}],-1,0
application_1506638472019_3722,2869ce,23a431,COMPLETED,133977,8,165085,0,134160.0,299245.0,0,183.0,165268.0,end,[{2: 8}],-1,0
application_1506638472019_3723,2869ce,23a431,COMPLETED,133999,8,169914,0,134160.0,304074.0,0,161.0,170075.0,end,[{3: 8}],-1,0
application_1506638472019_3724,2869ce,23a431,COMPLETED,134020,8,165274,0,134160.0,299434.0,0,140.0,165414.0,end,[{4: 8}],-1,0
application_1506638472019_3725,2869ce,23a431,COMPLETED,134058,8,165515,0,134160.0,299675.0,0,102.0,165617.0,end,[{5: 8}],-1,0
application_1506638472019_3732,2869ce,fac375,COMPLETED,136778,4,102,0,136800.0,136902.0,0,22.0,124.0,end,[{0: 4}],-1,0
application_1506638472019_3734,2869ce,fac375,FAILED,136896,4,30,0,137040.0,137070.0,0,144.0,174.0,end,[{0: 4}],-1,0
application_1506638472019_3735,2869ce,fac375,FAILED,137045,4,23,0,137280.0,137303.0,0,235.0,258.0,end,[{0: 4}],-1,0
application_1506638472019_3737,2869ce,fac375,FAILED,137922,4,21,0,138000.0,138021.0,0,78.0,99.0,end,[{0: 4}],-1,0
application_1506638472019_3739,2869ce,fac375,FAILED,138093,4,27,0,138240.0,138267.0,0,147.0,174.0,end,[{0: 4}],-1,0
application_1506638472019_3740,2869ce,23a431,COMPLETED,138127,32,50430,0,138240.0,188670.0,0,113.0,50543.0,end,"[{6: 8}, {7: 8}, {8: 8}, {9: 8}]",-1,0
application_1506638472019_3741,2869ce,23a431,COMPLETED,138150,32,47358,0,138240.0,185598.0,0,90.0,47448.0,end,"[{10: 8}, {11: 8}, {12: 8}, {13: 8}]",-1,0
application_1506638472019_3742,2869ce,23a431,COMPLETED,138172,32,51170,0,185760.0,236930.0,0,47588.0,98758.0,end,"[{0: 8}, {10: 8}, {11: 8}, {12: 8}]",-130091424,0
application_1506638472019_3744,2869ce,fac375,FAILED,138708,4,23,0,186000.0,186023.0,0,47292.0,47315.0,end,[{13: 4}],-6792,0
application_1506638472019_3745,2869ce,fac375,FAILED,139138,4,23,0,186720.0,186743.0,0,47582.0,47605.0,end,[{13: 4}],40,0
application_1506638472019_3747,2869ce,fac375,CANCELLED,139356,4,296,0,187200.0,187496.0,0,47844.0,48140.0,end,[{15: 4}],768,0
application_1506638472019_3749,2869ce,fac375,COMPLETED,140221,4,89,0,187200.0,187289.0,0,46979.0,47068.0,end,[{15: 4}],592,0
application_1506638472019_3751,2869ce,fac375,COMPLETED,140532,8,320,0,186960.0,187280.0,0,46428.0,46748.0,end,[{14: 8}],160,0
application_1506638472019_3752,2869ce,2be114,COMPLETED,140847,8,1496,0,188880.0,190376.0,0,48033.0,49529.0,end,[{6: 8}],7552,0
application_1506638472019_3762,2869ce,2be114,CANCELLED,142562,8,114,0,186240.0,186354.0,0,43678.0,43792.0,end,[{13: 8}],-5120,0
application_1506638472019_3763,2869ce,2be114,FAILED,142674,8,21,0,186720.0,186741.0,0,44046.0,44067.0,end,[{14: 8}],96,0
application_1506638472019_3765,2869ce,2be114,COMPLETED,142910,8,1404,0,187680.0,189084.0,0,44770.0,46174.0,end,[{14: 8}],4792,0
application_1506638472019_3769,2869ce,2be114,COMPLETED,144910,8,1224,0,188880.0,190104.0,0,43970.0,45194.0,end,[{7: 8}],10704,0
application_1506638472019_3773,2869ce,2be114,COMPLETED,145477,8,1053,0,187680.0,188733.0,0,42203.0,43256.0,end,[{15: 8}],4920,0
application_1506638472019_3781,2869ce,2be114,COMPLETED,147041,8,914,0,188160.0,189074.0,0,41119.0,42033.0,end,[{13: 8}],7288,0
application_1506638472019_3788,2869ce,2be114,COMPLETED,147759,8,1358,0,189840.0,191198.0,0,42081.0,43439.0,end,[{8: 8}],18192,0
application_1506638472019_3789,2869ce,2be114,COMPLETED,147907,8,946,0,188880.0,189826.0,0,40973.0,41919.0,end,[{8: 8}],11328,0
