jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2987,2869ce,fac375,COMPLETED,112967,8,437,0,112967.0,113404.0,0,0.0,437.0,end,[{0: 8}],-1,0
application_1506638472019_2988,2869ce,fac375,COMPLETED,113361,8,310,0,113361.0,113671.0,0,0.0,310.0,end,[{1: 8}],-1,0
application_1506638472019_3559,2869ce,23a431,CANCELLED,118697,8,881,0,118697.0,119578.0,0,0.0,881.0,end,[{0: 8}],-1,0
application_1506638472019_3560,2869ce,23a431,CANCELLED,118855,8,707,0,118855.0,119562.0,0,0.0,707.0,end,[{1: 8}],-1,0
application_1506638472019_3565,2869ce,2be114,FAILED,120393,8,519,0,120393.0,120912.0,0,0.0,519.0,end,[{0: 8}],-1,0
application_1506638472019_3716,2869ce,e4f747,FAILED,133464,8,637,0,133464.0,134101.0,0,0.0,637.0,end,[{0: 8}],-1,0
application_1506638472019_3717,2869ce,e4f747,COMPLETED,133546,8,148,0,133546.0,133694.0,0,0.0,148.0,end,[{1: 8}],-1,0
application_1506638472019_3718,2869ce,e4f747,FAILED,133617,8,52,0,133617.0,133669.0,0,0.0,52.0,end,[{2: 8}],-1,0
application_1506638472019_3719,2869ce,e4f747,FAILED,133646,8,53,0,133646.0,133699.0,0,0.0,53.0,end,[{3: 8}],-1,0
application_1506638472019_3721,2869ce,23a431,COMPLETED,133955,8,161568,0,133955.0,295523.0,0,0.0,161568.0,end,[{1: 8}],-1,0
application_1506638472019_3722,2869ce,23a431,COMPLETED,133977,8,165085,0,133977.0,299062.0,0,0.0,165085.0,end,[{2: 8}],-1,0
application_1506638472019_3723,2869ce,23a431,COMPLETED,133999,8,169914,0,133999.0,303913.0,0,0.0,169914.0,end,[{3: 8}],-1,0
application_1506638472019_3724,2869ce,23a431,COMPLETED,134020,8,165274,0,134020.0,299294.0,0,0.0,165274.0,end,[{4: 8}],-1,0
application_1506638472019_3725,2869ce,23a431,COMPLETED,134058,8,165515,0,134058.0,299573.0,0,0.0,165515.0,end,[{5: 8}],-1,0
application_1506638472019_3732,2869ce,fac375,COMPLETED,136778,4,102,0,136778.0,136880.0,0,0.0,102.0,end,[{0: 4}],-1,0
application_1506638472019_3734,2869ce,fac375,FAILED,136896,4,30,0,136896.0,136926.0,0,0.0,30.0,end,[{0: 4}],-1,0
