jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2235,6c71a0,66ae74,COMPLETED,17874,1,8790,0,17880.0,26670.0,0,6.0,8796.0,end,[{0: 1}],-1,0
application_1506638472019_2236,6c71a0,66ae74,COMPLETED,17998,1,7783,0,18000.0,25783.0,0,2.0,7785.0,end,[{0: 1}],-1,0
application_1506638472019_2238,6c71a0,66ae74,COMPLETED,18058,1,6826,0,18060.0,24886.0,0,2.0,6828.0,end,[{0: 1}],-1,0
application_1506638472019_2240,6c71a0,66ae74,COMPLETED,18461,1,8039,0,18480.0,26519.0,0,19.0,8058.0,end,[{0: 1}],-1,0
application_1506638472019_2384,6c71a0,652cea,COMPLETED,54604,8,17790,0,54660.0,72450.0,0,56.0,17846.0,end,[{0: 8}],-1,0
application_1506638472019_2386,6c71a0,652cea,COMPLETED,54973,8,31155,0,55020.0,86175.0,0,47.0,31202.0,end,[{1: 8}],-1,0
application_1506638472019_2388,6c71a0,652cea,COMPLETED,55368,8,69742,0,55380.0,125122.0,0,12.0,69754.0,end,[{2: 8}],-1,0
application_1506638472019_2453,6c71a0,652cea,COMPLETED,72938,8,70057,0,72960.0,143017.0,0,22.0,70079.0,end,[{0: 8}],-1,0
application_1506638472019_2491,6c71a0,8a5686,COMPLETED,83851,4,439,0,83880.0,84319.0,0,29.0,468.0,end,[{3: 4}],-1,0
application_1506638472019_2498,6c71a0,8a5686,COMPLETED,86361,4,729,0,86400.0,87129.0,0,39.0,768.0,end,[{1: 4}],-1,0
application_1506638472019_2550,6c71a0,fc1d65,COMPLETED,100877,1,427323,0,100920.0,528243.0,0,43.0,427366.0,end,[{1: 1}],-1,0
application_1506638472019_2552,6c71a0,fc1d65,COMPLETED,100972,8,47194,0,100980.0,148174.0,0,8.0,47202.0,end,[{3: 8}],-1,0
application_1506638472019_2554,6c71a0,66ae74,COMPLETED,101663,1,5996,0,101700.0,107696.0,0,37.0,6033.0,end,[{1: 1}],-1,0
application_1506638472019_2555,6c71a0,66ae74,COMPLETED,101706,1,6274,0,101760.0,108034.0,0,54.0,6328.0,end,[{1: 1}],-1,0
application_1506638472019_2556,6c71a0,66ae74,COMPLETED,101762,1,6178,0,101820.0,107998.0,0,58.0,6236.0,end,[{1: 1}],-1,0
application_1506638472019_2561,6c71a0,66ae74,COMPLETED,101855,1,5912,0,101880.0,107792.0,0,25.0,5937.0,end,[{1: 1}],-1,0
application_1506638472019_3485,6c71a0,3d0104,FAILED,118174,1,1141940,0,118200.0,1260140.0,0,26.0,1141966.0,end,[{1: 1}],-1,0
application_1506638472019_3486,6c71a0,3d0104,FAILED,118178,1,1141930,0,118200.0,1260130.0,0,22.0,1141952.0,end,[{1: 1}],-1,0
application_1506638472019_3529,6c71a0,3d0104,FAILED,118379,1,1789764,0,118380.0,1908144.0,0,1.0,1789765.0,end,[{1: 1}],-1,0
application_1506638472019_3650,6c71a0,652cea,CANCELLED,124270,8,91736,0,124320.0,216056.0,0,50.0,91786.0,end,[{4: 8}],-1,0
application_1506638472019_3806,6c71a0,fc1d65,COMPLETED,149365,8,47767,0,149400.0,197167.0,0,35.0,47802.0,end,[{0: 8}],-1,0
application_1506638472019_3821,6c71a0,6be468,CANCELLED,151405,1,1764,0,151440.0,153204.0,0,35.0,1799.0,end,[{1: 1}],-1,0
application_1506638472019_3823,6c71a0,6be468,COMPLETED,151781,1,53,0,151800.0,151853.0,0,19.0,72.0,end,[{1: 1}],-1,0
application_1506638472019_3824,6c71a0,6be468,COMPLETED,151829,1,175,0,151860.0,152035.0,0,31.0,206.0,end,[{1: 1}],-1,0
application_1506638472019_3827,6c71a0,977afc,COMPLETED,152169,1,54849,0,152220.0,207069.0,0,51.0,54900.0,end,[{1: 1}],-1,0
application_1506638472019_3828,6c71a0,fc1d65,COMPLETED,152225,8,62851,0,152280.0,215131.0,0,55.0,62906.0,end,[{2: 8}],-1,0
application_1506638472019_3829,6c71a0,6be468,COMPLETED,152281,1,134,0,152340.0,152474.0,0,59.0,193.0,end,[{1: 1}],-1,0
application_1506638472019_3831,6c71a0,6be468,COMPLETED,152441,1,292,0,152460.0,152752.0,0,19.0,311.0,end,[{1: 1}],-1,0
application_1506638472019_3839,6c71a0,6be468,CANCELLED,153398,1,22884,0,153420.0,176304.0,0,22.0,22906.0,end,[{1: 1}],-1,0
application_1506638472019_3840,6c71a0,6be468,CANCELLED,153425,1,85615,0,153480.0,239095.0,0,55.0,85670.0,end,[{1: 1}],-1,0
application_1506638472019_3841,6c71a0,977afc,COMPLETED,153618,1,68958,0,153660.0,222618.0,0,42.0,69000.0,end,[{1: 1}],-1,0
application_1506638472019_3843,6c71a0,fc1d65,COMPLETED,153793,8,58321,0,153840.0,212161.0,0,47.0,58368.0,end,[{3: 8}],-1,0
application_1506638472019_3844,6c71a0,6be468,CANCELLED,153906,8,22548,0,153960.0,176508.0,0,54.0,22602.0,end,[{5: 8}],-1,0
application_1506638472019_3845,6c71a0,6be468,CANCELLED,153966,8,22592,0,154020.0,176612.0,0,54.0,22646.0,end,[{6: 8}],-1,0
application_1506638472019_3847,6c71a0,fc1d65,COMPLETED,154267,8,1881,0,154320.0,156201.0,0,53.0,1934.0,end,[{7: 8}],-1,0
application_1506638472019_3849,6c71a0,6be468,FAILED,154480,8,13908,0,154500.0,168408.0,0,20.0,13928.0,end,[{8: 8}],-1,0
application_1506638472019_3851,6c71a0,6be468,CANCELLED,154549,8,22066,0,154560.0,176626.0,0,11.0,22077.0,end,[{9: 8}],-1,0
application_1506638472019_3852,6c71a0,6be468,CANCELLED,154676,8,19463,0,154680.0,174143.0,0,4.0,19467.0,end,[{10: 8}],-1,0
application_1506638472019_3853,6c71a0,6be468,CANCELLED,154736,8,19407,0,154740.0,174147.0,0,4.0,19411.0,end,[{11: 8}],-1,0
application_1506638472019_3855,6c71a0,6be468,CANCELLED,154910,8,64,0,154920.0,154984.0,0,10.0,74.0,end,[{12: 8}],-1,0
application_1506638472019_3856,6c71a0,6be468,CANCELLED,154954,8,84012,0,154980.0,238992.0,0,26.0,84038.0,end,[{13: 8}],-1,0
application_1506638472019_3858,6c71a0,6be468,COMPLETED,155011,8,41832,0,155040.0,196872.0,0,29.0,41861.0,end,[{12: 8}],-1,0
