jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2235,6c71a0,66ae74,COMPLETED,17874,1,8790,0,17874.0,26665.0,0,0.0,8791.0,end,[{0: 1}],-1,0
application_1506638472019_2236,6c71a0,66ae74,COMPLETED,17998,1,7783,0,17998.0,25782.0,0,0.0,7784.0,end,[{0: 1}],-1,0
application_1506638472019_2238,6c71a0,66ae74,COMPLETED,18058,1,6826,0,18058.0,24885.0,0,0.0,6827.0,end,[{0: 1}],-1,0
application_1506638472019_2240,6c71a0,66ae74,COMPLETED,18461,1,8039,0,18461.0,26501.0,0,0.0,8040.0,end,[{0: 1}],-1,0
application_1506638472019_2384,6c71a0,652cea,COMPLETED,54604,8,17790,0,54604.0,72395.0,0,0.0,17791.0,end,[{0: 8}],-1,0
application_1506638472019_2386,6c71a0,652cea,COMPLETED,54973,8,31155,0,54973.0,86129.0,0,0.0,31156.0,end,[{1: 8}],-1,0
application_1506638472019_2388,6c71a0,652cea,COMPLETED,55368,8,69742,0,55368.0,125111.0,0,0.0,69743.0,end,[{2: 8}],-1,0
application_1506638472019_2453,6c71a0,652cea,COMPLETED,72938,8,70057,0,72938.0,142996.0,0,0.0,70058.0,end,[{0: 8}],-1,0
application_1506638472019_2491,6c71a0,8a5686,COMPLETED,83851,4,439,0,83851.0,84291.0,0,0.0,440.0,end,[{3: 4}],-1,0
application_1506638472019_2498,6c71a0,8a5686,COMPLETED,86361,4,729,0,86361.0,87091.0,0,0.0,730.0,end,[{1: 4}],-1,0
application_1506638472019_2550,6c71a0,fc1d65,COMPLETED,100877,1,427323,0,100877.0,528201.0,0,0.0,427324.0,end,[{1: 1}],-1,0
application_1506638472019_2552,6c71a0,fc1d65,COMPLETED,100972,8,47194,0,100972.0,148167.0,0,0.0,47195.0,end,[{3: 8}],-1,0
application_1506638472019_2554,6c71a0,66ae74,COMPLETED,101663,1,5996,0,101663.0,107660.0,0,0.0,5997.0,end,[{1: 1}],-1,0
application_1506638472019_2555,6c71a0,66ae74,COMPLETED,101706,1,6274,0,101706.0,107981.0,0,0.0,6275.0,end,[{1: 1}],-1,0
application_1506638472019_2556,6c71a0,66ae74,COMPLETED,101762,1,6178,0,101762.0,107941.0,0,0.0,6179.0,end,[{1: 1}],-1,0
application_1506638472019_2561,6c71a0,66ae74,COMPLETED,101855,1,5912,0,101855.0,107768.0,0,0.0,5913.0,end,[{1: 1}],-1,0
application_1506638472019_3485,6c71a0,3d0104,FAILED,118174,1,1141940,0,118174.0,1325634.0,2,65505.0,1207460.0,end,[{18: 1}],-1,0
