jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2361,7f04ca,a03d7f,CANCELLED,47087,8,222277,0,47280.0,269557.0,0,193.0,222470.0,end,[{0: 8}],-1,0
application_1506638472019_2363,7f04ca,a03d7f,CANCELLED,47509,8,221851,0,47520.0,269371.0,0,11.0,221862.0,end,[{1: 8}],-1,0
application_1506638472019_2366,7f04ca,a03d7f,CANCELLED,48550,8,58876,0,48720.0,107596.0,0,170.0,59046.0,end,[{2: 8}],-1,0
application_1506638472019_2368,7f04ca,a03d7f,COMPLETED,49275,8,2126975,0,49440.0,2176415.0,0,165.0,2127140.0,end,[{3: 8}],-1,0
application_1506638472019_2373,7f04ca,a03d7f,CANCELLED,50506,8,42595,0,50640.0,93235.0,0,134.0,42729.0,end,[{4: 8}],-1,0
application_1506638472019_2374,7f04ca,a03d7f,CANCELLED,50763,8,256,0,50880.0,51136.0,0,117.0,373.0,end,[{5: 8}],-1,0
application_1506638472019_2375,7f04ca,a03d7f,CANCELLED,51062,8,42027,0,51120.0,93147.0,0,58.0,42085.0,end,[{6: 8}],-1,0
application_1506638472019_2389,7f04ca,a03d7f,COMPLETED,55463,8,1051666,0,55680.0,1107346.0,0,217.0,1051883.0,end,[{5: 8}],-1,0
application_1506638472019_2527,7f04ca,a03d7f,COMPLETED,93138,8,591972,0,93360.0,685332.0,0,222.0,592194.0,end,[{4: 8}],-1,0
application_1506638472019_2528,7f04ca,a03d7f,COMPLETED,93169,8,582223,0,93360.0,675583.0,0,191.0,582414.0,end,[{6: 8}],-1,0
application_1506638472019_2575,7f04ca,a03d7f,CANCELLED,103909,8,408,0,103920.0,104328.0,0,11.0,419.0,end,[{7: 8}],-1,0
application_1506638472019_2576,7f04ca,a03d7f,COMPLETED,104156,8,601483,0,104160.0,705643.0,0,4.0,601487.0,end,[{8: 8}],-1,0
application_1506638472019_2579,7f04ca,a03d7f,COMPLETED,104523,8,1121671,0,104640.0,1226311.0,0,117.0,1121788.0,end,[{7: 8}],-1,0
application_1506638472019_2587,7f04ca,a03d7f,CANCELLED,106677,8,13828,0,106800.0,120628.0,0,123.0,13951.0,end,[{9: 8}],-1,0
application_1506638472019_2591,7f04ca,a03d7f,COMPLETED,107458,8,316836,0,107520.0,424356.0,0,62.0,316898.0,end,[{10: 8}],-1,0
application_1506638472019_3566,7f04ca,a03d7f,CANCELLED,120579,8,8217,0,120720.0,128937.0,0,141.0,8358.0,end,[{2: 8}],-1,0
application_1506638472019_3700,7f04ca,a03d7f,CANCELLED,127943,8,2090,0,128160.0,130250.0,0,217.0,2307.0,end,[{9: 8}],-1,0
application_1506638472019_3701,7f04ca,a03d7f,FAILED,127975,8,24616,0,128160.0,152776.0,0,185.0,24801.0,end,[{11: 8}],-1,0
application_1506638472019_3705,7f04ca,a03d7f,CANCELLED,129971,8,1361224,0,130080.0,1491304.0,0,109.0,1361333.0,end,[{2: 8}],-1,0
application_1506638472019_3706,7f04ca,a03d7f,CANCELLED,129974,8,1447193,0,130080.0,1577273.0,0,106.0,1447299.0,end,[{12: 8}],-1,0
application_1506638472019_3708,7f04ca,a03d7f,CANCELLED,130531,8,294,0,130560.0,130854.0,0,29.0,323.0,end,[{9: 8}],-1,0
application_1506638472019_3709,7f04ca,a03d7f,FAILED,130814,8,891487,0,131040.0,1022527.0,0,226.0,891713.0,end,[{9: 8}],-1,0
