jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2361,7f04ca,a03d7f,CANCELLED,47087,8,222277,0,47087.0,269364.0,0,0.0,222277.0,end,[{0: 8}],-1,0
application_1506638472019_2363,7f04ca,a03d7f,CANCELLED,47509,8,221851,0,47509.0,269360.0,0,0.0,221851.0,end,[{1: 8}],-1,0
application_1506638472019_2366,7f04ca,a03d7f,CANCELLED,48550,8,58876,0,48550.0,107426.0,0,0.0,58876.0,end,[{2: 8}],-1,0
application_1506638472019_2368,7f04ca,a03d7f,COMPLETED,49275,8,2126975,0,49275.0,2176250.0,0,0.0,2126975.0,end,[{3: 8}],-1,0
application_1506638472019_2373,7f04ca,a03d7f,CANCELLED,50506,8,42595,0,50506.0,93101.0,0,0.0,42595.0,end,[{4: 8}],-1,0
application_1506638472019_2374,7f04ca,a03d7f,CANCELLED,50763,8,256,0,50763.0,51019.0,0,0.0,256.0,end,[{5: 8}],-1,0
application_1506638472019_2375,7f04ca,a03d7f,CANCELLED,51062,8,42027,0,51062.0,93089.0,0,0.0,42027.0,end,[{5: 8}],-1,0
application_1506638472019_2389,7f04ca,a03d7f,COMPLETED,55463,8,1051666,0,55463.0,1107129.0,0,0.0,1051666.0,end,[{6: 8}],-1,0
application_1506638472019_2527,7f04ca,a03d7f,COMPLETED,93138,8,591972,0,93138.0,685110.0,0,0.0,591972.0,end,[{4: 8}],-1,0
application_1506638472019_2528,7f04ca,a03d7f,COMPLETED,93169,8,582223,0,93169.0,675392.0,0,0.0,582223.0,end,[{5: 8}],-1,0
application_1506638472019_2575,7f04ca,a03d7f,CANCELLED,103909,8,408,0,103909.0,104317.0,0,0.0,408.0,end,[{7: 8}],-1,0
application_1506638472019_2576,7f04ca,a03d7f,COMPLETED,104156,8,601483,0,104156.0,705639.0,0,0.0,601483.0,end,[{8: 8}],-1,0
application_1506638472019_2579,7f04ca,a03d7f,COMPLETED,104523,8,1121671,0,104523.0,1226194.0,0,0.0,1121671.0,end,[{7: 8}],-1,0
application_1506638472019_2587,7f04ca,a03d7f,CANCELLED,106677,8,13828,0,106677.0,120505.0,0,0.0,13828.0,end,[{9: 8}],-1,0
application_1506638472019_2591,7f04ca,a03d7f,COMPLETED,107458,8,316836,0,107458.0,424294.0,0,0.0,316836.0,end,[{2: 8}],-1,0
