jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2361,7f04ca,a03d7f,CANCELLED,47087,8,222277,0,47087.0,269365.0,0,0.0,222278.0,end,[{0: 8}],-1,0
application_1506638472019_2363,7f04ca,a03d7f,CANCELLED,47509,8,221851,0,47509.0,269361.0,0,0.0,221852.0,end,[{1: 8}],-1,0
application_1506638472019_2366,7f04ca,a03d7f,CANCELLED,48550,8,58876,0,48550.0,107427.0,0,0.0,58877.0,end,[{2: 8}],-1,0
application_1506638472019_2368,7f04ca,a03d7f,COMPLETED,49275,8,2126975,0,49275.0,2296198.0,5,119797.0,2246923.0,end,[{18: 8}],-1,0
application_1506638472019_2373,7f04ca,a03d7f,CANCELLED,50506,8,42595,0,50506.0,93102.0,0,0.0,42596.0,end,[{4: 8}],-1,0
application_1506638472019_2374,7f04ca,a03d7f,CANCELLED,50763,8,256,0,50763.0,51020.0,0,0.0,257.0,end,[{5: 8}],-1,0
application_1506638472019_2375,7f04ca,a03d7f,CANCELLED,51062,8,42027,0,51062.0,93090.0,0,0.0,42028.0,end,[{5: 8}],-1,0
application_1506638472019_2389,7f04ca,a03d7f,COMPLETED,55463,8,1051666,0,55463.0,1107130.0,0,0.0,1051667.0,end,[{6: 8}],-1,0
application_1506638472019_2527,7f04ca,a03d7f,COMPLETED,93138,8,591972,0,93138.0,685111.0,0,0.0,591973.0,end,[{4: 8}],-1,0
application_1506638472019_2528,7f04ca,a03d7f,COMPLETED,93169,8,582223,0,93169.0,675393.0,0,0.0,582224.0,end,[{5: 8}],-1,0
application_1506638472019_2575,7f04ca,a03d7f,CANCELLED,103909,8,408,0,103909.0,104318.0,0,0.0,409.0,end,[{7: 8}],-1,0
application_1506638472019_2576,7f04ca,a03d7f,COMPLETED,104156,8,601483,0,104156.0,705640.0,0,0.0,601484.0,end,[{8: 8}],-1,0
application_1506638472019_2579,7f04ca,a03d7f,COMPLETED,104523,8,1121671,0,104523.0,1226195.0,0,0.0,1121672.0,end,[{7: 8}],-1,0
application_1506638472019_2587,7f04ca,a03d7f,CANCELLED,106677,8,13828,0,106677.0,120506.0,0,0.0,13829.0,end,[{9: 8}],-1,0
application_1506638472019_2591,7f04ca,a03d7f,COMPLETED,107458,8,316836,0,107458.0,424295.0,0,0.0,316837.0,end,[{2: 8}],-1,0
application_1506638472019_3566,7f04ca,a03d7f,CANCELLED,120579,8,8217,0,120579.0,128797.0,0,0.0,8218.0,end,[{9: 8}],-1,0
application_1506638472019_3700,7f04ca,a03d7f,CANCELLED,127943,8,2090,0,127943.0,130034.0,0,0.0,2091.0,end,[{10: 8}],-1,0
application_1506638472019_3701,7f04ca,a03d7f,FAILED,127975,8,24616,0,127975.0,152592.0,0,0.0,24617.0,end,[{11: 8}],-1,0
application_1506638472019_3705,7f04ca,a03d7f,CANCELLED,129971,8,1361224,0,129971.0,1491196.0,0,0.0,1361225.0,end,[{9: 8}],-1,0
application_1506638472019_3706,7f04ca,a03d7f,CANCELLED,129974,8,1447193,0,129974.0,1628224.0,3,50966.0,1498250.0,end,[{3: 8}],-1,0
application_1506638472019_3708,7f04ca,a03d7f,CANCELLED,130531,8,294,0,130531.0,130826.0,0,0.0,295.0,end,[{10: 8}],-1,0
application_1506638472019_3709,7f04ca,a03d7f,FAILED,130814,8,891487,0,130814.0,1022302.0,0,0.0,891488.0,end,[{13: 8}],-1,0
application_1506638472019_3974,7f04ca,43863b,FAILED,162006,4,133,0,162006.0,162140.0,0,0.0,134.0,end,[{10: 4}],-1,0
application_1506638472019_3979,7f04ca,43863b,COMPLETED,163010,4,149635,0,163010.0,312646.0,0,0.0,149636.0,end,[{10: 4}],-1,0
application_1506638472019_4006,7f04ca,43863b,FAILED,167260,8,20469,0,167260.0,187730.0,0,0.0,20470.0,end,[{11: 8}],-1,0
application_1506638472019_4201,7f04ca,43863b,COMPLETED,185761,4,157541,0,185761.0,343303.0,0,0.0,157542.0,end,[{10: 4}],-1,0
application_1506638472019_4202,7f04ca,43863b,COMPLETED,185802,8,36195,0,185802.0,221998.0,0,0.0,36196.0,end,[{14: 8}],-1,0
application_1506638472019_4234,7f04ca,43863b,FAILED,197397,8,126086,0,197397.0,323484.0,0,0.0,126087.0,end,[{11: 8}],-1,0
application_1506638472019_4239,7f04ca,43863b,CANCELLED,198484,1,369,0,198484.0,198854.0,0,0.0,370.0,end,[{15: 1}],-1,0
