time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,gpu_utilization
0,2816,2815,0,1,0,0,352,1,0,0.0
240,2816,2802,0,14,0,0,352,1,2,0.005
480,2816,2762,0,44,0,0,352,0,7,0.019
720,2816,2739,0,60,0,0,352,0,11,0.027
960,2816,2715,0,73,0,0,352,1,13,0.036
1200,2816,2697,0,91,0,0,352,0,15,0.042
1440,2816,2670,0,118,0,0,352,2,18,0.052
1680,2816,2690,0,97,0,0,352,3,17,0.045
1920,2816,2698,0,90,0,0,352,1,17,0.042
2160,2816,2703,0,85,0,0,352,2,15,0.04
2400,2816,2705,0,83,0,0,352,0,15,0.039
2640,2816,2705,0,83,0,0,352,1,15,0.039
2880,2816,2706,0,82,0,0,352,0,15,0.039
3120,2816,2689,0,85,0,0,352,3,15,0.045
3360,2816,2689,0,85,0,0,352,3,15,0.045
3600,2816,2690,0,84,0,0,352,2,15,0.045
3840,2816,2689,0,85,0,0,352,3,15,0.045
4080,2816,2698,0,83,0,0,352,1,15,0.042
4320,2816,2697,0,84,0,0,352,2,15,0.042
4560,2816,2697,0,84,0,0,352,2,15,0.042
4800,2816,2698,0,83,0,0,352,1,15,0.042
5040,2816,2697,0,84,0,0,352,2,15,0.042
5280,2816,2698,0,83,0,0,352,1,15,0.042
5520,2816,2697,0,84,0,0,352,2,15,0.042
5760,2816,2697,0,84,0,0,352,2,15,0.042
6000,2816,2697,0,84,0,0,352,2,15,0.042
6240,2816,2688,0,86,0,0,352,2,16,0.045
6480,2816,2688,0,86,0,0,352,2,16,0.045
6720,2816,2689,0,85,0,0,352,3,15,0.045
6960,2816,2690,0,84,0,0,352,2,15,0.045
7200,2816,2690,0,84,0,0,352,2,15,0.045
7440,2816,2689,0,85,0,0,352,3,15,0.045
7680,2816,2690,0,84,0,0,352,2,15,0.045
7920,2816,2689,0,85,0,0,352,3,15,0.045
8160,2816,2690,0,84,0,0,352,2,15,0.045
8400,2816,2690,0,84,0,0,352,2,15,0.045
8640,2816,2689,0,85,0,0,352,3,15,0.045
8880,2816,2690,0,84,0,0,352,2,15,0.045
9120,2816,2689,0,85,0,0,352,3,15,0.045
9360,2816,2690,0,84,0,0,352,2,15,0.045
9600,2816,2690,0,84,0,0,352,2,15,0.045
9840,2816,2689,0,85,0,0,352,3,15,0.045
10080,2816,2690,0,84,0,0,352,2,15,0.045
10320,2816,2689,0,85,0,0,352,3,15,0.045
10560,2816,2689,0,85,0,0,352,3,15,0.045
10800,2816,2689,0,85,0,0,352,3,15,0.045
11040,2816,2688,0,86,0,0,352,4,15,0.045
11280,2816,2689,0,85,0,0,352,3,15,0.045
11520,2816,2682,0,89,0,0,352,3,16,0.048
11760,2816,2689,0,85,0,0,352,3,15,0.045
12000,2816,2689,0,85,0,0,352,3,15,0.045
12240,2816,2688,0,86,0,0,352,4,15,0.045
12480,2816,2697,0,84,0,0,352,2,15,0.042
12720,2816,2696,0,85,0,0,352,3,15,0.043
12960,2816,2698,0,83,0,0,352,2,15,0.042
13200,2816,2718,0,63,0,0,352,3,14,0.035
13440,2816,2762,0,19,0,0,352,3,6,0.019
13680,2816,2763,0,18,0,0,352,2,6,0.019
13920,2816,2762,0,19,0,0,352,3,6,0.019
14160,2816,2763,0,18,0,0,352,2,6,0.019
14400,2816,2763,0,18,0,0,352,2,6,0.019
14640,2816,2762,0,19,0,0,352,3,6,0.019
14880,2816,2763,0,18,0,0,352,2,6,0.019
15120,2816,2754,0,20,0,0,352,4,6,0.022
15360,2816,2755,0,19,0,0,352,3,6,0.022
15600,2816,2738,0,21,0,0,352,6,6,0.028
15840,2816,2735,0,24,0,0,352,7,6,0.029
16080,2816,2737,0,22,0,0,352,6,6,0.028
16320,2816,2737,0,22,0,0,352,7,6,0.028
16560,2816,2738,0,21,0,0,352,6,6,0.028
16800,2816,2738,0,21,0,0,352,6,6,0.028
17040,2816,2737,0,22,0,0,352,7,6,0.028
17280,2816,2738,0,21,0,0,352,6,6,0.028
17520,2816,2737,0,22,0,0,352,7,6,0.028
17760,2816,2738,0,21,0,0,352,6,6,0.028
18000,2816,2736,0,23,0,0,352,6,7,0.028
18240,2816,2733,0,26,0,0,352,7,7,0.029
18480,2816,2733,0,26,0,0,352,6,7,0.029
18720,2816,2732,0,27,0,0,352,7,7,0.03
18960,2816,2733,0,26,0,0,352,6,7,0.029
19200,2816,2734,0,25,0,0,352,6,7,0.029
19440,2816,2733,0,26,0,0,352,7,7,0.029
19680,2816,2734,0,25,0,0,352,6,7,0.029
19920,2816,2732,0,27,0,0,352,7,7,0.03
20160,2816,2733,0,26,0,0,352,6,7,0.029
20400,2816,2733,0,26,0,0,352,6,7,0.029
20640,2816,2731,0,28,0,0,352,6,8,0.03
20880,2816,2727,0,29,0,0,352,7,8,0.032
21120,2816,2726,0,30,0,0,352,6,9,0.032
21360,2816,2727,0,29,0,0,352,7,8,0.032
21600,2816,2727,0,29,0,0,352,7,8,0.032
21840,2816,2726,0,30,0,0,352,6,9,0.032
22080,2816,2727,0,29,0,0,352,7,8,0.032
22320,2816,2726,0,30,0,0,352,6,9,0.032
22560,2816,2727,0,29,0,0,352,7,8,0.032
22800,2816,2726,0,30,0,0,352,7,8,0.032
23040,2816,2725,0,31,0,0,352,6,9,0.032
23280,2816,2726,0,30,0,0,352,7,8,0.032
23520,2816,2725,0,31,0,0,352,6,9,0.032
23760,2816,2723,0,30,0,0,352,7,8,0.033
24000,2816,2723,0,30,0,0,352,7,8,0.033
24240,2816,2722,0,31,0,0,352,6,9,0.033
24480,2816,2723,0,30,0,0,352,7,8,0.033
24720,2816,2722,0,31,0,0,352,6,9,0.033
24960,2816,2723,0,30,0,0,352,7,8,0.033
25200,2816,2724,0,29,0,0,352,7,8,0.033
25440,2816,2723,0,30,0,0,352,6,9,0.033
25680,2816,2724,0,29,0,0,352,7,8,0.033
25920,2816,2724,0,29,0,0,352,6,9,0.033
26160,2816,2725,0,28,0,0,352,7,8,0.032
26400,2816,2723,0,30,0,0,352,7,9,0.033
26640,2816,2722,0,31,0,0,352,7,9,0.033
26880,2816,2729,0,26,0,0,352,6,8,0.031
27120,2816,2728,0,28,0,0,352,6,9,0.031
27360,2816,2733,0,24,0,0,352,7,8,0.029
27600,2816,2737,0,24,0,0,352,5,9,0.028
27840,2816,2712,0,28,0,0,352,7,10,0.037
28080,2816,2683,0,29,0,0,352,12,8,0.047
28320,2816,2702,0,27,0,0,352,10,8,0.04
28560,2816,2675,0,30,0,0,352,13,8,0.05
28800,2816,2667,0,31,0,0,352,14,8,0.053
29040,2816,2657,0,34,0,0,352,14,9,0.056
29280,2816,2659,0,32,0,0,352,15,8,0.056
29520,2816,2656,0,34,0,0,352,14,9,0.057
29760,2816,2659,0,32,0,0,352,15,8,0.056
30000,2816,2659,0,32,0,0,352,15,8,0.056
30240,2816,2662,0,32,0,0,352,15,8,0.055
30480,2816,2663,0,31,0,0,352,16,7,0.054
30720,2816,2662,0,32,0,0,352,15,8,0.055
30960,2816,2663,0,31,0,0,352,16,7,0.054
31200,2816,2655,0,39,0,0,352,16,7,0.057
31440,2816,2652,0,42,0,0,352,15,8,0.058
31680,2816,2653,0,41,0,0,352,16,7,0.058
31920,2816,2647,0,44,0,0,352,15,9,0.06
32160,2816,2649,0,42,0,0,352,15,8,0.059
32400,2816,2657,0,41,0,0,352,14,8,0.056
32640,2816,2670,0,41,0,0,352,11,9,0.052
32880,2816,2673,0,39,0,0,352,12,8,0.051
33120,2816,2672,0,40,0,0,352,11,9,0.051
33360,2816,2672,0,40,0,0,352,11,9,0.051
33600,2816,2672,0,40,0,0,352,11,9,0.051
33840,2816,2671,0,41,0,0,352,11,9,0.051
34080,2816,2676,0,39,0,0,352,12,8,0.05
34320,2816,2675,0,40,0,0,352,12,8,0.05
34560,2816,2676,0,39,0,0,352,12,8,0.05
34800,2816,2676,0,39,0,0,352,12,8,0.05
35040,2816,2675,0,40,0,0,352,12,8,0.05
35280,2816,2676,0,39,0,0,352,12,8,0.05
35520,2816,2675,0,40,0,0,352,12,8,0.05
35760,2816,2676,0,39,0,0,352,12,8,0.05
36000,2816,2675,0,40,0,0,352,12,8,0.05
36240,2816,2674,0,41,0,0,352,12,8,0.05
36480,2816,2675,0,40,0,0,352,12,8,0.05
36720,2816,2674,0,41,0,0,352,12,8,0.05
36960,2816,2675,0,40,0,0,352,12,8,0.05
37200,2816,2675,0,40,0,0,352,12,8,0.05
37440,2816,2674,0,41,0,0,352,12,8,0.05
37680,2816,2675,0,40,0,0,352,12,8,0.05
37920,2816,2674,0,41,0,0,352,12,8,0.05
38160,2816,2675,0,40,0,0,352,12,8,0.05
38400,2816,2673,0,42,0,0,352,12,9,0.051
38640,2816,2672,0,43,0,0,352,12,9,0.051
38880,2816,2675,0,40,0,0,352,12,8,0.05
39120,2816,2672,0,42,0,0,352,12,8,0.051
39360,2816,2674,0,41,0,0,352,13,8,0.05
39600,2816,2675,0,40,0,0,352,12,8,0.05
39840,2816,2674,0,41,0,0,352,12,8,0.05
40080,2816,2671,0,42,0,0,352,12,8,0.051
40320,2816,2674,0,41,0,0,352,12,8,0.05
40560,2816,2675,0,40,0,0,352,12,8,0.05
40800,2816,2675,0,40,0,0,352,12,8,0.05
41040,2816,2674,0,41,0,0,352,12,8,0.05
41280,2816,2675,0,40,0,0,352,12,8,0.05
41520,2816,2674,0,41,0,0,352,12,8,0.05
41760,2816,2675,0,40,0,0,352,12,8,0.05
42000,2816,2675,0,40,0,0,352,12,8,0.05
42240,2816,2674,0,41,0,0,352,12,8,0.05
42480,2816,2675,0,40,0,0,352,12,8,0.05
42720,2816,2674,0,41,0,0,352,12,8,0.05
42960,2816,2675,0,40,0,0,352,12,8,0.05
43200,2816,2675,0,40,0,0,352,12,8,0.05
43440,2816,2674,0,41,0,0,352,12,8,0.05
43680,2816,2675,0,40,0,0,352,12,8,0.05
43920,2816,2682,0,40,0,0,352,11,8,0.048
44160,2816,2683,0,39,0,0,352,11,8,0.047
44400,2816,2683,0,39,0,0,352,11,8,0.047
44640,2816,2682,0,40,0,0,352,11,8,0.048
44880,2816,2683,0,39,0,0,352,11,8,0.047
45120,2816,2682,0,40,0,0,352,11,8,0.048
45360,2816,2683,0,39,0,0,352,11,8,0.047
45600,2816,2683,0,39,0,0,352,11,8,0.047
45840,2816,2682,0,40,0,0,352,11,8,0.048
46080,2816,2683,0,39,0,0,352,11,8,0.047
46320,2816,2680,0,41,0,0,352,11,8,0.048
46560,2816,2683,0,39,0,0,352,11,8,0.047
46800,2816,2683,0,39,0,0,352,11,8,0.047
47040,2816,2682,0,40,0,0,352,11,8,0.048
47280,2816,2675,0,40,0,0,352,12,8,0.05
47520,2816,2666,0,42,0,0,352,13,8,0.053
47760,2816,2669,0,41,0,0,352,13,8,0.052
48000,2816,2671,0,40,0,0,352,13,8,0.051
48240,2816,2670,0,41,0,0,352,13,8,0.052
48480,2816,2671,0,40,0,0,352,13,8,0.051
48720,2816,2662,0,42,0,0,352,14,8,0.055
48960,2816,2663,0,41,0,0,352,14,8,0.054
49200,2816,2663,0,41,0,0,352,14,8,0.054
49440,2816,2654,0,43,0,0,352,15,8,0.058
49680,2816,2655,0,42,0,0,352,15,8,0.057
49920,2816,2654,0,43,0,0,352,15,8,0.058
50160,2816,2654,0,43,0,0,352,15,8,0.058
50400,2816,2655,0,42,0,0,352,14,8,0.057
50640,2816,2646,0,44,0,0,352,15,8,0.06
50880,2816,2639,0,44,0,0,352,16,8,0.063
51120,2816,2630,0,46,0,0,352,17,8,0.066
51360,2816,2639,0,44,0,0,352,16,8,0.063
51600,2816,2638,0,45,0,0,352,16,8,0.063
51840,2816,2637,0,46,0,0,352,16,8,0.064
52080,2816,2638,0,45,0,0,352,16,8,0.063
52320,2816,2637,0,46,0,0,352,16,8,0.064
52560,2816,2639,0,44,0,0,352,16,8,0.063
52800,2816,2640,0,43,0,0,352,16,8,0.062
53040,2816,2639,0,44,0,0,352,16,8,0.063
53280,2816,2640,0,43,0,0,352,16,8,0.062
53520,2816,2638,0,45,0,0,352,17,8,0.063
53760,2816,2640,0,43,0,0,352,16,8,0.062
54000,2816,2640,0,43,0,0,352,16,8,0.062
54240,2816,2639,0,44,0,0,352,16,8,0.063
54480,2816,2640,0,43,0,0,352,16,8,0.062
54720,2816,2631,0,45,0,0,352,17,8,0.066
54960,2816,2632,0,44,0,0,352,17,8,0.065
55200,2816,2624,0,45,0,0,352,18,8,0.068
55440,2816,2615,0,47,0,0,352,19,8,0.071
55680,2816,2608,0,47,0,0,352,20,8,0.074
55920,2816,2608,0,47,0,0,352,20,8,0.074
56160,2816,2609,0,46,0,0,352,21,7,0.074
56400,2816,2609,0,46,0,0,352,21,7,0.074
56640,2816,2602,0,50,0,0,352,20,8,0.076
56880,2816,2609,0,46,0,0,352,21,7,0.074
57120,2816,2608,0,47,0,0,352,20,8,0.074
57360,2816,2609,0,46,0,0,352,21,7,0.074
57600,2816,2609,0,46,0,0,352,21,7,0.074
57840,2816,2608,0,47,0,0,352,20,8,0.074
58080,2816,2609,0,46,0,0,352,21,7,0.074
58320,2816,2606,0,48,0,0,352,20,8,0.075
58560,2816,2609,0,46,0,0,352,21,7,0.074
58800,2816,2609,0,46,0,0,352,21,7,0.074
59040,2816,2608,0,47,0,0,352,20,8,0.074
59280,2816,2609,0,46,0,0,352,21,7,0.074
59520,2816,2608,0,47,0,0,352,20,8,0.074
59760,2816,2609,0,46,0,0,352,21,7,0.074
60000,2816,2609,0,46,0,0,352,21,7,0.074
60240,2816,2604,0,48,0,0,352,21,8,0.075
60480,2816,2605,0,47,0,0,352,22,7,0.075
60720,2816,2604,0,48,0,0,352,21,8,0.075
60960,2816,2605,0,47,0,0,352,22,7,0.075
61200,2816,2606,0,46,0,0,352,21,7,0.075
61440,2816,2601,0,48,0,0,352,21,8,0.076
61680,2816,2602,0,47,0,0,352,20,8,0.076
61920,2816,2601,0,48,0,0,352,21,8,0.076
62160,2816,2606,0,46,0,0,352,21,7,0.075
62400,2816,2606,0,46,0,0,352,21,7,0.075
62640,2816,2601,0,48,0,0,352,21,8,0.076
62880,2816,2602,0,47,0,0,352,20,8,0.076
63120,2816,2601,0,48,0,0,352,21,8,0.076
63360,2816,2602,0,47,0,0,352,20,8,0.076
63600,2816,2602,0,47,0,0,352,20,8,0.076
63840,2816,2601,0,48,0,0,352,21,8,0.076
64080,2816,2596,0,49,0,0,352,22,8,0.078
64320,2816,2597,0,49,0,0,352,22,8,0.078
64560,2816,2598,0,48,0,0,352,21,8,0.077
64800,2816,2597,0,49,0,0,352,22,8,0.078
65040,2816,2596,0,50,0,0,352,23,8,0.078
65280,2816,2597,0,49,0,0,352,22,8,0.078
65520,2816,2591,0,52,0,0,352,21,10,0.08
65760,2816,2592,0,51,0,0,352,20,10,0.08
66000,2816,2604,0,51,0,0,352,19,10,0.075
66240,2816,2606,0,52,0,0,352,19,10,0.075
66480,2816,2603,0,52,0,0,352,19,10,0.076
66720,2816,2606,0,52,0,0,352,19,10,0.075
66960,2816,2598,0,53,0,0,352,19,10,0.077
67200,2816,2591,0,57,0,0,352,20,10,0.08
67440,2816,2590,0,61,0,0,352,22,10,0.08
67680,2816,2592,0,59,0,0,352,21,10,0.08
67920,2816,2595,0,59,0,0,352,23,9,0.078
68160,2816,2594,0,59,0,0,352,23,9,0.079
68400,2816,2596,0,58,0,0,352,22,9,0.078
68640,2816,2595,0,59,0,0,352,23,9,0.078
68880,2816,2596,0,58,0,0,352,22,9,0.078
69120,2816,2599,0,58,0,0,352,22,9,0.077
69360,2816,2600,0,57,0,0,352,21,9,0.077
69600,2816,2600,0,57,0,0,352,21,9,0.077
69840,2816,2599,0,58,0,0,352,22,9,0.077
70080,2816,2600,0,57,0,0,352,21,9,0.077
70320,2816,2599,0,58,0,0,352,22,9,0.077
70560,2816,2600,0,57,0,0,352,21,9,0.077
70800,2816,2600,0,57,0,0,352,21,9,0.077
71040,2816,2599,0,58,0,0,352,22,9,0.077
71280,2816,2608,0,56,0,0,352,20,9,0.074
71520,2816,2607,0,57,0,0,352,21,9,0.074
71760,2816,2606,0,57,0,0,352,21,9,0.075
72000,2816,2600,0,58,0,0,352,20,10,0.077
72240,2816,2607,0,57,0,0,352,21,9,0.074
72480,2816,2608,0,56,0,0,352,20,9,0.074
72720,2816,2619,0,55,0,0,352,19,9,0.07
72960,2816,2612,0,55,0,0,352,19,9,0.072
73200,2816,2612,0,55,0,0,352,19,9,0.072
73440,2816,2611,0,56,0,0,352,20,9,0.073
73680,2816,2612,0,55,0,0,352,19,9,0.072
73920,2816,2608,0,56,0,0,352,20,9,0.074
74160,2816,2609,0,55,0,0,352,19,9,0.074
74400,2816,2609,0,55,0,0,352,19,9,0.074
74640,2816,2608,0,56,0,0,352,20,9,0.074
74880,2816,2577,0,57,0,0,352,23,9,0.085
75120,2816,2592,0,57,0,0,352,22,9,0.08
75360,2816,2609,0,55,0,0,352,19,9,0.074
75600,2816,2609,0,55,0,0,352,19,9,0.074
75840,2816,2607,0,57,0,0,352,19,10,0.074
76080,2816,2608,0,56,0,0,352,20,9,0.074
76320,2816,2603,0,58,0,0,352,20,10,0.076
76560,2816,2604,0,57,0,0,352,21,9,0.075
76800,2816,2604,0,57,0,0,352,21,9,0.075
77040,2816,2602,0,59,0,0,352,21,10,0.076
77280,2816,2604,0,57,0,0,352,21,9,0.075
77520,2816,2603,0,58,0,0,352,20,10,0.076
77760,2816,2556,0,63,0,0,352,27,9,0.092
78000,2816,2556,0,63,0,0,352,27,9,0.092
78240,2816,2555,0,64,0,0,352,26,10,0.093
78480,2816,2556,0,63,0,0,352,27,9,0.092
78720,2816,2555,0,64,0,0,352,26,10,0.093
78960,2816,2554,0,64,0,0,352,26,10,0.093
79200,2816,2552,0,65,0,0,352,26,10,0.094
79440,2816,2555,0,64,0,0,352,26,10,0.093
79680,2816,2555,0,64,0,0,352,27,9,0.093
79920,2816,2554,0,65,0,0,352,26,10,0.093
80160,2816,2555,0,64,0,0,352,27,9,0.093
80400,2816,2554,0,65,0,0,352,28,9,0.093
80640,2816,2554,0,65,0,0,352,26,10,0.093
80880,2816,2555,0,64,0,0,352,27,9,0.093
81120,2816,2550,0,66,0,0,352,25,11,0.094
81360,2816,2551,0,65,0,0,352,26,10,0.094
81600,2816,2551,0,65,0,0,352,26,10,0.094
81840,2816,2550,0,66,0,0,352,25,11,0.094
82080,2816,2551,0,65,0,0,352,26,10,0.094
82320,2816,2550,0,66,0,0,352,25,11,0.094
82560,2816,2551,0,65,0,0,352,26,10,0.094
82800,2816,2551,0,65,0,0,352,26,10,0.094
83040,2816,2550,0,66,0,0,352,25,11,0.094
83280,2816,2551,0,65,0,0,352,26,10,0.094
83520,2816,2554,0,65,0,0,352,24,11,0.093
83760,2816,2555,0,64,0,0,352,25,10,0.093
84000,2816,2547,0,66,0,0,352,27,10,0.096
84240,2816,2550,0,66,0,0,352,25,11,0.094
84480,2816,2555,0,64,0,0,352,25,10,0.093
84720,2816,2554,0,65,0,0,352,24,11,0.093
84960,2816,2555,0,64,0,0,352,25,10,0.093
85200,2816,2551,0,65,0,0,352,26,10,0.094
85440,2816,2554,0,65,0,0,352,24,11,0.093
85680,2816,2555,0,64,0,0,352,25,10,0.093
85920,2816,2554,0,65,0,0,352,24,11,0.093
86160,2816,2553,0,65,0,0,352,24,11,0.093
86400,2816,2559,0,64,0,0,352,25,10,0.091
86640,2816,2566,0,64,0,0,352,23,11,0.089
86880,2816,2567,0,63,0,0,352,24,10,0.088
87120,2816,2566,0,64,0,0,352,23,11,0.089
87360,2816,2571,0,62,0,0,352,23,10,0.087
87600,2816,2571,0,62,0,0,352,23,10,0.087
87840,2816,2570,0,63,0,0,352,22,11,0.087
88080,2816,2570,0,63,0,0,352,23,10,0.087
88320,2816,2570,0,63,0,0,352,22,11,0.087
88560,2816,2570,0,63,0,0,352,23,10,0.087
88800,2816,2569,0,64,0,0,352,23,10,0.088
89040,2816,2568,0,65,0,0,352,22,11,0.088
89280,2816,2559,0,67,0,0,352,24,10,0.091
89520,2816,2558,0,68,0,0,352,23,11,0.092
89760,2816,2553,0,71,0,0,352,23,11,0.093
90000,2816,2556,0,70,0,0,352,25,10,0.092
90240,2816,2553,0,73,0,0,352,23,12,0.093
90480,2816,2553,0,73,0,0,352,24,11,0.093
90720,2816,2552,0,74,0,0,352,23,12,0.094
90960,2816,2553,0,73,0,0,352,24,11,0.093
91200,2816,2553,0,73,0,0,352,24,11,0.093
91440,2816,2552,0,74,0,0,352,23,12,0.094
91680,2816,2553,0,73,0,0,352,24,11,0.093
91920,2816,2552,0,74,0,0,352,23,12,0.094
92160,2816,2553,0,73,0,0,352,24,11,0.093
92400,2816,2553,0,73,0,0,352,24,11,0.093
92640,2816,2552,0,74,0,0,352,23,12,0.094
92880,2816,2555,0,71,0,0,352,24,11,0.093
93120,2816,2555,0,71,0,0,352,24,11,0.093
93360,2816,2556,0,70,0,0,352,25,10,0.092
93600,2816,2557,0,69,0,0,352,25,10,0.092
93840,2816,2554,0,71,0,0,352,24,11,0.093
94080,2816,2557,0,69,0,0,352,25,10,0.092
94320,2816,2555,0,71,0,0,352,24,11,0.093
94560,2816,2557,0,69,0,0,352,25,10,0.092
94800,2816,2557,0,69,0,0,352,25,10,0.092
95040,2816,2556,0,70,0,0,352,24,11,0.092
95280,2816,2557,0,69,0,0,352,25,10,0.092
95520,2816,2556,0,70,0,0,352,24,11,0.092
95760,2816,2557,0,69,0,0,352,25,10,0.092
96000,2816,2558,0,68,0,0,352,25,10,0.092
96240,2816,2557,0,69,0,0,352,24,11,0.092
96480,2816,2558,0,68,0,0,352,25,10,0.092
96720,2816,2557,0,69,0,0,352,24,11,0.092
96960,2816,2558,0,68,0,0,352,25,10,0.092
97200,2816,2558,0,68,0,0,352,25,10,0.092
97440,2816,2557,0,69,0,0,352,24,11,0.092
97680,2816,2556,0,70,0,0,352,24,11,0.092
97920,2816,2554,0,72,0,0,352,23,12,0.093
98160,2816,2554,0,72,0,0,352,24,11,0.093
98400,2816,2554,0,72,0,0,352,24,11,0.093
98640,2816,2553,0,73,0,0,352,23,12,0.093
98880,2816,2554,0,72,0,0,352,24,11,0.093
99120,2816,2553,0,73,0,0,352,23,12,0.093
99360,2816,2554,0,72,0,0,352,24,11,0.093
99600,2816,2554,0,72,0,0,352,24,11,0.093
99840,2816,2553,0,73,0,0,352,23,12,0.093
100080,2816,2554,0,72,0,0,352,24,11,0.093
100320,2816,2549,0,75,0,0,352,23,12,0.095
100560,2816,2554,0,72,0,0,352,24,11,0.093
100800,2816,2554,0,72,0,0,352,24,11,0.093
101040,2816,2544,0,75,0,0,352,25,12,0.097
101280,2816,2545,0,74,0,0,352,26,11,0.096
101520,2816,2544,0,75,0,0,352,25,12,0.097
101760,2816,2543,0,76,0,0,352,25,12,0.097
102000,2816,2525,0,82,0,0,352,25,14,0.103
102240,2816,2528,0,82,0,0,352,25,14,0.102
102480,2816,2532,0,81,0,0,352,27,12,0.101
102720,2816,2531,0,82,0,0,352,26,13,0.101
102960,2816,2535,0,81,0,0,352,26,12,0.1
103200,2816,2535,0,84,0,0,352,25,13,0.1
103440,2816,2534,0,85,0,0,352,25,13,0.1
103680,2816,2535,0,84,0,0,352,25,13,0.1
103920,2816,2525,0,86,0,0,352,26,13,0.103
104160,2816,2523,0,82,0,0,352,27,13,0.104
104400,2816,2533,0,79,0,0,352,26,13,0.1
104640,2816,2526,0,79,0,0,352,28,12,0.103
104880,2816,2528,0,77,0,0,352,27,12,0.102
105120,2816,2527,0,78,0,0,352,27,12,0.103
105360,2816,2527,0,78,0,0,352,27,12,0.103
105600,2816,2528,0,77,0,0,352,27,12,0.102
105840,2816,2527,0,78,0,0,352,27,12,0.103
106080,2816,2528,0,77,0,0,352,27,12,0.102
106320,2816,2522,0,80,0,0,352,28,12,0.104
106560,2816,2524,0,78,0,0,352,28,12,0.104
106800,2816,2516,0,79,0,0,352,29,12,0.107
107040,2816,2515,0,80,0,0,352,29,12,0.107
107280,2816,2516,0,79,0,0,352,29,12,0.107
107520,2816,2506,0,82,0,0,352,30,12,0.11
107760,2816,2512,0,80,0,0,352,28,13,0.108
108000,2816,2509,0,82,0,0,352,28,13,0.109
108240,2816,2513,0,79,0,0,352,29,12,0.108
108480,2816,2510,0,79,0,0,352,30,12,0.109
108720,2816,2509,0,80,0,0,352,30,12,0.109
108960,2816,2508,0,81,0,0,352,30,12,0.109
109200,2816,2508,0,84,0,0,352,31,12,0.109
109440,2816,2496,0,96,0,0,352,30,14,0.114
109680,2816,2498,0,94,0,0,352,30,14,0.113
109920,2816,2470,0,122,0,0,352,30,17,0.123
110160,2816,2448,0,144,0,0,352,30,20,0.131
110400,2816,2394,0,195,0,0,352,30,27,0.15
110640,2816,2330,0,256,0,0,352,30,35,0.173
110880,2816,2285,0,301,0,0,352,31,40,0.189
111120,2816,2231,0,355,0,0,352,30,47,0.208
111360,2816,2181,0,405,0,0,352,30,54,0.225
111600,2816,2149,0,437,0,0,352,30,58,0.237
111840,2816,2141,0,438,0,0,352,31,58,0.24
112080,2816,2144,0,435,0,0,352,31,58,0.239
112320,2816,2144,0,435,0,0,352,31,58,0.239
112560,2816,2153,0,426,0,0,352,31,58,0.235
112800,2816,2172,0,407,0,0,352,33,56,0.229
113040,2816,2200,0,372,0,0,352,36,54,0.219
113280,2816,2239,0,333,0,0,352,38,50,0.205
113520,2816,2285,0,287,0,0,352,36,49,0.189
113760,2816,2324,0,248,0,0,352,38,43,0.175
114000,2816,2339,0,240,0,0,352,38,33,0.169
114240,2816,2332,0,247,0,0,352,35,33,0.172
114480,2816,2301,0,278,0,0,352,31,38,0.183
114720,2816,2253,0,326,0,0,352,31,44,0.2
