time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,gpu_utilization
0,2816,2815,0,1,0,0,352,1,0,0.0
60,2816,2810,0,6,0,0,352,0,1,0.002
120,2816,2808,0,8,0,0,352,1,1,0.003
180,2816,2807,0,9,0,0,352,1,1,0.003
240,2816,2804,0,12,0,0,352,0,2,0.004
300,2816,2790,0,22,0,0,352,1,3,0.009
360,2816,2779,0,30,0,0,352,0,5,0.013
420,2816,2767,0,39,0,0,352,1,6,0.017
480,2816,2764,0,42,0,0,352,0,7,0.018
540,2816,2760,0,46,0,0,352,0,7,0.02
600,2816,2757,0,49,0,0,352,0,8,0.021
660,2816,2750,0,56,0,0,352,0,9,0.023
720,2816,2741,0,59,0,0,352,1,10,0.027
780,2816,2729,0,62,0,0,352,1,11,0.031
840,2816,2715,0,73,0,0,352,1,13,0.036
900,2816,2716,0,72,0,0,352,0,13,0.036
960,2816,2716,0,72,0,0,352,0,13,0.036
1020,2816,2716,0,72,0,0,352,0,13,0.036
1080,2816,2715,0,73,0,0,352,0,13,0.036
1140,2816,2708,0,80,0,0,352,0,14,0.038
1200,2816,2699,0,89,0,0,352,0,15,0.042
1260,2816,2695,0,93,0,0,352,1,15,0.043
1320,2816,2691,0,97,0,0,352,1,16,0.044
1380,2816,2685,0,103,0,0,352,0,17,0.047
1440,2816,2684,0,104,0,0,352,0,17,0.047
1500,2816,2690,0,98,0,0,352,0,17,0.045
1560,2816,2692,0,96,0,0,352,0,17,0.044
1620,2816,2693,0,94,0,0,352,2,16,0.044
1680,2816,2695,0,93,0,0,352,1,16,0.043
1740,2816,2697,0,91,0,0,352,1,16,0.042
1800,2816,2698,0,90,0,0,352,1,16,0.042
1860,2816,2699,0,89,0,0,352,1,16,0.042
1920,2816,2700,0,88,0,0,352,3,15,0.041
1980,2816,2703,0,85,0,0,352,2,15,0.04
2040,2816,2703,0,85,0,0,352,2,15,0.04
2100,2816,2705,0,83,0,0,352,1,15,0.039
2160,2816,2705,0,83,0,0,352,1,15,0.039
2220,2816,2704,0,84,0,0,352,1,15,0.04
2280,2816,2706,0,82,0,0,352,0,15,0.039
2340,2816,2706,0,82,0,0,352,0,15,0.039
2400,2816,2706,0,82,0,0,352,0,15,0.039
2460,2816,2706,0,82,0,0,352,0,15,0.039
2520,2816,2705,0,83,0,0,352,1,15,0.039
2580,2816,2706,0,82,0,0,352,0,15,0.039
2640,2816,2706,0,82,0,0,352,0,15,0.039
2700,2816,2706,0,82,0,0,352,0,15,0.039
2760,2816,2706,0,82,0,0,352,0,15,0.039
2820,2816,2706,0,82,0,0,352,0,15,0.039
2880,2816,2706,0,82,0,0,352,0,15,0.039
2940,2816,2706,0,82,0,0,352,0,15,0.039
3000,2816,2698,0,83,0,0,352,1,15,0.042
3060,2816,2698,0,83,0,0,352,1,15,0.042
3120,2816,2689,0,85,0,0,352,3,15,0.045
3180,2816,2689,0,85,0,0,352,3,15,0.045
3240,2816,2689,0,85,0,0,352,3,15,0.045
3300,2816,2689,0,85,0,0,352,3,15,0.045
3360,2816,2689,0,85,0,0,352,3,15,0.045
3420,2816,2690,0,84,0,0,352,2,15,0.045
3480,2816,2690,0,84,0,0,352,2,15,0.045
3540,2816,2690,0,84,0,0,352,2,15,0.045
3600,2816,2690,0,84,0,0,352,2,15,0.045
3660,2816,2690,0,84,0,0,352,2,15,0.045
3720,2816,2689,0,85,0,0,352,3,15,0.045
3780,2816,2690,0,84,0,0,352,2,15,0.045
3840,2816,2690,0,84,0,0,352,2,15,0.045
3900,2816,2690,0,84,0,0,352,2,15,0.045
3960,2816,2690,0,84,0,0,352,2,15,0.045
4020,2816,2698,0,83,0,0,352,1,15,0.042
4080,2816,2698,0,83,0,0,352,1,15,0.042
4140,2816,2698,0,83,0,0,352,1,15,0.042
4200,2816,2698,0,83,0,0,352,1,15,0.042
4260,2816,2698,0,83,0,0,352,1,15,0.042
4320,2816,2697,0,84,0,0,352,2,15,0.042
4380,2816,2697,0,84,0,0,352,2,15,0.042
4440,2816,2697,0,84,0,0,352,2,15,0.042
4500,2816,2697,0,84,0,0,352,2,15,0.042
4560,2816,2697,0,84,0,0,352,2,15,0.042
4620,2816,2698,0,83,0,0,352,1,15,0.042
4680,2816,2698,0,83,0,0,352,1,15,0.042
4740,2816,2698,0,83,0,0,352,1,15,0.042
4800,2816,2698,0,83,0,0,352,1,15,0.042
4860,2816,2698,0,83,0,0,352,1,15,0.042
4920,2816,2697,0,84,0,0,352,2,15,0.042
4980,2816,2697,0,84,0,0,352,2,15,0.042
5040,2816,2698,0,83,0,0,352,1,15,0.042
5100,2816,2698,0,83,0,0,352,1,15,0.042
5160,2816,2698,0,83,0,0,352,1,15,0.042
5220,2816,2698,0,83,0,0,352,1,15,0.042
5280,2816,2698,0,83,0,0,352,1,15,0.042
5340,2816,2698,0,83,0,0,352,1,15,0.042
5400,2816,2698,0,83,0,0,352,1,15,0.042
5460,2816,2698,0,83,0,0,352,1,15,0.042
5520,2816,2697,0,84,0,0,352,2,15,0.042
5580,2816,2697,0,84,0,0,352,2,15,0.042
5640,2816,2697,0,84,0,0,352,2,15,0.042
5700,2816,2697,0,84,0,0,352,2,15,0.042
5760,2816,2697,0,84,0,0,352,2,15,0.042
5820,2816,2697,0,84,0,0,352,2,15,0.042
5880,2816,2697,0,84,0,0,352,2,15,0.042
5940,2816,2697,0,84,0,0,352,2,15,0.042
6000,2816,2697,0,84,0,0,352,2,15,0.042
6060,2816,2689,0,85,0,0,352,3,15,0.045
6120,2816,2688,0,86,0,0,352,2,16,0.045
6180,2816,2688,0,86,0,0,352,2,16,0.045
6240,2816,2688,0,86,0,0,352,2,16,0.045
6300,2816,2688,0,86,0,0,352,2,16,0.045
6360,2816,2688,0,86,0,0,352,2,16,0.045
6420,2816,2689,0,85,0,0,352,3,15,0.045
6480,2816,2690,0,84,0,0,352,2,15,0.045
6540,2816,2690,0,84,0,0,352,2,15,0.045
6600,2816,2690,0,84,0,0,352,2,15,0.045
6660,2816,2690,0,84,0,0,352,2,15,0.045
6720,2816,2689,0,85,0,0,352,3,15,0.045
6780,2816,2689,0,85,0,0,352,3,15,0.045
6840,2816,2690,0,84,0,0,352,2,15,0.045
6900,2816,2690,0,84,0,0,352,2,15,0.045
6960,2816,2690,0,84,0,0,352,2,15,0.045
7020,2816,2690,0,84,0,0,352,2,15,0.045
7080,2816,2690,0,84,0,0,352,2,15,0.045
7140,2816,2690,0,84,0,0,352,2,15,0.045
7200,2816,2690,0,84,0,0,352,2,15,0.045
7260,2816,2690,0,84,0,0,352,2,15,0.045
7320,2816,2689,0,85,0,0,352,3,15,0.045
7380,2816,2690,0,84,0,0,352,2,15,0.045
7440,2816,2690,0,84,0,0,352,2,15,0.045
7500,2816,2690,0,84,0,0,352,2,15,0.045
7560,2816,2690,0,84,0,0,352,2,15,0.045
7620,2816,2690,0,84,0,0,352,2,15,0.045
7680,2816,2690,0,84,0,0,352,2,15,0.045
7740,2816,2690,0,84,0,0,352,2,15,0.045
7800,2816,2690,0,84,0,0,352,2,15,0.045
7860,2816,2690,0,84,0,0,352,2,15,0.045
7920,2816,2689,0,85,0,0,352,3,15,0.045
7980,2816,2690,0,84,0,0,352,2,15,0.045
8040,2816,2690,0,84,0,0,352,2,15,0.045
8100,2816,2690,0,84,0,0,352,2,15,0.045
8160,2816,2690,0,84,0,0,352,2,15,0.045
8220,2816,2690,0,84,0,0,352,2,15,0.045
8280,2816,2690,0,84,0,0,352,2,15,0.045
8340,2816,2690,0,84,0,0,352,2,15,0.045
8400,2816,2690,0,84,0,0,352,2,15,0.045
8460,2816,2690,0,84,0,0,352,2,15,0.045
8520,2816,2689,0,85,0,0,352,3,15,0.045
8580,2816,2690,0,84,0,0,352,2,15,0.045
8640,2816,2690,0,84,0,0,352,2,15,0.045
8700,2816,2690,0,84,0,0,352,2,15,0.045
8760,2816,2690,0,84,0,0,352,2,15,0.045
8820,2816,2690,0,84,0,0,352,2,15,0.045
8880,2816,2690,0,84,0,0,352,2,15,0.045
8940,2816,2690,0,84,0,0,352,2,15,0.045
9000,2816,2690,0,84,0,0,352,2,15,0.045
9060,2816,2690,0,84,0,0,352,2,15,0.045
9120,2816,2689,0,85,0,0,352,3,15,0.045
9180,2816,2690,0,84,0,0,352,2,15,0.045
9240,2816,2690,0,84,0,0,352,2,15,0.045
9300,2816,2690,0,84,0,0,352,2,15,0.045
9360,2816,2690,0,84,0,0,352,2,15,0.045
9420,2816,2690,0,84,0,0,352,2,15,0.045
9480,2816,2690,0,84,0,0,352,2,15,0.045
9540,2816,2690,0,84,0,0,352,2,15,0.045
9600,2816,2690,0,84,0,0,352,2,15,0.045
9660,2816,2690,0,84,0,0,352,2,15,0.045
9720,2816,2689,0,85,0,0,352,3,15,0.045
9780,2816,2690,0,84,0,0,352,2,15,0.045
9840,2816,2690,0,84,0,0,352,2,15,0.045
9900,2816,2690,0,84,0,0,352,2,15,0.045
9960,2816,2690,0,84,0,0,352,2,15,0.045
10020,2816,2690,0,84,0,0,352,2,15,0.045
10080,2816,2690,0,84,0,0,352,2,15,0.045
10140,2816,2690,0,84,0,0,352,2,15,0.045
10200,2816,2690,0,84,0,0,352,2,15,0.045
10260,2816,2690,0,84,0,0,352,2,15,0.045
10320,2816,2689,0,85,0,0,352,3,15,0.045
10380,2816,2690,0,84,0,0,352,2,15,0.045
10440,2816,2690,0,84,0,0,352,2,15,0.045
10500,2816,2690,0,84,0,0,352,2,15,0.045
10560,2816,2689,0,85,0,0,352,3,15,0.045
10620,2816,2689,0,85,0,0,352,3,15,0.045
10680,2816,2689,0,85,0,0,352,3,15,0.045
10740,2816,2689,0,85,0,0,352,3,15,0.045
10800,2816,2689,0,85,0,0,352,3,15,0.045
10860,2816,2689,0,85,0,0,352,3,15,0.045
10920,2816,2688,0,86,0,0,352,4,15,0.045
10980,2816,2689,0,85,0,0,352,3,15,0.045
11040,2816,2689,0,85,0,0,352,3,15,0.045
11100,2816,2689,0,85,0,0,352,3,15,0.045
11160,2816,2689,0,85,0,0,352,3,15,0.045
11220,2816,2689,0,85,0,0,352,3,15,0.045
11280,2816,2689,0,85,0,0,352,3,15,0.045
11340,2816,2689,0,85,0,0,352,3,15,0.045
11400,2816,2689,0,85,0,0,352,3,15,0.045
11460,2816,2689,0,85,0,0,352,3,15,0.045
11520,2816,2688,0,86,0,0,352,4,15,0.045
11580,2816,2689,0,85,0,0,352,3,15,0.045
11640,2816,2689,0,85,0,0,352,3,15,0.045
11700,2816,2689,0,85,0,0,352,3,15,0.045
11760,2816,2689,0,85,0,0,352,3,15,0.045
11820,2816,2689,0,85,0,0,352,3,15,0.045
11880,2816,2689,0,85,0,0,352,3,15,0.045
11940,2816,2689,0,85,0,0,352,3,15,0.045
12000,2816,2689,0,85,0,0,352,3,15,0.045
12060,2816,2689,0,85,0,0,352,3,15,0.045
12120,2816,2696,0,85,0,0,352,3,15,0.043
12180,2816,2697,0,84,0,0,352,2,15,0.042
12240,2816,2697,0,84,0,0,352,2,15,0.042
12300,2816,2697,0,84,0,0,352,2,15,0.042
12360,2816,2697,0,84,0,0,352,2,15,0.042
12420,2816,2697,0,84,0,0,352,2,15,0.042
12480,2816,2697,0,84,0,0,352,2,15,0.042
12540,2816,2697,0,84,0,0,352,2,15,0.042
12600,2816,2697,0,84,0,0,352,2,15,0.042
12660,2816,2697,0,84,0,0,352,2,15,0.042
12720,2816,2696,0,85,0,0,352,3,15,0.043
12780,2816,2697,0,84,0,0,352,2,15,0.042
12840,2816,2698,0,83,0,0,352,2,15,0.042
12900,2816,2698,0,83,0,0,352,2,15,0.042
12960,2816,2702,0,79,0,0,352,2,15,0.04
13020,2816,2705,0,76,0,0,352,2,15,0.039
13080,2816,2707,0,74,0,0,352,2,15,0.039
13140,2816,2732,0,49,0,0,352,2,15,0.03
13200,2816,2762,0,19,0,0,352,3,7,0.019
13260,2816,2763,0,18,0,0,352,2,7,0.019
13320,2816,2762,0,19,0,0,352,3,7,0.019
