jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2120,b436b2,b22530,FAILED,677,4,446506,0,720.0,447226.0,0,43.0,446549.0,end,[{0: 4}],-1,0
application_1506638472019_2121,b436b2,b22530,FAILED,682,4,448193,0,720.0,448913.0,0,38.0,448231.0,end,[{0: 4}],-1,0
application_1506638472019_2123,b436b2,b22530,FAILED,743,4,277547,0,780.0,278327.0,0,37.0,277584.0,end,[{1: 4}],-1,0
application_1506638472019_2124,b436b2,b22530,FAILED,767,4,375979,0,780.0,376759.0,0,13.0,375992.0,end,[{1: 4}],-1,0
application_1506638472019_2125,b436b2,b22530,FAILED,768,4,283049,0,780.0,283829.0,0,12.0,283061.0,end,[{2: 4}],-1,0
application_1506638472019_2128,b436b2,b22530,FAILED,792,4,621542,0,840.0,622382.0,0,48.0,621590.0,end,[{2: 4}],-1,0
application_1506638472019_2247,b436b2,e90b30,COMPLETED,20653,4,1193035,0,20700.0,1213735.0,0,47.0,1193082.0,end,[{3: 4}],-1,0
application_1506638472019_2276,b436b2,b22530,CANCELLED,27827,8,236,0,27840.0,28076.0,0,13.0,249.0,end,[{4: 8}],-1,0
application_1506638472019_2278,b436b2,b22530,CANCELLED,27831,8,242,0,27840.0,28082.0,0,9.0,251.0,end,[{5: 8}],-1,0
application_1506638472019_2279,b436b2,b22530,CANCELLED,27840,8,287,0,27840.0,28127.0,0,0.0,287.0,end,[{6: 8}],-1,0
application_1506638472019_2280,b436b2,b22530,CANCELLED,27855,8,386,0,27900.0,28286.0,0,45.0,431.0,end,[{7: 8}],-1,0
application_1506638472019_2281,b436b2,b22530,CANCELLED,27857,8,340,0,27900.0,28240.0,0,43.0,383.0,end,[{8: 8}],-1,0
application_1506638472019_2282,b436b2,b22530,CANCELLED,27877,8,307,0,27900.0,28207.0,0,23.0,330.0,end,[{9: 8}],-1,0
application_1506638472019_2283,b436b2,b22530,CANCELLED,27886,8,313,0,27900.0,28213.0,0,14.0,327.0,end,[{10: 8}],-1,0
application_1506638472019_2284,b436b2,b22530,CANCELLED,27889,8,353,0,27900.0,28253.0,0,11.0,364.0,end,[{11: 8}],-1,0
application_1506638472019_2287,b436b2,b22530,CANCELLED,28373,8,322,0,28380.0,28702.0,0,7.0,329.0,end,[{4: 8}],-1,0
application_1506638472019_2288,b436b2,b22530,CANCELLED,28385,8,335,0,28440.0,28775.0,0,55.0,390.0,end,[{5: 8}],-1,0
application_1506638472019_2289,b436b2,b22530,CANCELLED,28396,8,275,0,28440.0,28715.0,0,44.0,319.0,end,[{6: 8}],-1,0
application_1506638472019_2290,b436b2,b22530,CANCELLED,28397,8,326,0,28440.0,28766.0,0,43.0,369.0,end,[{7: 8}],-1,0
application_1506638472019_2292,b436b2,b22530,CANCELLED,28402,8,372,0,28440.0,28812.0,0,38.0,410.0,end,[{8: 8}],-1,0
application_1506638472019_2293,b436b2,b22530,CANCELLED,28413,8,282,0,28440.0,28722.0,0,27.0,309.0,end,[{9: 8}],-1,0
application_1506638472019_2294,b436b2,b22530,CANCELLED,28431,8,333,0,28440.0,28773.0,0,9.0,342.0,end,[{10: 8}],-1,0
application_1506638472019_2295,b436b2,b22530,CANCELLED,28435,8,287,0,28440.0,28727.0,0,5.0,292.0,end,[{11: 8}],-1,0
application_1506638472019_2299,b436b2,b22530,FAILED,28923,8,99187,0,28980.0,128167.0,0,57.0,99244.0,end,[{4: 8}],-1,0
application_1506638472019_2300,b436b2,b22530,FAILED,28929,8,102383,0,28980.0,131363.0,0,51.0,102434.0,end,[{5: 8}],-1,0
application_1506638472019_2301,b436b2,b22530,FAILED,28933,8,123464,0,28980.0,152444.0,0,47.0,123511.0,end,[{6: 8}],-1,0
application_1506638472019_2302,b436b2,b22530,FAILED,28952,8,3294,0,28980.0,32274.0,0,28.0,3322.0,end,[{7: 8}],-1,0
application_1506638472019_2303,b436b2,b22530,FAILED,28963,8,42172,0,28980.0,71152.0,0,17.0,42189.0,end,[{8: 8}],-1,0
application_1506638472019_2304,b436b2,b22530,FAILED,28964,8,86494,0,28980.0,115474.0,0,16.0,86510.0,end,[{9: 8}],-1,0
application_1506638472019_2305,b436b2,b22530,FAILED,28966,8,3519,0,28980.0,32499.0,0,14.0,3533.0,end,[{10: 8}],-1,0
application_1506638472019_2306,b436b2,b22530,FAILED,28977,8,57428,0,28980.0,86408.0,0,3.0,57431.0,end,[{11: 8}],-1,0
application_1506638472019_2307,b436b2,b22530,FAILED,28982,8,3535,0,29040.0,32575.0,0,58.0,3593.0,end,[{12: 8}],-1,0
application_1506638472019_2468,b436b2,b22530,FAILED,77630,8,121263,0,77640.0,198903.0,0,10.0,121273.0,end,[{7: 8}],-1,0
application_1506638472019_2469,b436b2,b22530,FAILED,77643,8,2652084,0,77700.0,2729784.0,0,57.0,2652141.0,end,[{8: 8}],-1,0
application_1506638472019_2470,b436b2,b22530,FAILED,77655,8,106826,0,77700.0,184526.0,0,45.0,106871.0,end,[{10: 8}],-1,0
application_1506638472019_2471,b436b2,b22530,FAILED,77671,8,1478695,0,77700.0,1556395.0,0,29.0,1478724.0,end,[{12: 8}],-1,0
application_1506638472019_2472,b436b2,b22530,FAILED,77687,8,1537275,0,77700.0,1614975.0,0,13.0,1537288.0,end,[{13: 8}],-1,0
application_1506638472019_2473,b436b2,b22530,FAILED,77689,8,652591,0,77700.0,730291.0,0,11.0,652602.0,end,[{14: 8}],-1,0
application_1506638472019_3966,b436b2,b22530,FAILED,160429,8,60363,0,160440.0,220803.0,0,11.0,60374.0,end,[{4: 8}],-1,0
application_1506638472019_3967,b436b2,b22530,FAILED,160431,8,155460,0,160440.0,315900.0,0,9.0,155469.0,end,[{5: 8}],-1,0
application_1506638472019_3968,b436b2,b22530,FAILED,160432,8,62567,0,160440.0,223007.0,0,8.0,62575.0,end,[{6: 8}],-1,0
application_1506638472019_3969,b436b2,b22530,FAILED,160433,8,152528,0,160440.0,312968.0,0,7.0,152535.0,end,[{9: 8}],-1,0
application_1506638472019_3970,b436b2,b22530,FAILED,160447,8,129547,0,160500.0,290047.0,0,53.0,129600.0,end,[{11: 8}],-1,0
application_1506638472019_3971,b436b2,b22530,FAILED,160457,8,55102,0,160500.0,215602.0,0,43.0,55145.0,end,[{15: 8}],-1,0
application_1506638472019_5976,b436b2,b22530,FAILED,285604,8,1042,0,285660.0,286702.0,0,56.0,1098.0,end,[{4: 8}],-1,0
application_1506638472019_5977,b436b2,b22530,FAILED,285610,8,63051,0,285660.0,348711.0,0,50.0,63101.0,end,[{6: 8}],-1,0
application_1506638472019_5978,b436b2,b22530,FAILED,285611,8,835,0,285660.0,286495.0,0,49.0,884.0,end,[{7: 8}],-1,0
application_1506638472019_5979,b436b2,b22530,FAILED,285612,8,156890,0,285660.0,442550.0,0,48.0,156938.0,end,[{10: 8}],-1,0
application_1506638472019_5980,b436b2,b22530,FAILED,285613,8,157465,0,285660.0,443125.0,0,47.0,157512.0,end,[{15: 8}],-1,0
application_1506638472019_5981,b436b2,b22530,FAILED,285627,8,55528,0,285660.0,341188.0,0,33.0,55561.0,end,[{16: 8}],-1,0
application_1506638472019_6220,b436b2,e90b30,FAILED,324668,4,935916,0,324720.0,1260636.0,0,52.0,935968.0,end,[{1: 4}],-1,0
application_1506638472019_10908,b436b2,177fdf,COMPLETED,431436,16,350667,0,431460.0,782127.0,0,24.0,350691.0,end,"[{4: 8}, {5: 8}]",-1,0
application_1506638472019_10927,b436b2,177fdf,CANCELLED,431540,16,24141,0,431580.0,455721.0,0,40.0,24181.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_10946,b436b2,177fdf,COMPLETED,431646,8,484395,0,431700.0,916095.0,0,54.0,484449.0,end,[{9: 8}],-1,0
application_1506638472019_10955,b436b2,177fdf,CANCELLED,431715,8,23967,0,431760.0,455727.0,0,45.0,24012.0,end,[{11: 8}],-1,0
application_1506638472019_12878,b436b2,42020c,FAILED,493540,4,81182,0,493560.0,574742.0,0,20.0,81202.0,end,[{1: 4}],-1,0
application_1506638472019_12880,b436b2,42020c,FAILED,493812,4,191822,0,493860.0,685682.0,0,48.0,191870.0,end,[{2: 4}],-1,0
application_1506638472019_14104,b436b2,42020c,FAILED,511803,4,1049128,0,511860.0,1560988.0,0,57.0,1049185.0,end,[{3: 4}],-1,0
application_1506638472019_14106,b436b2,42020c,FAILED,511967,4,753744,0,511980.0,1265724.0,0,13.0,753757.0,end,[{0: 4}],-1,0
application_1506638472019_14240,b436b2,e90b30,FAILED,531087,16,45,0,531120.0,531165.0,0,33.0,78.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14244,b436b2,e90b30,CANCELLED,531446,16,64,0,531480.0,531544.0,0,34.0,98.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14245,b436b2,e90b30,FAILED,531454,16,60,0,531480.0,531540.0,0,26.0,86.0,end,"[{10: 8}, {11: 8}]",-1,0
application_1506638472019_14254,b436b2,e90b30,CANCELLED,531952,16,231,0,531960.0,532191.0,0,8.0,239.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14255,b436b2,e90b30,FAILED,531958,16,728533,0,531960.0,1260493.0,0,2.0,728535.0,end,"[{10: 8}, {11: 8}]",-1,0
application_1506638472019_14258,b436b2,e90b30,CANCELLED,532316,16,82,0,532320.0,532402.0,0,4.0,86.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14259,b436b2,e90b30,FAILED,532466,16,15,0,532500.0,532515.0,0,34.0,49.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14262,b436b2,e90b30,FAILED,532635,16,728034,0,532680.0,1260714.0,0,45.0,728079.0,end,"[{6: 8}, {7: 8}]",-1,0
application_1506638472019_14282,b436b2,e90b30,FAILED,539541,16,721020,0,539580.0,1260600.0,0,39.0,721059.0,end,"[{15: 8}, {16: 8}]",-1,0
application_1506638472019_14283,b436b2,e90b30,FAILED,539557,16,721045,0,539580.0,1260625.0,0,23.0,721068.0,end,"[{17: 8}, {18: 8}]",-1,0
application_1506638472019_14284,b436b2,e90b30,FAILED,539574,16,720984,0,539580.0,1260564.0,0,6.0,720990.0,end,"[{19: 8}, {20: 8}]",-1,0
application_1506638472019_14285,b436b2,e90b30,FAILED,539588,16,817670,0,539640.0,1357310.0,0,52.0,817722.0,end,"[{21: 8}, {22: 8}]",-1,0
application_1506638472019_14601,b436b2,e90b30,COMPLETED,594970,4,394354,0,595020.0,989374.0,0,50.0,394404.0,end,[{0: 4}],-1,0
application_1506638472019_14636,b436b2,e90b30,FAILED,609343,4,651202,0,609360.0,1260562.0,0,17.0,651219.0,end,[{1: 4}],-1,0
application_1506638472019_14768,b436b2,b22530,CANCELLED,612577,4,15381,0,612600.0,627981.0,0,23.0,15404.0,end,[{23: 4}],-1,0
application_1506638472019_14769,b436b2,b22530,CANCELLED,612580,4,13407,0,612600.0,626007.0,0,20.0,13427.0,end,[{23: 4}],-1,0
application_1506638472019_14770,b436b2,b22530,CANCELLED,612595,4,190079,0,612600.0,802679.0,0,5.0,190084.0,end,[{24: 4}],-1,0
application_1506638472019_14771,b436b2,b22530,FAILED,612608,4,244277,0,612660.0,856937.0,0,52.0,244329.0,end,[{24: 4}],-1,0
application_1506638472019_14772,b436b2,b22530,COMPLETED,612612,4,238657,0,612660.0,851317.0,0,48.0,238705.0,end,[{25: 4}],-1,0
application_1506638472019_14773,b436b2,b22530,FAILED,612623,4,217275,0,612660.0,829935.0,0,37.0,217312.0,end,[{25: 4}],-1,0
application_1506638472019_14774,b436b2,b22530,CANCELLED,612624,4,364037,0,612660.0,976697.0,0,36.0,364073.0,end,[{26: 4}],-1,0
application_1506638472019_14775,b436b2,b22530,CANCELLED,612640,4,15316,0,612660.0,627976.0,0,20.0,15336.0,end,[{26: 4}],-1,0
application_1506638472019_14776,b436b2,b22530,CANCELLED,612644,4,15317,0,612660.0,627977.0,0,16.0,15333.0,end,[{27: 4}],-1,0
application_1506638472019_14777,b436b2,b22530,CANCELLED,612650,4,15310,0,612660.0,627970.0,0,10.0,15320.0,end,[{27: 4}],-1,0
application_1506638472019_14778,b436b2,b22530,CANCELLED,612656,4,14996,0,612660.0,627656.0,0,4.0,15000.0,end,[{28: 4}],-1,0
application_1506638472019_14779,b436b2,b22530,FAILED,612658,4,223814,0,612660.0,836474.0,0,2.0,223816.0,end,[{28: 4}],-1,0
application_1506638472019_14781,b436b2,b22530,CANCELLED,613123,4,12342,0,613140.0,625482.0,0,17.0,12359.0,end,[{29: 4}],-1,0
application_1506638472019_14782,b436b2,b22530,FAILED,613125,4,224273,0,613140.0,837413.0,0,15.0,224288.0,end,[{29: 4}],-1,0
application_1506638472019_14784,b436b2,b22530,FAILED,613128,4,230872,0,613140.0,844012.0,0,12.0,230884.0,end,[{30: 4}],-1,0
application_1506638472019_14783,b436b2,b22530,CANCELLED,613128,4,9641,0,613140.0,622781.0,0,12.0,9653.0,end,[{30: 4}],-1,0
application_1506638472019_14785,b436b2,b22530,FAILED,613129,4,231164,0,613140.0,844304.0,0,11.0,231175.0,end,[{31: 4}],-1,0
application_1506638472019_14786,b436b2,b22530,FAILED,613143,4,255227,0,613200.0,868427.0,0,57.0,255284.0,end,[{31: 4}],-1,0
application_1506638472019_14787,b436b2,b22530,CANCELLED,613159,4,2313,0,613200.0,615513.0,0,41.0,2354.0,end,[{32: 4}],-1,0
application_1506638472019_14788,b436b2,b22530,CANCELLED,613173,4,9635,0,613200.0,622835.0,0,27.0,9662.0,end,[{32: 4}],-1,0
application_1506638472019_14789,b436b2,b22530,FAILED,613191,4,222911,0,613200.0,836111.0,0,9.0,222920.0,end,[{33: 4}],-1,0
application_1506638472019_14790,b436b2,b22530,CANCELLED,613193,4,452,0,613200.0,613652.0,0,7.0,459.0,end,[{33: 4}],-1,0
application_1506638472019_14811,b436b2,b22530,CANCELLED,614173,8,723,0,614220.0,614943.0,0,47.0,770.0,end,[{34: 8}],-1,0
application_1506638472019_14812,b436b2,b22530,CANCELLED,614199,8,705,0,614220.0,614925.0,0,21.0,726.0,end,[{35: 8}],-1,0
application_1506638472019_14813,b436b2,b22530,CANCELLED,614205,8,681208,0,614220.0,1295428.0,0,15.0,681223.0,end,[{36: 8}],-1,0
application_1506638472019_14814,b436b2,b22530,FAILED,614208,8,915,0,614220.0,615135.0,0,12.0,927.0,end,[{37: 8}],-1,0
application_1506638472019_14815,b436b2,b22530,CANCELLED,614231,8,1007623,0,614280.0,1621903.0,0,49.0,1007672.0,end,[{38: 8}],-1,0
application_1506638472019_14816,b436b2,b22530,FAILED,614233,8,922,0,614280.0,615202.0,0,47.0,969.0,end,[{39: 8}],-1,0
application_1506638472019_14817,b436b2,b22530,FAILED,614278,8,16379,0,614280.0,630659.0,0,2.0,16381.0,end,[{40: 8}],-1,0
application_1506638472019_14818,b436b2,b22530,CANCELLED,614294,8,694581,0,614340.0,1308921.0,0,46.0,694627.0,end,[{41: 8}],-1,0
application_1506638472019_14819,b436b2,b22530,CANCELLED,614294,8,260,0,614340.0,614600.0,0,46.0,306.0,end,[{42: 8}],-1,0
application_1506638472019_14820,b436b2,b22530,FAILED,614297,8,3672659,0,614340.0,4286999.0,0,43.0,3672702.0,end,[{43: 8}],-1,0
application_1506638472019_14821,b436b2,b22530,FAILED,614338,8,15262,0,614340.0,629602.0,0,2.0,15264.0,end,[{44: 8}],-1,0
application_1506638472019_14822,b436b2,b22530,CANCELLED,614343,8,1455,0,614400.0,615855.0,0,57.0,1512.0,end,[{45: 8}],-1,0
application_1506638472019_14842,b436b2,b22530,FAILED,623284,8,670348,0,623340.0,1293688.0,0,56.0,670404.0,end,[{32: 8}],-1,0
application_1506638472019_14843,b436b2,b22530,CANCELLED,623296,8,994912,0,623340.0,1618252.0,0,44.0,994956.0,end,[{34: 8}],-1,0
application_1506638472019_14844,b436b2,b22530,FAILED,623299,8,922,0,623340.0,624262.0,0,41.0,963.0,end,[{35: 8}],-1,0
application_1506638472019_14845,b436b2,b22530,CANCELLED,623318,8,1015913,0,623340.0,1639253.0,0,22.0,1015935.0,end,[{37: 8}],-1,0
application_1506638472019_14846,b436b2,b22530,FAILED,623327,8,929,0,623340.0,624269.0,0,13.0,942.0,end,[{39: 8}],-1,0
