jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2120,b436b2,b22530,FAILED,677,4,446506,0,677.0,447184.0,0,0.0,446507.0,end,[{0: 4}],-1,0
application_1506638472019_2121,b436b2,b22530,FAILED,682,4,448193,0,682.0,448876.0,0,0.0,448194.0,end,[{0: 4}],-1,0
application_1506638472019_2123,b436b2,b22530,FAILED,743,4,277547,0,743.0,278291.0,0,0.0,277548.0,end,[{1: 4}],-1,0
application_1506638472019_2124,b436b2,b22530,FAILED,767,4,375979,0,767.0,376747.0,0,0.0,375980.0,end,[{1: 4}],-1,0
application_1506638472019_2125,b436b2,b22530,FAILED,768,4,283049,0,768.0,283818.0,0,0.0,283050.0,end,[{2: 4}],-1,0
application_1506638472019_2128,b436b2,b22530,FAILED,792,4,621542,0,792.0,622335.0,0,0.0,621543.0,end,[{2: 4}],-1,0
application_1506638472019_2247,b436b2,e90b30,COMPLETED,20653,4,1193035,0,20653.0,1213689.0,0,0.0,1193036.0,end,[{3: 4}],-1,0
application_1506638472019_2276,b436b2,b22530,CANCELLED,27827,8,236,0,27827.0,28064.0,0,0.0,237.0,end,[{4: 8}],-1,0
application_1506638472019_2278,b436b2,b22530,CANCELLED,27831,8,242,0,27831.0,28074.0,0,0.0,243.0,end,[{5: 8}],-1,0
application_1506638472019_2279,b436b2,b22530,CANCELLED,27840,8,287,0,27840.0,28128.0,0,0.0,288.0,end,[{6: 8}],-1,0
application_1506638472019_2280,b436b2,b22530,CANCELLED,27855,8,386,0,27855.0,28242.0,0,0.0,387.0,end,[{7: 8}],-1,0
application_1506638472019_2281,b436b2,b22530,CANCELLED,27857,8,340,0,27857.0,28198.0,0,0.0,341.0,end,[{8: 8}],-1,0
application_1506638472019_2282,b436b2,b22530,CANCELLED,27877,8,307,0,27877.0,28185.0,0,0.0,308.0,end,[{9: 8}],-1,0
application_1506638472019_2283,b436b2,b22530,CANCELLED,27886,8,313,0,27886.0,28200.0,0,0.0,314.0,end,[{10: 8}],-1,0
application_1506638472019_2284,b436b2,b22530,CANCELLED,27889,8,353,0,27889.0,28243.0,0,0.0,354.0,end,[{11: 8}],-1,0
application_1506638472019_2287,b436b2,b22530,CANCELLED,28373,8,322,0,28373.0,28696.0,0,0.0,323.0,end,[{4: 8}],-1,0
application_1506638472019_2288,b436b2,b22530,CANCELLED,28385,8,335,0,28385.0,28721.0,0,0.0,336.0,end,[{5: 8}],-1,0
application_1506638472019_2289,b436b2,b22530,CANCELLED,28396,8,275,0,28396.0,28672.0,0,0.0,276.0,end,[{6: 8}],-1,0
application_1506638472019_2290,b436b2,b22530,CANCELLED,28397,8,326,0,28397.0,28724.0,0,0.0,327.0,end,[{7: 8}],-1,0
application_1506638472019_2292,b436b2,b22530,CANCELLED,28402,8,372,0,28402.0,28775.0,0,0.0,373.0,end,[{8: 8}],-1,0
application_1506638472019_2293,b436b2,b22530,CANCELLED,28413,8,282,0,28413.0,28696.0,0,0.0,283.0,end,[{9: 8}],-1,0
