jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2214,e13805,573fbf,COMPLETED,10546,1,127974,0,10560.0,138534.0,0,14.0,127988.0,end,[{0: 1}],-1,0
application_1506638472019_2248,e13805,573fbf,COMPLETED,20723,1,2858,0,20880.0,23738.0,0,157.0,3015.0,end,[{0: 1}],-1,0
application_1506638472019_2255,e13805,573fbf,COMPLETED,23716,4,23931,0,23760.0,47691.0,0,44.0,23975.0,end,[{0: 4}],-1,0
application_1506638472019_2334,e13805,e73d22,COMPLETED,35971,1,602337,0,36000.0,638337.0,0,29.0,602366.0,end,[{0: 1}],-1,0
application_1506638472019_2425,e13805,573fbf,COMPLETED,66112,1,7603,0,66240.0,73843.0,0,128.0,7731.0,end,[{0: 1}],-1,0
application_1506638472019_2456,e13805,573fbf,COMPLETED,73909,4,35143,0,73920.0,109063.0,0,11.0,35154.0,end,[{0: 4}],-1,0
application_1506638472019_2608,e13805,573fbf,COMPLETED,109218,1,5420,0,109440.0,114860.0,0,222.0,5642.0,end,[{0: 1}],-1,0
application_1506638472019_3238,e13805,573fbf,COMPLETED,114814,4,26253,0,114960.0,141213.0,0,146.0,26399.0,end,[{0: 4}],-1,0
application_1506638472019_16459,e13805,ffe5b7,CANCELLED,701025,8,275628,0,701040.0,976668.0,0,15.0,275643.0,end,[{0: 8}],-1,0
application_1506638472019_16564,e13805,ffe5b7,CANCELLED,702224,8,88500,0,702240.0,790740.0,0,16.0,88516.0,end,[{1: 8}],-1,0
application_1506638472019_19123,e13805,e73d22,FAILED,801939,4,52,0,802080.0,802132.0,0,141.0,193.0,end,[{1: 4}],-1,0
application_1506638472019_19180,e13805,e73d22,FAILED,802713,4,1634,0,802800.0,804434.0,0,87.0,1721.0,end,[{1: 4}],-1,0
application_1506638472019_19583,e13805,ffe5b7,FAILED,807542,4,56,0,807600.0,807656.0,0,58.0,114.0,end,[{1: 4}],-1,0
application_1506638472019_19646,e13805,e73d22,FAILED,808202,4,114,0,808320.0,808434.0,0,118.0,232.0,end,[{1: 4}],-1,0
application_1506638472019_19687,e13805,ffe5b7,FAILED,809003,4,89,0,809040.0,809129.0,0,37.0,126.0,end,[{1: 4}],-1,0
application_1506638472019_19721,e13805,ffe5b7,CANCELLED,810291,4,4522,0,810480.0,815002.0,0,189.0,4711.0,end,[{1: 4}],-1,0
application_1506638472019_19961,e13805,ffe5b7,FAILED,815447,4,1167,0,815520.0,816687.0,0,73.0,1240.0,end,[{1: 4}],-1,0
application_1506638472019_19990,e13805,e4b6b5,COMPLETED,816409,1,51679,0,816480.0,868159.0,0,71.0,51750.0,end,[{1: 1}],-1,0
application_1506638472019_19991,e13805,e4b6b5,COMPLETED,816409,1,51408,0,816480.0,867888.0,0,71.0,51479.0,end,[{1: 1}],-1,0
application_1506638472019_19995,e13805,e4b6b5,COMPLETED,817187,1,50173,0,817200.0,867373.0,0,13.0,50186.0,end,[{1: 1}],-1,0
application_1506638472019_20014,e13805,e4b6b5,COMPLETED,819046,1,65890,0,819120.0,885010.0,0,74.0,65964.0,end,[{1: 1}],-1,0
application_1506638472019_20019,e13805,ffe5b7,CANCELLED,819636,4,685,0,819840.0,820525.0,0,204.0,889.0,end,[{1: 4}],-1,0
application_1506638472019_20069,e13805,ffe5b7,CANCELLED,820595,4,71065,0,820800.0,891865.0,0,205.0,71270.0,end,[{1: 4}],-1,0
application_1506638472019_20665,e13805,ffe5b7,CANCELLED,865568,8,33904,0,865680.0,899584.0,0,112.0,34016.0,end,[{2: 8}],-1,0
application_1506638472019_21820,e13805,1d3286,CANCELLED,891994,8,423463,0,892080.0,1315543.0,0,86.0,423549.0,end,[{1: 8}],-1,0
application_1506638472019_21946,e13805,ffe5b7,CANCELLED,893476,8,454,0,893520.0,893974.0,0,44.0,498.0,end,[{3: 8}],-1,0
application_1506638472019_22034,e13805,1d3286,CANCELLED,894449,8,56383,0,894480.0,950863.0,0,31.0,56414.0,end,[{3: 8}],-1,0
application_1506638472019_22036,e13805,ffe5b7,FAILED,894758,8,161,0,894960.0,895121.0,0,202.0,363.0,end,[{4: 8}],-1,0
application_1506638472019_22043,e13805,ffe5b7,CANCELLED,895834,8,665,0,895920.0,896585.0,0,86.0,751.0,end,[{4: 8}],-1,0
application_1506638472019_22053,e13805,ffe5b7,COMPLETED,896714,8,144,0,896880.0,897024.0,0,166.0,310.0,end,[{4: 8}],-1,0
application_1506638472019_22059,e13805,ffe5b7,CANCELLED,897602,8,1188,0,897840.0,899028.0,0,238.0,1426.0,end,[{4: 8}],-1,0
application_1506638472019_22076,e13805,ffe5b7,COMPLETED,898937,8,469,0,899040.0,899509.0,0,103.0,572.0,end,[{4: 8}],-1,0
application_1506638472019_22468,e13805,ffe5b7,CANCELLED,907386,8,142058,0,907440.0,1049498.0,0,54.0,142112.0,end,[{2: 8}],-1,0
application_1506638472019_23047,e13805,573fbf,COMPLETED,937089,1,63665,0,937200.0,1000865.0,0,111.0,63776.0,end,[{4: 1}],-1,0
application_1506638472019_24048,e13805,e4b6b5,FAILED,951981,1,1035,0,952080.0,953115.0,0,99.0,1134.0,end,[{4: 1}],-1,0
application_1506638472019_24063,e13805,ffe5b7,FAILED,952163,8,259,0,952320.0,952579.0,0,157.0,416.0,end,[{3: 8}],-1,0
application_1506638472019_24349,e13805,ffe5b7,CANCELLED,956216,8,20230,0,956400.0,976630.0,0,184.0,20414.0,end,[{3: 8}],-1,0
application_1506638472019_24748,e13805,ffe5b7,FAILED,976530,8,13148,0,976560.0,989708.0,0,30.0,13178.0,end,[{5: 8}],-1,0
application_1506638472019_25171,e13805,e73d22,FAILED,979857,1,280559,0,979920.0,1260479.0,0,63.0,280622.0,end,[{4: 1}],-1,0
application_1506638472019_25688,e13805,1d3286,FAILED,984971,8,58,0,985200.0,985258.0,0,229.0,287.0,end,[{0: 8}],-1,0
application_1506638472019_25743,e13805,cdebec,COMPLETED,987081,1,17664,0,987120.0,1004784.0,0,39.0,17703.0,end,[{4: 1}],-1,0
application_1506638472019_26240,e13805,573fbf,COMPLETED,1003042,1,40364,0,1003200.0,1043564.0,0,158.0,40522.0,end,[{4: 1}],-1,0
application_1506638472019_26241,e13805,cdebec,COMPLETED,1003133,1,52254,0,1003200.0,1055454.0,0,67.0,52321.0,end,[{4: 1}],-1,0
application_1506638472019_26419,e13805,cdebec,COMPLETED,1014706,1,2038,0,1014720.0,1016758.0,0,14.0,2052.0,end,[{4: 1}],-1,0
application_1506638472019_26443,e13805,cdebec,COMPLETED,1016916,4,14381,0,1017120.0,1031501.0,0,204.0,14585.0,end,[{4: 4}],-1,0
application_1506638472019_26974,e13805,cdebec,COMPLETED,1031479,1,2164,0,1031520.0,1033684.0,0,41.0,2205.0,end,[{4: 1}],-1,0
application_1506638472019_27014,e13805,573fbf,COMPLETED,1032331,1,5147,0,1032480.0,1037627.0,0,149.0,5296.0,end,[{4: 1}],-1,0
application_1506638472019_27668,e13805,573fbf,CANCELLED,1044192,1,35,0,1044240.0,1044275.0,0,48.0,83.0,end,[{4: 1}],-1,0
application_1506638472019_27672,e13805,573fbf,COMPLETED,1044493,4,32747,0,1044720.0,1077467.0,0,227.0,32974.0,end,[{4: 4}],-1,0
application_1506638472019_27760,e13805,ffe5b7,FAILED,1049970,8,224067,0,1050000.0,1274067.0,0,30.0,224097.0,end,[{0: 8}],-1,0
application_1506638472019_27768,e13805,ffe5b7,CANCELLED,1051074,4,6061,0,1051200.0,1057261.0,0,126.0,6187.0,end,[{2: 4}],-1,0
application_1506638472019_27769,e13805,ffe5b7,CANCELLED,1051098,2,6914,0,1051200.0,1058114.0,0,102.0,7016.0,end,[{4: 2}],-1,0
application_1506638472019_27777,e13805,cdebec,COMPLETED,1052414,4,9325,0,1052640.0,1061965.0,0,226.0,9551.0,end,[{2: 4}],-1,0
application_1506638472019_27816,e13805,cdebec,COMPLETED,1054716,1,135298,0,1054800.0,1190098.0,0,84.0,135382.0,end,[{3: 1}],-1,0
application_1506638472019_28089,e13805,ffe5b7,FAILED,1057065,4,38,0,1057200.0,1057238.0,0,135.0,173.0,end,[{3: 4}],-1,0
application_1506638472019_28252,e13805,573fbf,COMPLETED,1059930,1,47086,0,1060080.0,1107166.0,0,150.0,47236.0,end,[{4: 1}],-1,0
application_1506638472019_28253,e13805,573fbf,COMPLETED,1059951,1,877,0,1060080.0,1060957.0,0,129.0,1006.0,end,[{4: 1}],-1,0
application_1506638472019_28484,e13805,573fbf,COMPLETED,1062503,4,41970,0,1062720.0,1104690.0,0,217.0,42187.0,end,[{3: 4}],-1,0
application_1506638472019_28679,e13805,cdebec,COMPLETED,1064645,1,29959,0,1064880.0,1094839.0,0,235.0,30194.0,end,[{4: 1}],-1,0
application_1506638472019_29068,e13805,573fbf,COMPLETED,1079052,1,5829,0,1079280.0,1085109.0,0,228.0,6057.0,end,[{3: 1}],-1,0
application_1506638472019_29096,e13805,573fbf,COMPLETED,1085037,4,36384,0,1085040.0,1121424.0,0,3.0,36387.0,end,[{4: 4}],-1,0
application_1506638472019_29108,e13805,cdebec,COMPLETED,1088511,1,32172,0,1088640.0,1120812.0,0,129.0,32301.0,end,[{4: 1}],-1,0
application_1506638472019_29109,e13805,cdebec,FAILED,1088675,1,171869,0,1088880.0,1260749.0,0,205.0,172074.0,end,[{3: 1}],-1,0
application_1506638472019_29114,e13805,cdebec,COMPLETED,1090833,1,82713,0,1091040.0,1173753.0,0,207.0,82920.0,end,[{3: 1}],-1,0
application_1506638472019_29119,e13805,cdebec,COMPLETED,1092339,1,94511,0,1092480.0,1186991.0,0,141.0,94652.0,end,[{3: 1}],-1,0
application_1506638472019_29382,e13805,573fbf,COMPLETED,1112140,1,1145,0,1112160.0,1113305.0,0,20.0,1165.0,end,[{4: 1}],-1,0
application_1506638472019_29395,e13805,573fbf,COMPLETED,1113758,4,14416,0,1113840.0,1128256.0,0,82.0,14498.0,end,[{3: 4}],-1,0
application_1506638472019_29800,e13805,ffe5b7,COMPLETED,1136435,1,113279,0,1136640.0,1249919.0,0,205.0,113484.0,end,[{3: 1}],-1,0
application_1506638472019_29933,e13805,573fbf,COMPLETED,1149146,1,5666,0,1149360.0,1155026.0,0,214.0,5880.0,end,[{3: 1}],-1,0
application_1506638472019_29976,e13805,573fbf,COMPLETED,1154999,4,15866,0,1155120.0,1170986.0,0,121.0,15987.0,end,[{4: 4}],-1,0
application_1506638472019_29981,e13805,cdebec,COMPLETED,1155812,1,103339,0,1155840.0,1259179.0,0,28.0,103367.0,end,[{3: 1}],-1,0
application_1506638472019_29984,e13805,cdebec,FAILED,1156487,1,104033,0,1156560.0,1260593.0,0,73.0,104106.0,end,[{3: 1}],-1,0
application_1506638472019_29987,e13805,1d3286,CANCELLED,1157580,8,1323,0,1157760.0,1159083.0,0,180.0,1503.0,end,[{2: 8}],-1,0
application_1506638472019_29989,e13805,cdebec,COMPLETED,1158449,1,99615,0,1158480.0,1258095.0,0,31.0,99646.0,end,[{3: 1}],-1,0
application_1506638472019_29991,e13805,1d3286,CANCELLED,1159265,8,1462,0,1159440.0,1160902.0,0,175.0,1637.0,end,[{2: 8}],-1,0
application_1506638472019_30001,e13805,1d3286,CANCELLED,1160848,8,3822,0,1160880.0,1164702.0,0,32.0,3854.0,end,[{5: 8}],-1,0
application_1506638472019_30521,e13805,573fbf,COMPLETED,1170994,1,4917,0,1171200.0,1176117.0,0,206.0,5123.0,end,[{4: 1}],-1,0
application_1506638472019_31004,e13805,573fbf,COMPLETED,1176056,4,13838,0,1176240.0,1190078.0,0,184.0,14022.0,end,[{4: 4}],-1,0
application_1506638472019_31035,e13805,1d3286,FAILED,1178250,8,82643,0,1178400.0,1261043.0,0,150.0,82793.0,end,[{2: 8}],-1,0
application_1506638472019_31243,e13805,1d3286,FAILED,1190101,8,30,0,1190160.0,1190190.0,0,59.0,89.0,end,[{5: 8}],-1,0
application_1506638472019_31247,e13805,1d3286,FAILED,1192078,8,50,0,1192080.0,1192130.0,0,2.0,52.0,end,[{5: 8}],-1,0
application_1506638472019_31931,e13805,1d3286,COMPLETED,1266690,8,1171,0,1266720.0,1267891.0,0,30.0,1201.0,end,[{2: 8}],-1,0
application_1506638472019_31932,e13805,1d3286,CANCELLED,1266828,8,214199,0,1266960.0,1481159.0,0,132.0,214331.0,end,[{3: 8}],-1,0
application_1506638472019_32155,e13805,ffe5b7,COMPLETED,1302481,8,58,0,1302720.0,1302778.0,0,239.0,297.0,end,[{0: 8}],-1,0
application_1506638472019_32173,e13805,ffe5b7,COMPLETED,1303057,4,50,0,1303200.0,1303250.0,0,143.0,193.0,end,[{0: 4}],-1,0
application_1506638472019_32216,e13805,ffe5b7,CANCELLED,1304209,8,17242,0,1304400.0,1321642.0,0,191.0,17433.0,end,[{0: 8}],-1,0
application_1506638472019_32217,e13805,ffe5b7,CANCELLED,1304424,8,106491,0,1304640.0,1411131.0,0,216.0,106707.0,end,[{2: 8}],-1,0
application_1506638472019_32261,e13805,1d3286,CANCELLED,1306760,8,88377,0,1306800.0,1395177.0,0,40.0,88417.0,end,[{4: 8}],-1,0
application_1506638472019_32295,e13805,ffe5b7,CANCELLED,1308418,1,1014,0,1308480.0,1309494.0,0,62.0,1076.0,end,[{5: 1}],-1,0
application_1506638472019_32318,e13805,cdebec,COMPLETED,1309166,1,187831,0,1309200.0,1497031.0,0,34.0,187865.0,end,[{5: 1}],-1,0
application_1506638472019_32320,e13805,ffe5b7,CANCELLED,1309338,1,680,0,1309440.0,1310120.0,0,102.0,782.0,end,[{5: 1}],-1,0
application_1506638472019_32338,e13805,ffe5b7,COMPLETED,1310343,1,278,0,1310400.0,1310678.0,0,57.0,335.0,end,[{5: 1}],-1,0
application_1506638472019_32630,e13805,ffe5b7,COMPLETED,1315445,1,362,0,1315680.0,1316042.0,0,235.0,597.0,end,[{5: 1}],-1,0
application_1506638472019_32685,e13805,1d3286,CANCELLED,1317236,8,2906,0,1317360.0,1320266.0,0,124.0,3030.0,end,[{1: 8}],-1,0
application_1506638472019_32780,e13805,ffe5b7,COMPLETED,1318571,1,266,0,1318800.0,1319066.0,0,229.0,495.0,end,[{5: 1}],-1,0
