jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2214,e13805,573fbf,COMPLETED,10546,1,127974,0,10546.0,138520.0,0,0.0,127974.0,end,[{0: 1}],-1,0
application_1506638472019_2248,e13805,573fbf,COMPLETED,20723,1,2858,0,20723.0,23581.0,0,0.0,2858.0,end,[{0: 1}],-1,0
application_1506638472019_2255,e13805,573fbf,COMPLETED,23716,4,23931,0,23716.0,47647.0,0,0.0,23931.0,end,[{0: 4}],-1,0
application_1506638472019_2334,e13805,e73d22,COMPLETED,35971,1,602337,0,35971.0,638308.0,0,0.0,602337.0,end,[{0: 1}],-1,0
application_1506638472019_2425,e13805,573fbf,COMPLETED,66112,1,7603,0,66112.0,73715.0,0,0.0,7603.0,end,[{0: 1}],-1,0
application_1506638472019_2456,e13805,573fbf,COMPLETED,73909,4,35143,0,73909.0,109052.0,0,0.0,35143.0,end,[{0: 4}],-1,0
application_1506638472019_2608,e13805,573fbf,COMPLETED,109218,1,5420,0,109218.0,114638.0,0,0.0,5420.0,end,[{0: 1}],-1,0
application_1506638472019_3238,e13805,573fbf,COMPLETED,114814,4,26253,0,114814.0,141067.0,0,0.0,26253.0,end,[{0: 4}],-1,0
application_1506638472019_16459,e13805,ffe5b7,CANCELLED,701025,8,275628,0,701025.0,976653.0,0,0.0,275628.0,end,[{0: 8}],-1,0
application_1506638472019_16564,e13805,ffe5b7,CANCELLED,702224,8,88500,0,702224.0,790724.0,0,0.0,88500.0,end,[{1: 8}],-1,0
application_1506638472019_19123,e13805,e73d22,FAILED,801939,4,52,0,801939.0,801991.0,0,0.0,52.0,end,[{1: 4}],-1,0
application_1506638472019_19180,e13805,e73d22,FAILED,802713,4,1634,0,802713.0,804347.0,0,0.0,1634.0,end,[{1: 4}],-1,0
application_1506638472019_19583,e13805,ffe5b7,FAILED,807542,4,56,0,807542.0,807598.0,0,0.0,56.0,end,[{1: 4}],-1,0
application_1506638472019_19646,e13805,e73d22,FAILED,808202,4,114,0,808202.0,808316.0,0,0.0,114.0,end,[{1: 4}],-1,0
application_1506638472019_19687,e13805,ffe5b7,FAILED,809003,4,89,0,809003.0,809092.0,0,0.0,89.0,end,[{1: 4}],-1,0
application_1506638472019_19721,e13805,ffe5b7,CANCELLED,810291,4,4522,0,810291.0,814813.0,0,0.0,4522.0,end,[{1: 4}],-1,0
application_1506638472019_19961,e13805,ffe5b7,FAILED,815447,4,1167,0,815447.0,816614.0,0,0.0,1167.0,end,[{1: 4}],-1,0
application_1506638472019_19990,e13805,e4b6b5,COMPLETED,816409,1,51679,0,816409.0,868088.0,0,0.0,51679.0,end,[{1: 1}],-1,0
application_1506638472019_19991,e13805,e4b6b5,COMPLETED,816409,1,51408,0,816409.0,867817.0,0,0.0,51408.0,end,[{1: 1}],-1,0
application_1506638472019_19995,e13805,e4b6b5,COMPLETED,817187,1,50173,0,817187.0,867360.0,0,0.0,50173.0,end,[{1: 1}],-1,0
application_1506638472019_20014,e13805,e4b6b5,COMPLETED,819046,1,65890,0,819046.0,884936.0,0,0.0,65890.0,end,[{1: 1}],-1,0
application_1506638472019_20019,e13805,ffe5b7,CANCELLED,819636,4,685,0,819636.0,820321.0,0,0.0,685.0,end,[{1: 4}],-1,0
