jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2417,ed69ec,af396c,COMPLETED,64593,1,58543,0,64620.0,123163.0,0,27.0,58570.0,end,[{0: 1}],-1,0
application_1506638472019_2420,ed69ec,af396c,COMPLETED,65468,1,59115,0,65520.0,124635.0,0,52.0,59167.0,end,[{0: 1}],-1,0
application_1506638472019_2428,ed69ec,af396c,FAILED,66836,1,189,0,66840.0,67029.0,0,4.0,193.0,end,[{0: 1}],-1,0
application_1506638472019_2430,ed69ec,af396c,COMPLETED,67002,1,58491,0,67020.0,125511.0,0,18.0,58509.0,end,[{0: 1}],-1,0
application_1506638472019_2431,ed69ec,af396c,COMPLETED,67031,1,58909,0,67080.0,125989.0,0,49.0,58958.0,end,[{0: 1}],-1,0
application_1506638472019_2433,ed69ec,af396c,COMPLETED,67163,1,59374,0,67200.0,126574.0,0,37.0,59411.0,end,[{0: 1}],-1,0
application_1506638472019_2434,ed69ec,af396c,COMPLETED,67195,1,59326,0,67200.0,126526.0,0,5.0,59331.0,end,[{0: 1}],-1,0
application_1506638472019_2435,ed69ec,af396c,FAILED,67224,1,147,0,67260.0,67407.0,0,36.0,183.0,end,[{0: 1}],-1,0
application_1506638472019_2436,ed69ec,af396c,COMPLETED,67248,1,58726,0,67260.0,125986.0,0,12.0,58738.0,end,[{0: 1}],-1,0
application_1506638472019_2437,ed69ec,af396c,COMPLETED,67272,1,58585,0,67320.0,125905.0,0,48.0,58633.0,end,[{1: 1}],-1,0
application_1506638472019_2438,ed69ec,af396c,COMPLETED,67274,1,59117,0,67320.0,126437.0,0,46.0,59163.0,end,[{1: 1}],-1,0
application_1506638472019_2480,ed69ec,af396c,COMPLETED,79664,1,59549,0,79680.0,139229.0,0,16.0,59565.0,end,[{0: 1}],-1,0
application_1506638472019_2502,ed69ec,af396c,FAILED,88039,1,5,0,88080.0,88085.0,0,41.0,46.0,end,[{1: 1}],-1,0
application_1506638472019_2504,ed69ec,af396c,COMPLETED,88376,1,73249,0,88380.0,161629.0,0,4.0,73253.0,end,[{1: 1}],-1,0
application_1506638472019_2505,ed69ec,af396c,FAILED,88717,1,15,0,88740.0,88755.0,0,23.0,38.0,end,[{1: 1}],-1,0
application_1506638472019_2507,ed69ec,af396c,COMPLETED,88963,1,72118,0,88980.0,161098.0,0,17.0,72135.0,end,[{1: 1}],-1,0
application_1506638472019_2508,ed69ec,af396c,COMPLETED,89111,1,75394,0,89160.0,164554.0,0,49.0,75443.0,end,[{1: 1}],-1,0
application_1506638472019_2509,ed69ec,af396c,COMPLETED,89138,1,75615,0,89160.0,164775.0,0,22.0,75637.0,end,[{1: 1}],-1,0
application_1506638472019_2515,ed69ec,af396c,COMPLETED,89683,1,74168,0,89700.0,163868.0,0,17.0,74185.0,end,[{1: 1}],-1,0
application_1506638472019_2516,ed69ec,af396c,COMPLETED,89707,1,74609,0,89760.0,164369.0,0,53.0,74662.0,end,[{1: 1}],-1,0
application_1506638472019_2517,ed69ec,af396c,COMPLETED,89838,1,77010,0,89880.0,166890.0,0,42.0,77052.0,end,[{2: 1}],-1,0
application_1506638472019_2519,ed69ec,af396c,FAILED,90189,1,2429,0,90240.0,92669.0,0,51.0,2480.0,end,[{2: 1}],-1,0
application_1506638472019_2520,ed69ec,af396c,FAILED,90221,1,2554,0,90240.0,92794.0,0,19.0,2573.0,end,[{2: 1}],-1,0
application_1506638472019_2521,ed69ec,af396c,FAILED,90249,1,2561,0,90300.0,92861.0,0,51.0,2612.0,end,[{2: 1}],-1,0
application_1506638472019_2539,ed69ec,af396c,COMPLETED,97611,1,74437,0,97620.0,172057.0,0,9.0,74446.0,end,[{2: 1}],-1,0
application_1506638472019_2540,ed69ec,af396c,COMPLETED,97644,1,73421,0,97680.0,171101.0,0,36.0,73457.0,end,[{2: 1}],-1,0
application_1506638472019_2541,ed69ec,af396c,COMPLETED,97687,1,74518,0,97740.0,172258.0,0,53.0,74571.0,end,[{2: 1}],-1,0
application_1506638472019_2543,ed69ec,af396c,COMPLETED,98026,1,73635,0,98040.0,171675.0,0,14.0,73649.0,end,[{2: 1}],-1,0
application_1506638472019_2566,ed69ec,af396c,COMPLETED,102887,1,73035,0,102900.0,175935.0,0,13.0,73048.0,end,[{2: 1}],-1,0
application_1506638472019_2567,ed69ec,af396c,COMPLETED,102944,1,75425,0,102960.0,178385.0,0,16.0,75441.0,end,[{2: 1}],-1,0
application_1506638472019_2568,ed69ec,af396c,COMPLETED,102993,1,74213,0,103020.0,177233.0,0,27.0,74240.0,end,[{2: 1}],-1,0
application_1506638472019_2569,ed69ec,af396c,COMPLETED,103067,1,100391,0,103080.0,203471.0,0,13.0,100404.0,end,[{3: 1}],-1,0
application_1506638472019_3797,ed69ec,af396c,COMPLETED,148396,1,58071,0,148440.0,206511.0,0,44.0,58115.0,end,[{1: 1}],-1,0
application_1506638472019_3846,ed69ec,af396c,COMPLETED,154164,1,72505,0,154200.0,226705.0,0,36.0,72541.0,end,[{1: 1}],-1,0
application_1506638472019_4083,ed69ec,af396c,COMPLETED,174226,1,72545,0,174240.0,246785.0,0,14.0,72559.0,end,[{2: 1}],-1,0
application_1506638472019_4091,ed69ec,af396c,COMPLETED,174271,1,118448,0,174300.0,292748.0,0,29.0,118477.0,end,[{2: 1}],-1,0
application_1506638472019_4110,ed69ec,af396c,COMPLETED,174418,1,74275,0,174420.0,248695.0,0,2.0,74277.0,end,[{2: 1}],-1,0
application_1506638472019_4117,ed69ec,af396c,COMPLETED,174482,1,76071,0,174540.0,250611.0,0,58.0,76129.0,end,[{2: 1}],-1,0
application_1506638472019_4121,ed69ec,af396c,COMPLETED,174528,1,126468,0,174540.0,301008.0,0,12.0,126480.0,end,[{2: 1}],-1,0
application_1506638472019_4134,ed69ec,af396c,COMPLETED,174634,1,75260,0,174660.0,249920.0,0,26.0,75286.0,end,[{1: 1}],-1,0
application_1506638472019_4514,ed69ec,af396c,COMPLETED,245042,1,124239,0,245100.0,369339.0,0,58.0,124297.0,end,[{2: 1}],-1,0
application_1506638472019_4652,ed69ec,af396c,FAILED,255556,1,15,0,255600.0,255615.0,0,44.0,59.0,end,[{2: 1}],-1,0
application_1506638472019_4668,ed69ec,af396c,FAILED,255860,1,181,0,255900.0,256081.0,0,40.0,221.0,end,[{2: 1}],-1,0
application_1506638472019_4742,ed69ec,af396c,COMPLETED,256876,1,75721,0,256920.0,332641.0,0,44.0,75765.0,end,[{2: 1}],-1,0
application_1506638472019_4786,ed69ec,af396c,COMPLETED,257579,1,75503,0,257580.0,333083.0,0,1.0,75504.0,end,[{2: 1}],-1,0
application_1506638472019_5861,ed69ec,af396c,COMPLETED,270493,1,71382,0,270540.0,341922.0,0,47.0,71429.0,end,[{2: 1}],-1,0
application_1506638472019_12858,ed69ec,af396c,FAILED,492218,1,9,0,492240.0,492249.0,0,22.0,31.0,end,[{0: 1}],-1,0
application_1506638472019_12860,ed69ec,af396c,FAILED,492384,1,161,0,492420.0,492581.0,0,36.0,197.0,end,[{0: 1}],-1,0
application_1506638472019_12862,ed69ec,af396c,COMPLETED,492760,1,125852,0,492780.0,618632.0,0,20.0,125872.0,end,[{0: 1}],-1,0
application_1506638472019_12870,ed69ec,af396c,COMPLETED,493160,1,128845,0,493200.0,622045.0,0,40.0,128885.0,end,[{0: 1}],-1,0
application_1506638472019_12873,ed69ec,af396c,COMPLETED,493316,1,123623,0,493320.0,616943.0,0,4.0,123627.0,end,[{0: 1}],-1,0
application_1506638472019_12875,ed69ec,af396c,COMPLETED,493365,1,128401,0,493380.0,621781.0,0,15.0,128416.0,end,[{0: 1}],-1,0
