jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2417,ed69ec,af396c,COMPLETED,64593,1,58543,0,64593.0,123136.0,0,0.0,58543.0,end,[{0: 1}],-1,0
application_1506638472019_2420,ed69ec,af396c,COMPLETED,65468,1,59115,0,65468.0,124583.0,0,0.0,59115.0,end,[{0: 1}],-1,0
application_1506638472019_2428,ed69ec,af396c,FAILED,66836,1,189,0,66836.0,67025.0,0,0.0,189.0,end,[{0: 1}],-1,0
application_1506638472019_2430,ed69ec,af396c,COMPLETED,67002,1,58491,0,67002.0,125493.0,0,0.0,58491.0,end,[{0: 1}],-1,0
application_1506638472019_2431,ed69ec,af396c,COMPLETED,67031,1,58909,0,67031.0,125940.0,0,0.0,58909.0,end,[{0: 1}],-1,0
application_1506638472019_2433,ed69ec,af396c,COMPLETED,67163,1,59374,0,67163.0,126537.0,0,0.0,59374.0,end,[{0: 1}],-1,0
application_1506638472019_2434,ed69ec,af396c,COMPLETED,67195,1,59326,0,67195.0,126521.0,0,0.0,59326.0,end,[{0: 1}],-1,0
application_1506638472019_2435,ed69ec,af396c,FAILED,67224,1,147,0,67224.0,67371.0,0,0.0,147.0,end,[{0: 1}],-1,0
application_1506638472019_2436,ed69ec,af396c,COMPLETED,67248,1,58726,0,67248.0,125974.0,0,0.0,58726.0,end,[{0: 1}],-1,0
application_1506638472019_2437,ed69ec,af396c,COMPLETED,67272,1,58585,0,67272.0,125857.0,0,0.0,58585.0,end,[{1: 1}],-1,0
application_1506638472019_2438,ed69ec,af396c,COMPLETED,67274,1,59117,0,67274.0,126391.0,0,0.0,59117.0,end,[{1: 1}],-1,0
application_1506638472019_2480,ed69ec,af396c,COMPLETED,79664,1,59549,0,79664.0,139213.0,0,0.0,59549.0,end,[{0: 1}],-1,0
application_1506638472019_2502,ed69ec,af396c,FAILED,88039,1,5,0,88039.0,88044.0,0,0.0,5.0,end,[{1: 1}],-1,0
application_1506638472019_2504,ed69ec,af396c,COMPLETED,88376,1,73249,0,88376.0,161625.0,0,0.0,73249.0,end,[{1: 1}],-1,0
application_1506638472019_2505,ed69ec,af396c,FAILED,88717,1,15,0,88717.0,88732.0,0,0.0,15.0,end,[{1: 1}],-1,0
application_1506638472019_2507,ed69ec,af396c,COMPLETED,88963,1,72118,0,88963.0,161081.0,0,0.0,72118.0,end,[{1: 1}],-1,0
application_1506638472019_2508,ed69ec,af396c,COMPLETED,89111,1,75394,0,89111.0,164505.0,0,0.0,75394.0,end,[{1: 1}],-1,0
application_1506638472019_2509,ed69ec,af396c,COMPLETED,89138,1,75615,0,89138.0,164753.0,0,0.0,75615.0,end,[{1: 1}],-1,0
application_1506638472019_2515,ed69ec,af396c,COMPLETED,89683,1,74168,0,89683.0,163851.0,0,0.0,74168.0,end,[{1: 1}],-1,0
application_1506638472019_2516,ed69ec,af396c,COMPLETED,89707,1,74609,0,89707.0,164316.0,0,0.0,74609.0,end,[{1: 1}],-1,0
application_1506638472019_2517,ed69ec,af396c,COMPLETED,89838,1,77010,0,89838.0,166848.0,0,0.0,77010.0,end,[{2: 1}],-1,0
application_1506638472019_2519,ed69ec,af396c,FAILED,90189,1,2429,0,90189.0,92618.0,0,0.0,2429.0,end,[{2: 1}],-1,0
application_1506638472019_2520,ed69ec,af396c,FAILED,90221,1,2554,0,90221.0,92775.0,0,0.0,2554.0,end,[{2: 1}],-1,0
application_1506638472019_2521,ed69ec,af396c,FAILED,90249,1,2561,0,90249.0,92810.0,0,0.0,2561.0,end,[{2: 1}],-1,0
application_1506638472019_2539,ed69ec,af396c,COMPLETED,97611,1,74437,0,97611.0,172048.0,0,0.0,74437.0,end,[{2: 1}],-1,0
application_1506638472019_2540,ed69ec,af396c,COMPLETED,97644,1,73421,0,97644.0,171065.0,0,0.0,73421.0,end,[{2: 1}],-1,0
application_1506638472019_2541,ed69ec,af396c,COMPLETED,97687,1,74518,0,97687.0,172205.0,0,0.0,74518.0,end,[{2: 1}],-1,0
application_1506638472019_2543,ed69ec,af396c,COMPLETED,98026,1,73635,0,98026.0,171661.0,0,0.0,73635.0,end,[{2: 1}],-1,0
application_1506638472019_2566,ed69ec,af396c,COMPLETED,102887,1,73035,0,102887.0,175922.0,0,0.0,73035.0,end,[{2: 1}],-1,0
application_1506638472019_2567,ed69ec,af396c,COMPLETED,102944,1,75425,0,102944.0,178369.0,0,0.0,75425.0,end,[{2: 1}],-1,0
application_1506638472019_2568,ed69ec,af396c,COMPLETED,102993,1,74213,0,102993.0,177206.0,0,0.0,74213.0,end,[{2: 1}],-1,0
application_1506638472019_2569,ed69ec,af396c,COMPLETED,103067,1,100391,0,103067.0,203458.0,0,0.0,100391.0,end,[{3: 1}],-1,0
application_1506638472019_3797,ed69ec,af396c,COMPLETED,148396,1,58071,0,148396.0,206467.0,0,0.0,58071.0,end,[{1: 1}],-1,0
application_1506638472019_3846,ed69ec,af396c,COMPLETED,154164,1,72505,0,154164.0,226669.0,0,0.0,72505.0,end,[{1: 1}],-1,0
application_1506638472019_4083,ed69ec,af396c,COMPLETED,174226,1,72545,0,174226.0,246771.0,0,0.0,72545.0,end,[{2: 1}],-1,0
application_1506638472019_4091,ed69ec,af396c,COMPLETED,174271,1,118448,0,174271.0,292719.0,0,0.0,118448.0,end,[{2: 1}],-1,0
application_1506638472019_4110,ed69ec,af396c,COMPLETED,174418,1,74275,0,174418.0,248693.0,0,0.0,74275.0,end,[{2: 1}],-1,0
application_1506638472019_4117,ed69ec,af396c,COMPLETED,174482,1,76071,0,174482.0,250553.0,0,0.0,76071.0,end,[{2: 1}],-1,0
application_1506638472019_4121,ed69ec,af396c,COMPLETED,174528,1,126468,0,174528.0,300996.0,0,0.0,126468.0,end,[{2: 1}],-1,0
application_1506638472019_4134,ed69ec,af396c,COMPLETED,174634,1,75260,0,174634.0,249894.0,0,0.0,75260.0,end,[{1: 1}],-1,0
