jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2198,ee9e8c,1f4f96,FAILED,2969,8,24420,0,3000.0,27420.0,0,31.0,24451.0,end,[{0: 8}],-1,0
application_1506638472019_2227,ee9e8c,ec7b3b,FAILED,15558,1,34680,0,15600.0,50280.0,0,42.0,34722.0,end,[{1: 1}],-1,0
application_1506638472019_2228,ee9e8c,ec7b3b,FAILED,15560,16,50191,0,15600.0,65791.0,0,40.0,50231.0,end,"[{2: 8}, {3: 8}]",-1,0
application_1506638472019_2271,ee9e8c,777fa5,CANCELLED,27578,4,104,0,27600.0,27704.0,0,22.0,126.0,end,[{1: 4}],-1,0
application_1506638472019_2273,ee9e8c,777fa5,CANCELLED,27757,4,459,0,27780.0,28239.0,0,23.0,482.0,end,[{1: 4}],-1,0
application_1506638472019_2286,ee9e8c,777fa5,CANCELLED,28353,4,1458,0,28380.0,29838.0,0,27.0,1485.0,end,[{1: 4}],-1,0
application_1506638472019_2296,ee9e8c,a57535,CANCELLED,28694,8,671113,0,28740.0,699853.0,0,46.0,671159.0,end,[{0: 8}],-1,0
application_1506638472019_2323,ee9e8c,777fa5,FAILED,31785,4,2017,0,31800.0,33817.0,0,15.0,2032.0,end,[{1: 4}],-1,0
application_1506638472019_2402,ee9e8c,777fa5,FAILED,60207,4,34,0,60240.0,60274.0,0,33.0,67.0,end,[{1: 4}],-1,0
application_1506638472019_2403,ee9e8c,777fa5,CANCELLED,60397,4,619,0,60420.0,61039.0,0,23.0,642.0,end,[{1: 4}],-1,0
application_1506638472019_2405,ee9e8c,777fa5,CANCELLED,60989,4,940,0,61020.0,61960.0,0,31.0,971.0,end,[{1: 4}],-1,0
application_1506638472019_2407,ee9e8c,777fa5,COMPLETED,61380,4,22012,0,61380.0,83392.0,0,0.0,22012.0,end,[{1: 4}],-1,0
application_1506638472019_2410,ee9e8c,777fa5,CANCELLED,62503,4,4692,0,62520.0,67212.0,0,17.0,4709.0,end,[{1: 4}],-1,0
application_1506638472019_2413,ee9e8c,777fa5,FAILED,64000,4,27,0,64020.0,64047.0,0,20.0,47.0,end,[{4: 4}],-1,0
application_1506638472019_2415,ee9e8c,777fa5,COMPLETED,64267,4,3418,0,64320.0,67738.0,0,53.0,3471.0,end,[{4: 4}],-1,0
