jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2198,ee9e8c,1f4f96,FAILED,2969,8,24420,0,2969.0,27389.0,0,0.0,24420.0,end,[{0: 8}],-1,0
application_1506638472019_2227,ee9e8c,ec7b3b,FAILED,15558,1,34680,0,15558.0,50238.0,0,0.0,34680.0,end,[{1: 1}],-1,0
application_1506638472019_2228,ee9e8c,ec7b3b,FAILED,15560,16,50191,0,15560.0,65751.0,0,0.0,50191.0,end,"[{2: 8}, {3: 8}]",-1,0
application_1506638472019_2271,ee9e8c,777fa5,CANCELLED,27578,4,104,0,27578.0,27682.0,0,0.0,104.0,end,[{1: 4}],-1,0
application_1506638472019_2273,ee9e8c,777fa5,CANCELLED,27757,4,459,0,27757.0,28216.0,0,0.0,459.0,end,[{1: 4}],-1,0
application_1506638472019_2286,ee9e8c,777fa5,CANCELLED,28353,4,1458,0,28353.0,29811.0,0,0.0,1458.0,end,[{1: 4}],-1,0
application_1506638472019_2296,ee9e8c,a57535,CANCELLED,28694,8,671113,0,28694.0,699807.0,0,0.0,671113.0,end,[{0: 8}],-1,0
application_1506638472019_2323,ee9e8c,777fa5,FAILED,31785,4,2017,0,31785.0,33802.0,0,0.0,2017.0,end,[{1: 4}],-1,0
application_1506638472019_2402,ee9e8c,777fa5,FAILED,60207,4,34,0,60207.0,60241.0,0,0.0,34.0,end,[{1: 4}],-1,0
application_1506638472019_2403,ee9e8c,777fa5,CANCELLED,60397,4,619,0,60397.0,61016.0,0,0.0,619.0,end,[{1: 4}],-1,0
application_1506638472019_2405,ee9e8c,777fa5,CANCELLED,60989,4,940,0,60989.0,61929.0,0,0.0,940.0,end,[{1: 4}],-1,0
application_1506638472019_2407,ee9e8c,777fa5,COMPLETED,61380,4,22012,0,61380.0,83392.0,0,0.0,22012.0,end,[{1: 4}],-1,0
application_1506638472019_2410,ee9e8c,777fa5,CANCELLED,62503,4,4692,0,62503.0,67195.0,0,0.0,4692.0,end,[{1: 4}],-1,0
application_1506638472019_2413,ee9e8c,777fa5,FAILED,64000,4,27,0,64000.0,64027.0,0,0.0,27.0,end,[{4: 4}],-1,0
application_1506638472019_2415,ee9e8c,777fa5,COMPLETED,64267,4,3418,0,64267.0,67685.0,0,0.0,3418.0,end,[{4: 4}],-1,0
application_1506638472019_2422,ee9e8c,777fa5,COMPLETED,65515,4,6707,0,65515.0,72222.0,0,0.0,6707.0,end,[{4: 4}],-1,0
application_1506638472019_2429,ee9e8c,5da453,FAILED,66921,8,72716,0,66921.0,139637.0,0,0.0,72716.0,end,[{2: 8}],-1,0
application_1506638472019_2432,ee9e8c,777fa5,COMPLETED,67050,4,1729,0,67050.0,68779.0,0,0.0,1729.0,end,[{3: 4}],-1,0
application_1506638472019_2458,ee9e8c,75c74f,FAILED,74813,16,37,0,74813.0,74850.0,0,0.0,37.0,end,"[{3: 8}, {4: 8}]",-1,0
application_1506638472019_2459,ee9e8c,75c74f,FAILED,74838,16,333,0,74838.0,75171.0,0,0.0,333.0,end,"[{5: 8}, {6: 8}]",-1,0
application_1506638472019_2510,ee9e8c,e2e094,COMPLETED,89264,8,649304,0,89264.0,738568.0,0,0.0,649304.0,end,[{1: 8}],-1,0
application_1506638472019_2584,ee9e8c,777fa5,FAILED,106199,4,27,0,106199.0,106226.0,0,0.0,27.0,end,[{3: 4}],-1,0
application_1506638472019_2586,ee9e8c,777fa5,CANCELLED,106447,4,371,0,106447.0,106818.0,0,0.0,371.0,end,[{3: 4}],-1,0
application_1506638472019_2588,ee9e8c,777fa5,COMPLETED,106854,4,52256,0,106854.0,159110.0,0,0.0,52256.0,end,[{3: 4}],-1,0
application_1506638472019_2593,ee9e8c,777fa5,COMPLETED,107625,4,50955,0,107625.0,158580.0,0,0.0,50955.0,end,[{3: 4}],-1,0
application_1506638472019_2599,ee9e8c,777fa5,COMPLETED,108306,4,36253,0,108306.0,144559.0,0,0.0,36253.0,end,[{4: 4}],-1,0
application_1506638472019_2714,ee9e8c,777fa5,COMPLETED,110355,4,48529,0,110355.0,158884.0,0,0.0,48529.0,end,[{4: 4}],-1,0
application_1506638472019_2740,ee9e8c,777fa5,COMPLETED,110447,4,48063,0,110447.0,158510.0,0,0.0,48063.0,end,[{5: 4}],-1,0
