jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2198,ee9e8c,1f4f96,FAILED,2969,8,24420,0,2969.0,27390.0,0,0.0,24421.0,end,[{0: 8}],-1,0
application_1506638472019_2227,ee9e8c,ec7b3b,FAILED,15558,1,34680,0,15558.0,50239.0,0,0.0,34681.0,end,[{1: 1}],-1,0
application_1506638472019_2228,ee9e8c,ec7b3b,FAILED,15560,16,50191,0,15560.0,65752.0,0,0.0,50192.0,end,"[{2: 8}, {3: 8}]",-1,0
application_1506638472019_2271,ee9e8c,777fa5,CANCELLED,27578,4,104,0,27578.0,27683.0,0,0.0,105.0,end,[{1: 4}],-1,0
application_1506638472019_2273,ee9e8c,777fa5,CANCELLED,27757,4,459,0,27757.0,28217.0,0,0.0,460.0,end,[{1: 4}],-1,0
application_1506638472019_2286,ee9e8c,777fa5,CANCELLED,28353,4,1458,0,28353.0,29812.0,0,0.0,1459.0,end,[{1: 4}],-1,0
application_1506638472019_2296,ee9e8c,a57535,CANCELLED,28694,8,671113,0,28694.0,699808.0,0,0.0,671114.0,end,[{0: 8}],-1,0
application_1506638472019_2323,ee9e8c,777fa5,FAILED,31785,4,2017,0,31785.0,33803.0,0,0.0,2018.0,end,[{1: 4}],-1,0
application_1506638472019_2402,ee9e8c,777fa5,FAILED,60207,4,34,0,60207.0,60242.0,0,0.0,35.0,end,[{1: 4}],-1,0
application_1506638472019_2403,ee9e8c,777fa5,CANCELLED,60397,4,619,0,60397.0,61017.0,0,0.0,620.0,end,[{1: 4}],-1,0
application_1506638472019_2405,ee9e8c,777fa5,CANCELLED,60989,4,940,0,60989.0,61930.0,0,0.0,941.0,end,[{1: 4}],-1,0
application_1506638472019_2407,ee9e8c,777fa5,COMPLETED,61380,4,22012,0,61380.0,83393.0,0,0.0,22013.0,end,[{1: 4}],-1,0
application_1506638472019_2410,ee9e8c,777fa5,CANCELLED,62503,4,4692,0,62503.0,67196.0,0,0.0,4693.0,end,[{1: 4}],-1,0
application_1506638472019_2413,ee9e8c,777fa5,FAILED,64000,4,27,0,64000.0,64028.0,0,0.0,28.0,end,[{4: 4}],-1,0
application_1506638472019_2415,ee9e8c,777fa5,COMPLETED,64267,4,3418,0,64267.0,67686.0,0,0.0,3419.0,end,[{4: 4}],-1,0
application_1506638472019_2422,ee9e8c,777fa5,COMPLETED,65515,4,6707,0,65515.0,72223.0,0,0.0,6708.0,end,[{4: 4}],-1,0
application_1506638472019_2429,ee9e8c,5da453,FAILED,66921,8,72716,0,66921.0,139638.0,0,0.0,72717.0,end,[{2: 8}],-1,0
application_1506638472019_2432,ee9e8c,777fa5,COMPLETED,67050,4,1729,0,67050.0,68780.0,0,0.0,1730.0,end,[{3: 4}],-1,0
application_1506638472019_2458,ee9e8c,75c74f,FAILED,74813,16,37,0,74813.0,74851.0,0,0.0,38.0,end,"[{3: 8}, {4: 8}]",-1,0
application_1506638472019_2459,ee9e8c,75c74f,FAILED,74838,16,333,0,74838.0,75172.0,0,0.0,334.0,end,"[{5: 8}, {6: 8}]",-1,0
application_1506638472019_2510,ee9e8c,e2e094,COMPLETED,89264,8,649304,0,89264.0,738569.0,0,0.0,649305.0,end,[{1: 8}],-1,0
application_1506638472019_2584,ee9e8c,777fa5,FAILED,106199,4,27,0,106199.0,106227.0,0,0.0,28.0,end,[{3: 4}],-1,0
application_1506638472019_2586,ee9e8c,777fa5,CANCELLED,106447,4,371,0,106447.0,106819.0,0,0.0,372.0,end,[{3: 4}],-1,0
application_1506638472019_2588,ee9e8c,777fa5,COMPLETED,106854,4,52256,0,106854.0,159111.0,0,0.0,52257.0,end,[{3: 4}],-1,0
application_1506638472019_2593,ee9e8c,777fa5,COMPLETED,107625,4,50955,0,107625.0,158581.0,0,0.0,50956.0,end,[{3: 4}],-1,0
application_1506638472019_2599,ee9e8c,777fa5,COMPLETED,108306,4,36253,0,108306.0,144560.0,0,0.0,36254.0,end,[{4: 4}],-1,0
