2022 May 06 15:28:41 | SpawnPoolWorker-5 | ee9e8c | Time: 0 | Total Job: 4247 | End job: 0 | Running job: 0 | Pending job: 0
2022 May 06 15:28:43 | SpawnPoolWorker-5 | ee9e8c | Time: 30000 | Total Job: 4247 | End job: 4 | Running job: 3 | Pending job: 0
2022 May 06 15:28:45 | SpawnPoolWorker-5 | ee9e8c | Time: 60000 | Total Job: 4247 | End job: 6 | Running job: 2 | Pending job: 0
2022 May 06 15:28:46 | SpawnPoolWorker-5 | ee9e8c | Time: 90000 | Total Job: 4247 | End job: 18 | Running job: 3 | Pending job: 0
2022 May 06 15:28:48 | SpawnPoolWorker-5 | ee9e8c | Time: 120000 | Total Job: 4247 | End job: 20 | Running job: 11 | Pending job: 0
2022 May 06 15:28:50 | SpawnPoolWorker-5 | ee9e8c | Time: 150000 | Total Job: 4247 | End job: 23 | Running job: 13 | Pending job: 0
2022 May 06 15:28:52 | SpawnPoolWorker-5 | ee9e8c | Time: 180000 | Total Job: 4247 | End job: 133 | Running job: 35 | Pending job: 0
2022 May 06 15:28:53 | SpawnPoolWorker-5 | ee9e8c | Time: 210000 | Total Job: 4247 | End job: 169 | Running job: 18 | Pending job: 0
2022 May 06 15:28:55 | SpawnPoolWorker-5 | ee9e8c | Time: 240000 | Total Job: 4247 | End job: 175 | Running job: 16 | Pending job: 0
2022 May 06 15:28:56 | SpawnPoolWorker-5 | ee9e8c | Time: 270000 | Total Job: 4247 | End job: 179 | Running job: 121 | Pending job: 0
2022 May 06 15:28:58 | SpawnPoolWorker-5 | ee9e8c | Time: 300000 | Total Job: 4247 | End job: 187 | Running job: 124 | Pending job: 0
2022 May 06 15:29:00 | SpawnPoolWorker-5 | ee9e8c | Time: 330000 | Total Job: 4247 | End job: 190 | Running job: 124 | Pending job: 0
2022 May 06 15:29:01 | SpawnPoolWorker-5 | ee9e8c | Time: 360000 | Total Job: 4247 | End job: 197 | Running job: 124 | Pending job: 0
2022 May 06 15:29:03 | SpawnPoolWorker-5 | ee9e8c | Time: 390000 | Total Job: 4247 | End job: 200 | Running job: 125 | Pending job: 0
2022 May 06 15:29:04 | SpawnPoolWorker-5 | ee9e8c | Time: 420000 | Total Job: 4247 | End job: 215 | Running job: 127 | Pending job: 0
2022 May 06 15:29:06 | SpawnPoolWorker-5 | ee9e8c | Time: 450000 | Total Job: 4247 | End job: 305 | Running job: 76 | Pending job: 0
2022 May 06 15:29:07 | SpawnPoolWorker-5 | ee9e8c | Time: 480000 | Total Job: 4247 | End job: 314 | Running job: 76 | Pending job: 0
2022 May 06 15:29:09 | SpawnPoolWorker-5 | ee9e8c | Time: 510000 | Total Job: 4247 | End job: 345 | Running job: 79 | Pending job: 0
2022 May 06 15:29:10 | SpawnPoolWorker-5 | ee9e8c | Time: 540000 | Total Job: 4247 | End job: 372 | Running job: 85 | Pending job: 0
2022 May 06 15:29:11 | SpawnPoolWorker-5 | ee9e8c | Time: 570000 | Total Job: 4247 | End job: 405 | Running job: 84 | Pending job: 0
2022 May 06 15:29:12 | SpawnPoolWorker-5 | ee9e8c | Time: 600000 | Total Job: 4247 | End job: 445 | Running job: 80 | Pending job: 0
2022 May 06 15:29:13 | SpawnPoolWorker-5 | ee9e8c | Time: 630000 | Total Job: 4247 | End job: 451 | Running job: 77 | Pending job: 0
2022 May 06 15:29:14 | SpawnPoolWorker-5 | ee9e8c | Time: 660000 | Total Job: 4247 | End job: 455 | Running job: 73 | Pending job: 0
2022 May 06 15:29:14 | SpawnPoolWorker-5 | ee9e8c | Time: 690000 | Total Job: 4247 | End job: 463 | Running job: 65 | Pending job: 0
2022 May 06 15:29:15 | SpawnPoolWorker-5 | ee9e8c | Time: 720000 | Total Job: 4247 | End job: 483 | Running job: 74 | Pending job: 0
2022 May 06 15:29:16 | SpawnPoolWorker-5 | ee9e8c | Time: 750000 | Total Job: 4247 | End job: 497 | Running job: 75 | Pending job: 0
2022 May 06 15:29:17 | SpawnPoolWorker-5 | ee9e8c | Time: 780000 | Total Job: 4247 | End job: 526 | Running job: 75 | Pending job: 0
2022 May 06 15:29:18 | SpawnPoolWorker-5 | ee9e8c | Time: 810000 | Total Job: 4247 | End job: 548 | Running job: 85 | Pending job: 0
2022 May 06 15:29:18 | SpawnPoolWorker-5 | ee9e8c | Time: 840000 | Total Job: 4247 | End job: 565 | Running job: 77 | Pending job: 0
2022 May 06 15:29:19 | SpawnPoolWorker-5 | ee9e8c | Time: 870000 | Total Job: 4247 | End job: 592 | Running job: 65 | Pending job: 0
2022 May 06 15:29:20 | SpawnPoolWorker-5 | ee9e8c | Time: 900000 | Total Job: 4247 | End job: 606 | Running job: 81 | Pending job: 0
2022 May 06 15:29:20 | SpawnPoolWorker-5 | ee9e8c | Time: 930000 | Total Job: 4247 | End job: 613 | Running job: 82 | Pending job: 0
2022 May 06 15:29:21 | SpawnPoolWorker-5 | ee9e8c | Time: 960000 | Total Job: 4247 | End job: 641 | Running job: 80 | Pending job: 0
