jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2987,2869ce,fac375,COMPLETED,112967,8,437,0,112980.0,113417.0,0,13.0,0,end,[{0: 8}],-1,0
application_1506638472019_2988,2869ce,fac375,COMPLETED,113361,8,310,0,113400.0,113710.0,0,39.0,0,end,[{1: 8}],-1,0
application_1506638472019_3560,2869ce,23a431,CANCELLED,118855,8,707,0,118860.0,119567.0,0,5.0,0,end,[{1: 8}],-1,0
application_1506638472019_3559,2869ce,23a431,CANCELLED,118697,8,881,0,118740.0,119621.0,0,43.0,0,end,[{0: 8}],-1,0
application_1506638472019_3565,2869ce,2be114,FAILED,120393,8,519,0,120420.0,120939.0,0,27.0,0,end,[{0: 8}],-1,0
application_1506638472019_3718,2869ce,e4f747,FAILED,133617,8,52,0,133620.0,133672.0,0,3.0,0,end,[{2: 8}],-1,0
application_1506638472019_3717,2869ce,e4f747,COMPLETED,133546,8,148,0,133560.0,133708.0,0,14.0,0,end,[{1: 8}],-1,0
application_1506638472019_3719,2869ce,e4f747,FAILED,133646,8,53,0,133680.0,133733.0,0,34.0,0,end,[{2: 8}],-1,0
application_1506638472019_3716,2869ce,e4f747,FAILED,133464,8,637,0,133500.0,134137.0,0,36.0,0,end,[{0: 8}],-1,0
application_1506638472019_3732,2869ce,fac375,COMPLETED,136778,4,102,0,136800.0,136902.0,0,22.0,0,end,[{0: 4}],-1,0
application_1506638472019_3734,2869ce,fac375,FAILED,136896,4,30,0,136920.0,136950.0,0,24.0,0,end,[{0: 4}],-1,0
application_1506638472019_3735,2869ce,fac375,FAILED,137045,4,23,0,137100.0,137123.0,0,55.0,0,end,[{0: 4}],-1,0
application_1506638472019_3737,2869ce,fac375,FAILED,137922,4,21,0,137940.0,137961.0,0,18.0,0,end,[{0: 4}],-1,0
application_1506638472019_3739,2869ce,fac375,FAILED,138093,4,27,0,138120.0,138147.0,0,27.0,0,end,[{0: 4}],-1,0
application_1506638472019_3741,2869ce,23a431,COMPLETED,138150,32,47358,0,138180.0,185538.0,0,30.0,0,end,"[{9: 8}, {10: 8}, {11: 8}, {12: 8}]",-1,0
application_1506638472019_3963,2869ce,8e96c6,CANCELLED,160071,8,141,0,185580.0,185721.0,0,25509.0,0,end,[{13: 8}],-96944,0
application_1506638472019_4163,2869ce,8e96c6,CANCELLED,177571,8,236,0,185580.0,185816.0,0,8009.0,0,end,[{15: 8}],-42776,0
application_1506638472019_3744,2869ce,fac375,FAILED,138708,4,23,0,185760.0,185783.0,0,47052.0,0,end,[{13: 4}],-6792,0
application_1506638472019_3762,2869ce,2be114,CANCELLED,142562,8,114,0,185820.0,185934.0,0,43258.0,0,end,[{15: 8}],-5120,0
application_1506638472019_3957,2869ce,8e96c6,FAILED,159269,8,33,0,185940.0,185973.0,0,26671.0,0,end,[{15: 8}],-1944,0
application_1506638472019_3745,2869ce,fac375,FAILED,139138,4,23,0,186000.0,186023.0,0,46862.0,0,end,[{15: 4}],40,0
application_1506638472019_3763,2869ce,2be114,FAILED,142674,8,21,0,186060.0,186081.0,0,43386.0,0,end,[{15: 8}],96,0
application_1506638472019_4016,2869ce,2be114,FAILED,169166,8,85,0,186120.0,186205.0,0,16954.0,0,end,[{15: 8}],96,0
application_1506638472019_3976,2869ce,2be114,COMPLETED,162218,8,917,0,185580.0,186497.0,0,23362.0,0,end,[{14: 8}],-51840,0
application_1506638472019_3751,2869ce,fac375,COMPLETED,140532,8,320,0,186240.0,186560.0,0,45708.0,0,end,[{15: 8}],160,0
application_1506638472019_3749,2869ce,fac375,COMPLETED,140221,4,89,0,186600.0,186689.0,0,46379.0,0,end,[{15: 4}],592,0
application_1506638472019_3795,2869ce,fac375,CANCELLED,148324,8,244,0,186540.0,186784.0,0,38216.0,0,end,[{14: 8}],296,0
application_1506638472019_3984,2869ce,2be114,COMPLETED,163328,8,1046,0,185820.0,186866.0,0,22492.0,0,end,[{13: 8}],-6576,0
application_1506638472019_3747,2869ce,fac375,CANCELLED,139356,4,296,0,186600.0,186896.0,0,47244.0,0,end,[{15: 4}],768,0
application_1506638472019_4156,2869ce,8e96c6,CANCELLED,177166,8,218,0,186840.0,187058.0,0,9674.0,0,end,[{14: 8}],2416,0
application_1506638472019_3959,2869ce,8e96c6,CANCELLED,159585,8,408,0,186900.0,187308.0,0,27315.0,0,end,[{13: 8}],4096,0
application_1506638472019_3773,2869ce,2be114,COMPLETED,145477,8,1053,0,187080.0,188133.0,0,41603.0,0,end,[{14: 8}],4920,0
application_1506638472019_3781,2869ce,2be114,COMPLETED,147041,8,914,0,187320.0,188234.0,0,40279.0,0,end,[{13: 8}],7288,0
application_1506638472019_3765,2869ce,2be114,COMPLETED,142910,8,1404,0,186900.0,188304.0,0,43990.0,0,end,[{15: 8}],4792,0
application_1506638472019_3740,2869ce,23a431,COMPLETED,138127,32,50430,0,138180.0,188610.0,0,53.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",-1,0
application_1506638472019_3789,2869ce,2be114,COMPLETED,147907,8,946,0,188340.0,189286.0,0,40433.0,0,end,[{15: 8}],11328,0
application_1506638472019_3769,2869ce,2be114,COMPLETED,144910,8,1224,0,188280.0,189504.0,0,43370.0,0,end,[{13: 8}],10704,0
application_1506638472019_3752,2869ce,2be114,COMPLETED,140847,8,1496,0,188160.0,189656.0,0,47313.0,0,end,[{14: 8}],7552,0
application_1506638472019_4165,2869ce,8e96c6,FAILED,177999,8,1009,0,188640.0,189649.0,0,10641.0,0,end,[{6: 8}],11808,0
application_1506638472019_3885,2869ce,fac375,FAILED,156784,8,1016,0,188640.0,189656.0,0,31856.0,0,end,[{7: 8}],13648,0
application_1506638472019_3799,2869ce,2be114,COMPLETED,148710,8,1248,0,188640.0,189888.0,0,39930.0,0,end,[{0: 8}],11720,0
application_1506638472019_3788,2869ce,2be114,COMPLETED,147759,8,1358,0,189300.0,190658.0,0,41541.0,0,end,[{15: 8}],18192,0
application_1506638472019_3798,2869ce,fac375,COMPLETED,148580,8,2191,0,189540.0,191731.0,0,40960.0,0,end,[{13: 8}],1148680,0
application_1506638472019_4331,2869ce,e4f747,FAILED,216905,8,64,0,216960.0,217024.0,0,55.0,0,end,[{14: 8}],28624,0
application_1506638472019_4332,2869ce,e4f747,CANCELLED,217068,8,86,0,217080.0,217166.0,0,12.0,0,end,[{14: 8}],-8,0
application_1506638472019_4336,2869ce,e4f747,CANCELLED,217685,8,54,0,217740.0,217794.0,0,55.0,0,end,[{14: 8}],784,0
application_1506638472019_4338,2869ce,e4f747,COMPLETED,217816,8,139,0,217860.0,217999.0,0,44.0,0,end,[{15: 8}],1248,0
application_1506638472019_4341,2869ce,e4f747,COMPLETED,218174,8,138,0,218220.0,218358.0,0,46.0,0,end,[{15: 8}],-69888,0
application_1506638472019_4337,2869ce,2be114,COMPLETED,217798,8,890,0,217800.0,218690.0,0,2.0,0,end,[{14: 8}],-1416,0
application_1506638472019_4350,2869ce,2be114,CANCELLED,219548,8,490,0,219600.0,220090.0,0,52.0,0,end,[{14: 8}],12408,0
application_1506638472019_4355,2869ce,2be114,COMPLETED,221119,8,877,0,221160.0,222037.0,0,41.0,0,end,[{14: 8}],1400,0
application_1506638472019_4358,2869ce,683819,FAILED,222114,8,481,0,222120.0,222601.0,0,6.0,0,end,[{14: 8}],31648,0
application_1506638472019_4360,2869ce,2be114,COMPLETED,222702,8,892,0,222720.0,223612.0,0,18.0,0,end,[{14: 8}],-62704,0
application_1506638472019_4361,2869ce,2be114,CANCELLED,223280,8,1027,0,223320.0,224347.0,0,40.0,0,end,[{15: 8}],-28368,0
application_1506638472019_3909,2869ce,fac375,COMPLETED,157833,4,36119,0,188640.0,224759.0,0,30807.0,0,end,[{8: 4}],16896,0
application_1506638472019_4367,2869ce,2be114,CANCELLED,224628,8,2114,0,224640.0,226754.0,0,12.0,0,end,[{14: 8}],71504,0
application_1506638472019_4373,2869ce,2be114,COMPLETED,226656,8,886,0,226680.0,227566.0,0,24.0,0,end,[{8: 8}],6536,0
application_1506638472019_4376,2869ce,2be114,FAILED,227811,8,85,0,227820.0,227905.0,0,9.0,0,end,[{8: 8}],65832,0
application_1506638472019_4379,2869ce,2be114,COMPLETED,228305,8,927,0,228360.0,229287.0,0,55.0,0,end,[{8: 8}],5280,0
application_1506638472019_4383,2869ce,2be114,COMPLETED,229313,8,961,0,229320.0,230281.0,0,7.0,0,end,[{8: 8}],5736,0
application_1506638472019_4386,2869ce,2be114,COMPLETED,229576,8,892,0,229620.0,230512.0,0,44.0,0,end,[{14: 8}],8936,0
application_1506638472019_4387,2869ce,2be114,COMPLETED,229636,8,935,0,229680.0,230615.0,0,44.0,0,end,[{15: 8}],4552,0
application_1506638472019_4394,2869ce,23a431,CANCELLED,230694,8,166,0,230700.0,230866.0,0,6.0,0,end,[{8: 8}],-109160,0
application_1506638472019_4396,2869ce,23a431,CANCELLED,230817,8,107,0,230820.0,230927.0,0,3.0,0,end,[{14: 8}],960,0
application_1506638472019_4443,2869ce,fac375,COMPLETED,235375,8,80,0,235380.0,235460.0,0,5.0,0,end,[{8: 8}],120,0
application_1506638472019_4455,2869ce,fac375,COMPLETED,236493,8,83,0,236520.0,236603.0,0,27.0,0,end,[{8: 8}],488,0
application_1506638472019_3742,2869ce,23a431,COMPLETED,138172,32,51170,0,185580.0,236750.0,0,47408.0,0,end,"[{9: 8}, {10: 8}, {11: 8}, {12: 8}]",-130091424,0
application_1506638472019_4391,2869ce,23a431,CANCELLED,230113,32,79,0,236760.0,236839.0,0,6647.0,0,end,"[{9: 8}, {10: 8}, {11: 8}, {12: 8}]",2144,0
application_1506638472019_4397,2869ce,23a431,CANCELLED,230880,8,170,0,236760.0,236930.0,0,5880.0,0,end,[{14: 8}],2648,0
application_1506638472019_4395,2869ce,23a431,CANCELLED,230755,32,304,0,236940.0,237244.0,0,6185.0,0,end,"[{10: 8}, {11: 8}, {12: 8}, {14: 8}]",14368,0
application_1506638472019_4414,2869ce,2be114,COMPLETED,234167,8,900,0,236880.0,237780.0,0,2713.0,0,end,[{9: 8}],8360,0
application_1506638472019_4449,2869ce,2be114,COMPLETED,235877,8,1206,0,236760.0,237966.0,0,883.0,0,end,[{15: 8}],5968,0
application_1506638472019_4408,2869ce,2be114,COMPLETED,232313,8,901,0,237300.0,238201.0,0,4987.0,0,end,[{10: 8}],68832,0
application_1506638472019_4528,2869ce,8e96c6,FAILED,247425,8,502,0,247440.0,247942.0,0,15.0,0,end,[{10: 8}],3504,0
application_1506638472019_4542,2869ce,8e96c6,FAILED,248973,8,844,0,249000.0,249844.0,0,27.0,0,end,[{10: 8}],4640,0
application_1506638472019_4553,2869ce,8e96c6,FAILED,250649,8,1692,0,250680.0,252372.0,0,31.0,0,end,[{10: 8}],25856,0
application_1506638472019_4458,2869ce,fac375,COMPLETED,236665,8,19512,0,236700.0,256212.0,0,35.0,0,end,[{8: 8}],-681000,0
application_1506638472019_4793,2869ce,8e96c6,FAILED,258215,8,462,0,258240.0,258702.0,0,25.0,0,end,[{8: 8}],3544,0
application_1506638472019_4311,2869ce,23a431,COMPLETED,209800,32,54887,0,209820.0,264707.0,0,20.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {13: 8}]",-1,0
application_1506638472019_5344,2869ce,8e96c6,FAILED,262330,32,27,0,264720.0,264747.0,0,2390.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",-38912,0
application_1506638472019_5188,2869ce,8e96c6,FAILED,261229,32,20,0,264780.0,264800.0,0,3551.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",576,0
application_1506638472019_5338,2869ce,8e96c6,FAILED,261705,32,26,0,264840.0,264866.0,0,3135.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",832,0
application_1506638472019_5345,2869ce,8e96c6,FAILED,262436,32,52,0,264900.0,264952.0,0,2464.0,0,end,"[{0: 8}, {6: 8}, {7: 8}, {8: 8}]",1216,0
application_1506638472019_4315,2869ce,23a431,COMPLETED,209888,32,48371,0,237780.0,286151.0,0,27892.0,0,end,"[{9: 8}, {11: 8}, {12: 8}, {14: 8}]",1651712,0
application_1506638472019_3721,2869ce,23a431,COMPLETED,133955,8,161568,0,133980.0,295548.0,0,25.0,0,end,[{1: 8}],-1,0
application_1506638472019_6064,2869ce,2be114,COMPLETED,297459,8,1454,0,297480.0,298934.0,0,21.0,0,end,[{1: 8}],-73584,0
application_1506638472019_3722,2869ce,23a431,COMPLETED,133977,8,165085,0,133980.0,299065.0,0,3.0,0,end,[{2: 8}],-1,0
