jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2560,0e4a51,b22530,FAILED,101816,4,206,0,101820.0,102026.0,0,4.0,0,end,[{1: 4}],-1,0
application_1506638472019_2558,0e4a51,b22530,FAILED,101813,4,371,0,101820.0,102191.0,0,7.0,0,end,[{0: 4}],-1,0
application_1506638472019_2559,0e4a51,b22530,FAILED,101814,4,958,0,101820.0,102778.0,0,6.0,0,end,[{1: 4}],-1,0
application_1506638472019_2557,0e4a51,b22530,FAILED,101811,4,1124,0,101820.0,102944.0,0,9.0,0,end,[{0: 4}],-1,0
application_1506638472019_3955,0e4a51,b22530,FAILED,158846,4,126829,0,158880.0,285709.0,0,34.0,0,end,[{1: 4}],-1,0
application_1506638472019_3954,0e4a51,b22530,FAILED,158841,4,146230,0,158880.0,305110.0,0,39.0,0,end,[{1: 4}],-1,0
application_1506638472019_3953,0e4a51,b22530,FAILED,158826,4,150272,0,158880.0,309152.0,0,54.0,0,end,[{0: 4}],-1,0
application_1506638472019_3952,0e4a51,b22530,FAILED,158811,4,185464,0,158820.0,344284.0,0,9.0,0,end,[{0: 4}],-1,0
application_1506638472019_9270,0e4a51,b22530,FAILED,368354,2,26463,0,368400.0,394863.0,0,46.0,0,end,[{0: 2}],-1,0
application_1506638472019_9273,0e4a51,b22530,FAILED,368377,2,26518,0,368400.0,394918.0,0,23.0,0,end,[{0: 2}],-1,0
application_1506638472019_9276,0e4a51,b22530,FAILED,368383,2,26943,0,368400.0,395343.0,0,17.0,0,end,[{0: 2}],-1,0
application_1506638472019_9277,0e4a51,b22530,FAILED,368386,2,26974,0,368400.0,395374.0,0,14.0,0,end,[{1: 2}],-1,0
application_1506638472019_9271,0e4a51,b22530,FAILED,368363,2,27078,0,368400.0,395478.0,0,37.0,0,end,[{0: 2}],-1,0
application_1506638472019_9286,0e4a51,b22530,FAILED,368451,2,27018,0,368460.0,395478.0,0,9.0,0,end,[{1: 2}],-1,0
application_1506638472019_9278,0e4a51,b22530,FAILED,368389,2,27168,0,368400.0,395568.0,0,11.0,0,end,[{1: 2}],-1,0
application_1506638472019_5928,0e4a51,b22530,FAILED,280971,4,134818,0,280980.0,415798.0,0,9.0,0,end,[{3: 4}],-1,0
application_1506638472019_5926,0e4a51,b22530,FAILED,280955,4,140720,0,280980.0,421700.0,0,25.0,0,end,[{2: 4}],-1,0
application_1506638472019_5927,0e4a51,b22530,FAILED,280955,4,141183,0,280980.0,422163.0,0,25.0,0,end,[{2: 4}],-1,0
application_1506638472019_5929,0e4a51,b22530,FAILED,280973,4,166740,0,280980.0,447720.0,0,7.0,0,end,[{3: 4}],-1,0
application_1506638472019_12600,0e4a51,b22530,COMPLETED,459551,4,97350,0,459600.0,556950.0,0,49.0,0,end,[{10: 4}],-1,0
application_1506638472019_12601,0e4a51,b22530,FAILED,459551,4,98734,0,459600.0,558334.0,0,49.0,0,end,[{9: 4}],-1,0
application_1506638472019_12597,0e4a51,b22530,COMPLETED,459239,4,99486,0,459240.0,558726.0,0,1.0,0,end,[{8: 4}],-1,0
application_1506638472019_12594,0e4a51,b22530,COMPLETED,459199,4,104642,0,459240.0,563882.0,0,41.0,0,end,[{6: 4}],-1,0
application_1506638472019_12599,0e4a51,b22530,FAILED,459259,4,120914,0,459300.0,580214.0,0,41.0,0,end,[{9: 4}],-1,0
application_1506638472019_12587,0e4a51,b22530,FAILED,459127,4,132062,0,459180.0,591242.0,0,53.0,0,end,[{3: 4}],-1,0
application_1506638472019_12603,0e4a51,b22530,FAILED,459632,4,136024,0,459660.0,595684.0,0,28.0,0,end,[{11: 4}],-1,0
application_1506638472019_12593,0e4a51,b22530,FAILED,459183,4,140181,0,459240.0,599421.0,0,57.0,0,end,[{6: 4}],-1,0
application_1506638472019_12602,0e4a51,b22530,FAILED,459629,4,142240,0,459660.0,601900.0,0,31.0,0,end,[{10: 4}],-1,0
application_1506638472019_12598,0e4a51,b22530,FAILED,459254,4,148689,0,459300.0,607989.0,0,46.0,0,end,[{8: 4}],-1,0
application_1506638472019_12591,0e4a51,b22530,FAILED,459163,4,149829,0,459180.0,609009.0,0,17.0,0,end,[{5: 4}],-1,0
application_1506638472019_12590,0e4a51,b22530,FAILED,459156,4,153615,0,459180.0,612795.0,0,24.0,0,end,[{2: 4}],-1,0
application_1506638472019_12592,0e4a51,b22530,FAILED,459177,4,165484,0,459180.0,624664.0,0,3.0,0,end,[{5: 4}],-1,0
application_1506638472019_14748,0e4a51,ef0012,FAILED,609956,2,1214,0,624720.0,625934.0,0,14764.0,0,end,[{5: 2}],-17386,0
application_1506638472019_12595,0e4a51,b22530,FAILED,459208,4,173116,0,459240.0,632356.0,0,32.0,0,end,[{7: 4}],-1,0
application_1506638472019_12589,0e4a51,b22530,FAILED,459148,4,181142,0,459180.0,640322.0,0,32.0,0,end,[{2: 4}],-1,0
application_1506638472019_14661,0e4a51,ef0012,COMPLETED,609658,2,39301,0,609660.0,648961.0,0,2.0,0,end,[{11: 2}],-1,0
application_1506638472019_12596,0e4a51,b22530,FAILED,459223,4,190000,0,459240.0,649240.0,0,17.0,0,end,[{7: 4}],-1,0
application_1506638472019_14662,0e4a51,ef0012,COMPLETED,609661,2,39716,0,609720.0,649436.0,0,59.0,0,end,[{12: 2}],-1,0
application_1506638472019_12588,0e4a51,b22530,FAILED,459133,4,190992,0,459180.0,650172.0,0,47.0,0,end,[{0: 4}],-1,0
application_1506638472019_14714,0e4a51,ef0012,COMPLETED,609839,2,41003,0,609840.0,650843.0,0,1.0,0,end,[{24: 2}],-1,0
application_1506638472019_14664,0e4a51,ef0012,COMPLETED,609668,2,46946,0,609720.0,656666.0,0,52.0,0,end,[{12: 2}],-1,0
application_1506638472019_14665,0e4a51,ef0012,COMPLETED,609671,2,47021,0,609720.0,656741.0,0,49.0,0,end,[{12: 2}],-1,0
application_1506638472019_14713,0e4a51,ef0012,COMPLETED,609836,2,47344,0,609840.0,657184.0,0,4.0,0,end,[{24: 2}],-1,0
application_1506638472019_14737,0e4a51,ef0012,COMPLETED,609918,2,47465,0,609960.0,657425.0,0,42.0,0,end,[{30: 2}],-1,0
application_1506638472019_14689,0e4a51,ef0012,COMPLETED,609753,2,57754,0,609780.0,667534.0,0,27.0,0,end,[{18: 2}],-1,0
application_1506638472019_14690,0e4a51,ef0012,COMPLETED,609756,2,65645,0,609780.0,675425.0,0,24.0,0,end,[{18: 2}],-1,0
application_1506638472019_14717,0e4a51,ef0012,COMPLETED,609850,2,68559,0,609900.0,678459.0,0,50.0,0,end,[{25: 2}],-1,0
application_1506638472019_14741,0e4a51,ef0012,COMPLETED,609933,2,69083,0,609960.0,679043.0,0,27.0,0,end,[{31: 2}],-1,0
application_1506638472019_14729,0e4a51,ef0012,FAILED,609891,2,75881,0,609900.0,685781.0,0,9.0,0,end,[{28: 2}],-1,0
application_1506638472019_14693,0e4a51,ef0012,COMPLETED,609767,2,77741,0,609780.0,687521.0,0,13.0,0,end,[{19: 2}],-1,0
application_1506638472019_14740,0e4a51,ef0012,COMPLETED,609930,2,79264,0,609960.0,689224.0,0,30.0,0,end,[{31: 2}],-1,0
