2022 Apr 23 16:17:17 | SpawnPoolWorker-6 | b436b2 | Time: 0 | Total Job: 8634 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:17:18 | SpawnPoolWorker-6 | b436b2 | Time: 30000 | Total Job: 8634 | End job: 16 | Running job: 16 | Pending job: 0
2022 Apr 23 16:17:19 | SpawnPoolWorker-6 | b436b2 | Time: 60000 | Total Job: 8634 | End job: 19 | Running job: 13 | Pending job: 0
2022 Apr 23 16:17:20 | SpawnPoolWorker-6 | b436b2 | Time: 90000 | Total Job: 8634 | End job: 21 | Running job: 17 | Pending job: 0
2022 Apr 23 16:17:21 | SpawnPoolWorker-6 | b436b2 | Time: 120000 | Total Job: 8634 | End job: 22 | Running job: 16 | Pending job: 0
2022 Apr 23 16:17:22 | SpawnPoolWorker-6 | b436b2 | Time: 150000 | Total Job: 8634 | End job: 24 | Running job: 14 | Pending job: 0
2022 Apr 23 16:17:23 | SpawnPoolWorker-6 | b436b2 | Time: 180000 | Total Job: 8634 | End job: 25 | Running job: 19 | Pending job: 0
2022 Apr 23 16:17:24 | SpawnPoolWorker-6 | b436b2 | Time: 210000 | Total Job: 8634 | End job: 27 | Running job: 17 | Pending job: 0
2022 Apr 23 16:17:25 | SpawnPoolWorker-6 | b436b2 | Time: 240000 | Total Job: 8634 | End job: 30 | Running job: 14 | Pending job: 0
2022 Apr 23 16:17:27 | SpawnPoolWorker-6 | b436b2 | Time: 270000 | Total Job: 8634 | End job: 30 | Running job: 14 | Pending job: 0
2022 Apr 23 16:17:28 | SpawnPoolWorker-6 | b436b2 | Time: 300000 | Total Job: 8634 | End job: 35 | Running job: 15 | Pending job: 0
2022 Apr 23 16:17:28 | SpawnPoolWorker-6 | b436b2 | Time: 330000 | Total Job: 8634 | End job: 37 | Running job: 14 | Pending job: 0
2022 Apr 23 16:17:29 | SpawnPoolWorker-6 | b436b2 | Time: 360000 | Total Job: 8634 | End job: 39 | Running job: 12 | Pending job: 0
2022 Apr 23 16:17:30 | SpawnPoolWorker-6 | b436b2 | Time: 390000 | Total Job: 8634 | End job: 40 | Running job: 11 | Pending job: 0
2022 Apr 23 16:17:31 | SpawnPoolWorker-6 | b436b2 | Time: 420000 | Total Job: 8634 | End job: 40 | Running job: 11 | Pending job: 0
2022 Apr 23 16:17:31 | SpawnPoolWorker-6 | b436b2 | Time: 450000 | Total Job: 8634 | End job: 44 | Running job: 11 | Pending job: 0
2022 Apr 23 16:17:32 | SpawnPoolWorker-6 | b436b2 | Time: 480000 | Total Job: 8634 | End job: 46 | Running job: 9 | Pending job: 0
2022 Apr 23 16:17:33 | SpawnPoolWorker-6 | b436b2 | Time: 510000 | Total Job: 8634 | End job: 46 | Running job: 11 | Pending job: 0
2022 Apr 23 16:17:34 | SpawnPoolWorker-6 | b436b2 | Time: 540000 | Total Job: 8634 | End job: 52 | Running job: 19 | Pending job: 0
2022 Apr 23 16:17:34 | SpawnPoolWorker-6 | b436b2 | Time: 570000 | Total Job: 8634 | End job: 52 | Running job: 19 | Pending job: 0
2022 Apr 23 16:17:35 | SpawnPoolWorker-6 | b436b2 | Time: 600000 | Total Job: 8634 | End job: 53 | Running job: 19 | Pending job: 0
2022 Apr 23 16:17:36 | SpawnPoolWorker-6 | b436b2 | Time: 630000 | Total Job: 8634 | End job: 77 | Running job: 47 | Pending job: 0
2022 Apr 23 16:17:36 | SpawnPoolWorker-6 | b436b2 | Time: 660000 | Total Job: 8634 | End job: 78 | Running job: 46 | Pending job: 0
2022 Apr 23 16:17:37 | SpawnPoolWorker-6 | b436b2 | Time: 690000 | Total Job: 8634 | End job: 79 | Running job: 54 | Pending job: 0
2022 Apr 23 16:17:38 | SpawnPoolWorker-6 | b436b2 | Time: 720000 | Total Job: 8634 | End job: 83 | Running job: 59 | Pending job: 0
2022 Apr 23 16:17:39 | SpawnPoolWorker-6 | b436b2 | Time: 750000 | Total Job: 8634 | End job: 94 | Running job: 58 | Pending job: 0
2022 Apr 23 16:17:39 | SpawnPoolWorker-6 | b436b2 | Time: 780000 | Total Job: 8634 | End job: 108 | Running job: 72 | Pending job: 0
2022 Apr 23 16:17:40 | SpawnPoolWorker-6 | b436b2 | Time: 810000 | Total Job: 8634 | End job: 120 | Running job: 78 | Pending job: 2
2022 Apr 23 16:17:41 | SpawnPoolWorker-6 | b436b2 | Time: 840000 | Total Job: 8634 | End job: 131 | Running job: 74 | Pending job: 3
2022 Apr 23 16:17:42 | SpawnPoolWorker-6 | b436b2 | Time: 870000 | Total Job: 8634 | End job: 145 | Running job: 71 | Pending job: 3
2022 Apr 23 16:17:42 | SpawnPoolWorker-6 | b436b2 | Time: 900000 | Total Job: 8634 | End job: 150 | Running job: 69 | Pending job: 7
2022 Apr 23 16:17:43 | SpawnPoolWorker-6 | b436b2 | Time: 930000 | Total Job: 8634 | End job: 163 | Running job: 66 | Pending job: 0
2022 Apr 23 16:17:44 | SpawnPoolWorker-6 | b436b2 | Time: 960000 | Total Job: 8634 | End job: 167 | Running job: 66 | Pending job: 0
2022 Apr 23 16:17:45 | SpawnPoolWorker-6 | b436b2 | Time: 990000 | Total Job: 8634 | End job: 182 | Running job: 60 | Pending job: 2
2022 Apr 23 16:17:45 | SpawnPoolWorker-6 | b436b2 | Time: 1020000 | Total Job: 8634 | End job: 186 | Running job: 62 | Pending job: 0
2022 Apr 23 16:17:46 | SpawnPoolWorker-6 | b436b2 | Time: 1050000 | Total Job: 8634 | End job: 187 | Running job: 64 | Pending job: 0
2022 Apr 23 16:17:46 | SpawnPoolWorker-6 | b436b2 | Time: 1080000 | Total Job: 8634 | End job: 189 | Running job: 64 | Pending job: 0
2022 Apr 23 16:17:47 | SpawnPoolWorker-6 | b436b2 | Time: 1110000 | Total Job: 8634 | End job: 195 | Running job: 63 | Pending job: 0
2022 Apr 23 16:17:48 | SpawnPoolWorker-6 | b436b2 | Time: 1140000 | Total Job: 8634 | End job: 202 | Running job: 58 | Pending job: 0
2022 Apr 23 16:17:48 | SpawnPoolWorker-6 | b436b2 | Time: 1170000 | Total Job: 8634 | End job: 210 | Running job: 61 | Pending job: 0
2022 Apr 23 16:17:49 | SpawnPoolWorker-6 | b436b2 | Time: 1200000 | Total Job: 8634 | End job: 210 | Running job: 61 | Pending job: 0
2022 Apr 23 16:17:49 | SpawnPoolWorker-6 | b436b2 | Time: 1230000 | Total Job: 8634 | End job: 211 | Running job: 61 | Pending job: 0
2022 Apr 23 16:17:50 | SpawnPoolWorker-6 | b436b2 | Time: 1260000 | Total Job: 8634 | End job: 213 | Running job: 59 | Pending job: 0
2022 Apr 23 16:17:50 | SpawnPoolWorker-6 | b436b2 | Time: 1290000 | Total Job: 8634 | End job: 230 | Running job: 49 | Pending job: 0
2022 Apr 23 16:17:51 | SpawnPoolWorker-6 | b436b2 | Time: 1320000 | Total Job: 8634 | End job: 250 | Running job: 57 | Pending job: 0
2022 Apr 23 16:17:52 | SpawnPoolWorker-6 | b436b2 | Time: 1350000 | Total Job: 8634 | End job: 260 | Running job: 58 | Pending job: 0
2022 Apr 23 16:17:52 | SpawnPoolWorker-6 | b436b2 | Time: 1380000 | Total Job: 8634 | End job: 264 | Running job: 58 | Pending job: 0
2022 Apr 23 16:17:53 | SpawnPoolWorker-6 | b436b2 | Time: 1410000 | Total Job: 8634 | End job: 272 | Running job: 63 | Pending job: 0
2022 Apr 23 16:17:53 | SpawnPoolWorker-6 | b436b2 | Time: 1440000 | Total Job: 8634 | End job: 290 | Running job: 60 | Pending job: 0
2022 Apr 23 16:17:54 | SpawnPoolWorker-6 | b436b2 | Time: 1470000 | Total Job: 8634 | End job: 297 | Running job: 63 | Pending job: 0
2022 Apr 23 16:17:54 | SpawnPoolWorker-6 | b436b2 | Time: 1500000 | Total Job: 8634 | End job: 301 | Running job: 60 | Pending job: 6
2022 Apr 23 16:17:55 | SpawnPoolWorker-6 | b436b2 | Time: 1530000 | Total Job: 8634 | End job: 311 | Running job: 60 | Pending job: 0
2022 Apr 23 16:17:55 | SpawnPoolWorker-6 | b436b2 | Time: 1560000 | Total Job: 8634 | End job: 320 | Running job: 51 | Pending job: 0
2022 Apr 23 16:17:56 | SpawnPoolWorker-6 | b436b2 | Time: 1590000 | Total Job: 8634 | End job: 334 | Running job: 58 | Pending job: 0
2022 Apr 23 16:17:57 | SpawnPoolWorker-6 | b436b2 | Time: 1620000 | Total Job: 8634 | End job: 346 | Running job: 49 | Pending job: 0
2022 Apr 23 16:17:58 | SpawnPoolWorker-6 | b436b2 | Time: 1650000 | Total Job: 8634 | End job: 807 | Running job: 35 | Pending job: 0
2022 Apr 23 16:18:01 | SpawnPoolWorker-6 | b436b2 | Time: 1680000 | Total Job: 8634 | End job: 2525 | Running job: 37 | Pending job: 0
2022 Apr 23 16:18:03 | SpawnPoolWorker-6 | b436b2 | Time: 1710000 | Total Job: 8634 | End job: 3275 | Running job: 44 | Pending job: 0
2022 Apr 23 16:18:05 | SpawnPoolWorker-6 | b436b2 | Time: 1740000 | Total Job: 8634 | End job: 3680 | Running job: 33 | Pending job: 0
2022 Apr 23 16:18:06 | SpawnPoolWorker-6 | b436b2 | Time: 1770000 | Total Job: 8634 | End job: 4048 | Running job: 40 | Pending job: 0
2022 Apr 23 16:18:07 | SpawnPoolWorker-6 | b436b2 | Time: 1800000 | Total Job: 8634 | End job: 4433 | Running job: 37 | Pending job: 0
2022 Apr 23 16:18:10 | SpawnPoolWorker-6 | b436b2 | Time: 1830000 | Total Job: 8634 | End job: 5575 | Running job: 37 | Pending job: 0
2022 Apr 23 16:18:14 | SpawnPoolWorker-6 | b436b2 | Time: 1860000 | Total Job: 8634 | End job: 6741 | Running job: 34 | Pending job: 0
2022 Apr 23 16:18:14 | SpawnPoolWorker-6 | b436b2 | Time: 1890000 | Total Job: 8634 | End job: 6745 | Running job: 30 | Pending job: 0
2022 Apr 23 16:18:14 | SpawnPoolWorker-6 | b436b2 | Time: 1920000 | Total Job: 8634 | End job: 6748 | Running job: 30 | Pending job: 0
2022 Apr 23 16:18:15 | SpawnPoolWorker-6 | b436b2 | Time: 1950000 | Total Job: 8634 | End job: 6758 | Running job: 24 | Pending job: 0
2022 Apr 23 16:18:15 | SpawnPoolWorker-6 | b436b2 | Time: 1980000 | Total Job: 8634 | End job: 6759 | Running job: 24 | Pending job: 0
2022 Apr 23 16:18:15 | SpawnPoolWorker-6 | b436b2 | Time: 2010000 | Total Job: 8634 | End job: 6762 | Running job: 29 | Pending job: 0
2022 Apr 23 16:18:15 | SpawnPoolWorker-6 | b436b2 | Time: 2040000 | Total Job: 8634 | End job: 6769 | Running job: 32 | Pending job: 0
2022 Apr 23 16:18:16 | SpawnPoolWorker-6 | b436b2 | Time: 2070000 | Total Job: 8634 | End job: 7165 | Running job: 33 | Pending job: 0
