2022 Apr 23 16:42:58 | SpawnPoolWorker-7 | 103959 | Time: 0 | Total Job: 2188 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:42:58 | SpawnPoolWorker-7 | 103959 | Time: 90000 | Total Job: 2188 | End job: 11 | Running job: 0 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-7 | 103959 | Time: 180000 | Total Job: 2188 | End job: 17 | Running job: 1 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-7 | 103959 | Time: 270000 | Total Job: 2188 | End job: 26 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-7 | 103959 | Time: 360000 | Total Job: 2188 | End job: 54 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-7 | 103959 | Time: 450000 | Total Job: 2188 | End job: 72 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-7 | 103959 | Time: 540000 | Total Job: 2188 | End job: 87 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-7 | 103959 | Time: 630000 | Total Job: 2188 | End job: 105 | Running job: 8 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-7 | 103959 | Time: 720000 | Total Job: 2188 | End job: 127 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-7 | 103959 | Time: 810000 | Total Job: 2188 | End job: 142 | Running job: 6 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-7 | 103959 | Time: 900000 | Total Job: 2188 | End job: 188 | Running job: 9 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-7 | 103959 | Time: 990000 | Total Job: 2188 | End job: 219 | Running job: 8 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-7 | 103959 | Time: 1080000 | Total Job: 2188 | End job: 227 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-7 | 103959 | Time: 1170000 | Total Job: 2188 | End job: 265 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-7 | 103959 | Time: 1260000 | Total Job: 2188 | End job: 281 | Running job: 18 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-7 | 103959 | Time: 1350000 | Total Job: 2188 | End job: 305 | Running job: 3 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-7 | 103959 | Time: 1440000 | Total Job: 2188 | End job: 437 | Running job: 2 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-7 | 103959 | Time: 1530000 | Total Job: 2188 | End job: 464 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:05 | SpawnPoolWorker-7 | 103959 | Time: 1620000 | Total Job: 2188 | End job: 489 | Running job: 16 | Pending job: 1
2022 Apr 23 16:43:05 | SpawnPoolWorker-7 | 103959 | Time: 1710000 | Total Job: 2188 | End job: 523 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:05 | SpawnPoolWorker-7 | 103959 | Time: 1800000 | Total Job: 2188 | End job: 544 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:05 | SpawnPoolWorker-7 | 103959 | Time: 1890000 | Total Job: 2188 | End job: 554 | Running job: 10 | Pending job: 0
2022 Apr 23 16:43:06 | SpawnPoolWorker-7 | 103959 | Time: 1980000 | Total Job: 2188 | End job: 586 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:06 | SpawnPoolWorker-7 | 103959 | Time: 2070000 | Total Job: 2188 | End job: 619 | Running job: 15 | Pending job: 0
2022 Apr 23 16:43:06 | SpawnPoolWorker-7 | 103959 | Time: 2160000 | Total Job: 2188 | End job: 646 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:06 | SpawnPoolWorker-7 | 103959 | Time: 2250000 | Total Job: 2188 | End job: 682 | Running job: 9 | Pending job: 0
2022 Apr 23 16:43:07 | SpawnPoolWorker-7 | 103959 | Time: 2340000 | Total Job: 2188 | End job: 714 | Running job: 11 | Pending job: 0
2022 Apr 23 16:43:07 | SpawnPoolWorker-7 | 103959 | Time: 2430000 | Total Job: 2188 | End job: 733 | Running job: 5 | Pending job: 0
2022 Apr 23 16:43:07 | SpawnPoolWorker-7 | 103959 | Time: 2520000 | Total Job: 2188 | End job: 748 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:07 | SpawnPoolWorker-7 | 103959 | Time: 2610000 | Total Job: 2188 | End job: 777 | Running job: 2 | Pending job: 0
2022 Apr 23 16:43:07 | SpawnPoolWorker-7 | 103959 | Time: 2700000 | Total Job: 2188 | End job: 795 | Running job: 4 | Pending job: 0
2022 Apr 23 16:43:08 | SpawnPoolWorker-7 | 103959 | Time: 2790000 | Total Job: 2188 | End job: 836 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:08 | SpawnPoolWorker-7 | 103959 | Time: 2880000 | Total Job: 2188 | End job: 890 | Running job: 19 | Pending job: 5
2022 Apr 23 16:43:09 | SpawnPoolWorker-7 | 103959 | Time: 2970000 | Total Job: 2188 | End job: 931 | Running job: 18 | Pending job: 0
