2022 Apr 23 16:42:57 | SpawnPoolWorker-8 | ed69ec | Time: 0 | Total Job: 1329 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:42:57 | SpawnPoolWorker-8 | ed69ec | Time: 90000 | Total Job: 1329 | End job: 4 | Running job: 17 | Pending job: 0
2022 Apr 23 16:42:58 | SpawnPoolWorker-8 | ed69ec | Time: 180000 | Total Job: 1329 | End job: 31 | Running job: 9 | Pending job: 0
2022 Apr 23 16:42:58 | SpawnPoolWorker-8 | ed69ec | Time: 270000 | Total Job: 1329 | End job: 40 | Running job: 5 | Pending job: 0
2022 Apr 23 16:42:58 | SpawnPoolWorker-8 | ed69ec | Time: 360000 | Total Job: 1329 | End job: 45 | Running job: 1 | Pending job: 0
2022 Apr 23 16:42:58 | SpawnPoolWorker-8 | ed69ec | Time: 450000 | Total Job: 1329 | End job: 46 | Running job: 0 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-8 | ed69ec | Time: 540000 | Total Job: 1329 | End job: 51 | Running job: 20 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-8 | ed69ec | Time: 630000 | Total Job: 1329 | End job: 67 | Running job: 4 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-8 | ed69ec | Time: 720000 | Total Job: 1329 | End job: 71 | Running job: 0 | Pending job: 0
2022 Apr 23 16:42:59 | SpawnPoolWorker-8 | ed69ec | Time: 810000 | Total Job: 1329 | End job: 71 | Running job: 2 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-8 | ed69ec | Time: 900000 | Total Job: 1329 | End job: 104 | Running job: 16 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-8 | ed69ec | Time: 990000 | Total Job: 1329 | End job: 132 | Running job: 25 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-8 | ed69ec | Time: 1080000 | Total Job: 1329 | End job: 159 | Running job: 28 | Pending job: 0
2022 Apr 23 16:43:00 | SpawnPoolWorker-8 | ed69ec | Time: 1170000 | Total Job: 1329 | End job: 182 | Running job: 18 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-8 | ed69ec | Time: 1260000 | Total Job: 1329 | End job: 202 | Running job: 12 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-8 | ed69ec | Time: 1350000 | Total Job: 1329 | End job: 220 | Running job: 41 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-8 | ed69ec | Time: 1440000 | Total Job: 1329 | End job: 271 | Running job: 18 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-8 | ed69ec | Time: 1530000 | Total Job: 1329 | End job: 299 | Running job: 18 | Pending job: 0
2022 Apr 23 16:43:01 | SpawnPoolWorker-8 | ed69ec | Time: 1620000 | Total Job: 1329 | End job: 317 | Running job: 15 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 1710000 | Total Job: 1329 | End job: 380 | Running job: 45 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 1800000 | Total Job: 1329 | End job: 426 | Running job: 13 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 1890000 | Total Job: 1329 | End job: 437 | Running job: 2 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 1980000 | Total Job: 1329 | End job: 439 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 2070000 | Total Job: 1329 | End job: 439 | Running job: 3 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 2160000 | Total Job: 1329 | End job: 441 | Running job: 3 | Pending job: 0
2022 Apr 23 16:43:02 | SpawnPoolWorker-8 | ed69ec | Time: 2250000 | Total Job: 1329 | End job: 443 | Running job: 1 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-8 | ed69ec | Time: 2340000 | Total Job: 1329 | End job: 444 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-8 | ed69ec | Time: 2430000 | Total Job: 1329 | End job: 448 | Running job: 9 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-8 | ed69ec | Time: 2520000 | Total Job: 1329 | End job: 457 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-8 | ed69ec | Time: 2610000 | Total Job: 1329 | End job: 484 | Running job: 15 | Pending job: 0
2022 Apr 23 16:43:03 | SpawnPoolWorker-8 | ed69ec | Time: 2700000 | Total Job: 1329 | End job: 579 | Running job: 10 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 2790000 | Total Job: 1329 | End job: 946 | Running job: 14 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 2880000 | Total Job: 1329 | End job: 1009 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 2970000 | Total Job: 1329 | End job: 1049 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3060000 | Total Job: 1329 | End job: 1049 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3150000 | Total Job: 1329 | End job: 1049 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3240000 | Total Job: 1329 | End job: 1049 | Running job: 7 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3330000 | Total Job: 1329 | End job: 1084 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3420000 | Total Job: 1329 | End job: 1126 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3510000 | Total Job: 1329 | End job: 1177 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3600000 | Total Job: 1329 | End job: 1230 | Running job: 9 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3690000 | Total Job: 1329 | End job: 1239 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3780000 | Total Job: 1329 | End job: 1239 | Running job: 50 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3870000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 3960000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4050000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4140000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4230000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4320000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4410000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4500000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4590000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4680000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
2022 Apr 23 16:43:04 | SpawnPoolWorker-8 | ed69ec | Time: 4770000 | Total Job: 1329 | End job: 1289 | Running job: 0 | Pending job: 0
