2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 0 | Total Job: 1098 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 30000 | Total Job: 1098 | End job: 0 | Running job: 0 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 60000 | Total Job: 1098 | End job: 1 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 90000 | Total Job: 1098 | End job: 1 | Running job: 7 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 120000 | Total Job: 1098 | End job: 5 | Running job: 10 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 150000 | Total Job: 1098 | End job: 9 | Running job: 13 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 180000 | Total Job: 1098 | End job: 11 | Running job: 14 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 210000 | Total Job: 1098 | End job: 13 | Running job: 16 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 240000 | Total Job: 1098 | End job: 18 | Running job: 18 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 270000 | Total Job: 1098 | End job: 20 | Running job: 25 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 300000 | Total Job: 1098 | End job: 28 | Running job: 30 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 330000 | Total Job: 1098 | End job: 33 | Running job: 27 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 360000 | Total Job: 1098 | End job: 44 | Running job: 20 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 390000 | Total Job: 1098 | End job: 50 | Running job: 30 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 420000 | Total Job: 1098 | End job: 51 | Running job: 32 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 450000 | Total Job: 1098 | End job: 52 | Running job: 31 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 480000 | Total Job: 1098 | End job: 55 | Running job: 28 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 510000 | Total Job: 1098 | End job: 63 | Running job: 37 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 540000 | Total Job: 1098 | End job: 74 | Running job: 59 | Pending job: 10
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 570000 | Total Job: 1098 | End job: 76 | Running job: 58 | Pending job: 10
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 600000 | Total Job: 1098 | End job: 76 | Running job: 58 | Pending job: 16
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 630000 | Total Job: 1098 | End job: 89 | Running job: 61 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 660000 | Total Job: 1098 | End job: 95 | Running job: 56 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 690000 | Total Job: 1098 | End job: 99 | Running job: 57 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 720000 | Total Job: 1098 | End job: 106 | Running job: 52 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 750000 | Total Job: 1098 | End job: 109 | Running job: 51 | Pending job: 0
2022 Apr 23 16:46:42 | SpawnPoolWorker-1 | 7f04ca | Time: 780000 | Total Job: 1098 | End job: 115 | Running job: 55 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 810000 | Total Job: 1098 | End job: 131 | Running job: 63 | Pending job: 3
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 840000 | Total Job: 1098 | End job: 131 | Running job: 64 | Pending job: 3
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 870000 | Total Job: 1098 | End job: 136 | Running job: 65 | Pending job: 2
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 900000 | Total Job: 1098 | End job: 138 | Running job: 64 | Pending job: 2
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 930000 | Total Job: 1098 | End job: 143 | Running job: 61 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 960000 | Total Job: 1098 | End job: 150 | Running job: 59 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 990000 | Total Job: 1098 | End job: 167 | Running job: 60 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1020000 | Total Job: 1098 | End job: 173 | Running job: 60 | Pending job: 1
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1050000 | Total Job: 1098 | End job: 214 | Running job: 30 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1080000 | Total Job: 1098 | End job: 216 | Running job: 28 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1110000 | Total Job: 1098 | End job: 218 | Running job: 26 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1140000 | Total Job: 1098 | End job: 220 | Running job: 27 | Pending job: 0
2022 Apr 23 16:46:43 | SpawnPoolWorker-1 | 7f04ca | Time: 1170000 | Total Job: 1098 | End job: 224 | Running job: 23 | Pending job: 0
