jobname,vc,user,state,submit_time,gpu_num,duration,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random
application_1506638472019_2058,11cb48,066e99,COMPLETED,88,1,61,0,120.0,181.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2107,11cb48,592498,COMPLETED,491,2,14,0,540.0,554.0,0,49.0,0,end,[{0: 2}],-1,0
application_1506638472019_2122,11cb48,066e99,COMPLETED,688,1,63,0,720.0,783.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2130,11cb48,f2ae3f,FAILED,795,1,102,0,840.0,942.0,0,45.0,0,end,[{0: 1}],-1,0
application_1506638472019_2166,11cb48,066e99,COMPLETED,1288,1,63,0,1320.0,1383.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2194,11cb48,592498,COMPLETED,1616,2,7,0,1620.0,1627.0,0,4.0,0,end,[{0: 2}],-1,0
application_1506638472019_2195,11cb48,066e99,COMPLETED,1888,1,60,0,1920.0,1980.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2197,11cb48,066e99,COMPLETED,2488,1,65,0,2520.0,2585.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2199,11cb48,066e99,COMPLETED,3088,1,307,0,3120.0,3427.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2201,11cb48,066e99,COMPLETED,3688,1,70,0,3720.0,3790.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2202,11cb48,066e99,COMPLETED,4288,1,319,0,4320.0,4639.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2203,11cb48,066e99,COMPLETED,4888,1,114,0,4920.0,5034.0,0,32.0,0,end,[{0: 1}],-1,0
application_1506638472019_2206,11cb48,066e99,COMPLETED,6089,1,325,0,6120.0,6445.0,0,31.0,0,end,[{0: 1}],-1,0
application_1506638472019_2204,11cb48,066e99,COMPLETED,5488,1,963,0,5520.0,6483.0,0,32.0,0,end,[{0: 1}],-1,0
